round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5057096247960848,0.9455372554660529,0.3897871572871573,0.01807909604519774,32.0,1770.0,186.0,0.0,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.5454545454545454,0.45,0.7272727272727273,0.4857142857142857,1.0,0.016129032258064516,0.18506998444790046,119.0,1.9663865546218486,0.12302091066887721,0.05229529392720642,0.0
1,0.5106035889070146,0.9743233222098627,0.691468253968254,0.014794520547945205,27.0,1825.0,186.0,0.0,0.4166666666666667,0.4166666666666667,0.5555555555555555,0.75,0.5763888888888888,0.8333333333333334,0.5951388888888889,1.0,0.026881720430107527,0.17965023847376788,113.0,,,,0.0
2,0.5145912633677724,0.9553278268007388,0.6693722943722944,0.012263099219620958,22.0,1794.0,186.0,0.0,0.5454545454545454,0.5454545454545454,0.606060606060606,0.7272727272727273,0.6515151515151515,0.9090909090909091,0.6666666666666667,1.0,0.03225806451612903,0.17857142857142858,115.0,,,,0.0
3,0.5212978067790466,0.9467697563335148,0.7667173721340388,0.020273972602739727,37.0,1825.0,186.0,0.0,0.6111111111111112,0.6111111111111112,0.7222222222222222,0.8333333333333334,0.7361111111111112,0.8888888888888888,0.7478395061728395,1.0,0.05913978494623656,0.18518518518518517,115.0,,,,0.0
4,0.5245604495196665,0.9564738292011019,0.7710317460317461,0.009819967266775777,18.0,1833.0,186.0,0.0,0.5,0.5,0.55,0.6,0.575,0.7,0.6208333333333333,1.0,0.026881720430107527,0.17573872472783825,113.0,,,,0.0
5,0.5307232191408374,0.96212270502841,0.6917600373482727,0.01863013698630137,34.0,1825.0,186.0,0.0,0.5294117647058824,0.5294117647058824,0.6078431372549019,0.7058823529411765,0.634313725490196,0.8235294117647058,0.6559523809523808,1.0,0.04838709677419355,0.17258064516129032,107.0,,,,0.0
6,0.5352546673916984,0.9313812154696133,0.6752645502645503,0.013623978201634877,25.0,1835.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.47777777777777775,0.6666666666666666,0.5044444444444445,0.8,0.5334126984126984,1.0,0.026881720430107527,0.16692913385826771,106.0,,,,0.0
7,0.542504984593076,0.9414865244244807,0.5629290674603176,0.021965952773201538,40.0,1821.0,186.0,0.0,0.4375,0.4375,0.47916666666666663,0.5625,0.49479166666666663,0.625,0.548859126984127,1.0,0.03763440860215054,0.17830609212481427,120.0,,,,0.0
8,0.5472176907739713,0.9673282541881304,0.618031746031746,0.014420410427066,26.0,1803.0,186.0,0.0,0.5,0.5,0.55,0.6,0.55,0.6,0.6021825396825398,1.0,0.026881720430107527,0.19001610305958133,118.0,,,,0.0
9,0.5488490121442813,0.9012617910082077,0.662367724867725,0.004936917169500823,9.0,1823.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.6071428571428571,1.0,0.010752688172043012,0.18829113924050633,119.0,,,,0.0
