round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5006344027551205,0.2588390868596882,0.40740740740740744,0.0022222222222222222,4.0,1800.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,1.0,0.010752688172043012,0.17103448275862068,124.0,1.982608695652174,0.12300076432471976,0.06248989794826593,0.0
1,0.5011781765452239,0.06517330383480825,0.5,0.0016565433462175593,3.0,1811.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5833333333333334,1.0,0.5833333333333334,1.0,0.005376344086021506,0.1571627260083449,113.0,,,,0.0
2,0.5019032082653616,0.11014034122179416,0.7222222222222222,0.002196595277320154,4.0,1821.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555556,1.0,0.005376344086021506,0.1608695652173913,111.0,,,,0.0
3,0.5031720137756027,0.3185801928133216,0.375,0.0038888888888888888,7.0,1800.0,186.0,0.0,0.6,0.6,0.6666666666666666,0.8,0.7166666666666666,1.0,0.7166666666666666,1.0,0.016129032258064516,0.16506189821182943,120.0,,,,0.0
4,0.5033532717056372,0.11468144044321327,1.0,0.0005537098560354374,1.0,1806.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.16448326055312956,113.0,,,,0.0
5,0.5035345296356716,0.08921729611384788,0.05555555555555558,0.0005470459518599562,1.0,1828.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.15507246376811595,107.0,,,,0.0
6,0.5040783034257749,0.2951350351461339,0.4920634920634921,0.0016620498614958448,3.0,1805.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.22916666666666666,1.0,0.0,0.1783166904422254,125.0,,,,0.0
7,0.5040783034257749,,,0.0,0.0,1827.0,186.0,0.0,,,,,,,,,0.0,0.17032967032967034,124.0,,,,0.0
8,0.5042595613558093,0.3812124522119061,0.22222222222222227,0.0005458515283842794,1.0,1832.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.170439414114514,128.0,,,,0.0
9,0.5046220772158782,0.29143722466960353,0.5,0.0011001100110011,2.0,1818.0,186.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.005376344086021506,0.16991643454038996,122.0,,,,0.0
10,0.5049845930759471,0.5287388392857143,0.5,0.0011148272017837235,2.0,1794.0,186.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.18055555555555555,1.0,0.0,0.18025751072961374,126.0,2.0,0.12055724712379215,0.0637946344202705,0.0
11,0.5051658510059815,0.7938620315046171,0.5,0.0005428881650380022,1.0,1842.0,186.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.16424418604651161,113.0,,,,0.0
12,0.5055283668660504,0.5596228508042151,0.5,0.00110803324099723,2.0,1805.0,186.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.19642857142857142,1.0,0.0,0.16373477672530445,121.0,,,,0.0
13,0.5057096247960848,0.20383561643835618,1.0,0.000547645125958379,1.0,1826.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.17196531791907516,119.0,,,,0.0
14,0.5057096247960848,,,0.0,0.0,1820.0,186.0,0.0,,,,,,,,,0.0,0.15447154471544716,114.0,,,,0.0
15,0.5058908827261193,0.8182570325427468,0.5,0.0005512679162072767,1.0,1814.0,186.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.17982456140350878,123.0,,,,0.0
16,0.5058908827261193,,,0.0,0.0,1815.0,186.0,0.0,,,,,,,,,0.0,0.16164383561643836,118.0,,,,0.0
17,0.5060721406561537,0.17480790340285396,0.5555555555555556,0.0005485463521667581,1.0,1823.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.16976127320954906,128.0,,,,0.0
