round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5046220772158782,0.8825870970541021,0.657967032967033,0.014452473596442469,26.0,1799.0,186.0,0.0,0.3076923076923077,0.3076923076923077,0.5641025641025641,0.9230769230769231,0.5833333333333333,1.0,0.5833333333333333,1.0,0.021505376344086023,0.16825396825396827,106.0,1.935483870967742,0.11757443940667625,0.07256676759224373,0.0
1,0.5071596882363604,0.9032128835830462,0.75625,0.0077907623817473565,14.0,1797.0,186.0,0.0,0.36363636363636365,0.36363636363636365,0.5303030303030303,0.7272727272727273,0.5712121212121212,0.9090909090909091,0.5825757575757575,1.0,0.021505376344086023,0.17767295597484276,113.0,,,,0.0
2,0.5120536523472902,0.9014856664574178,0.6959945436507937,0.015025041736227046,27.0,1797.0,186.0,0.0,0.375,0.375,0.4583333333333333,0.5625,0.5270833333333333,0.875,0.5429563492063492,1.0,0.03225806451612903,0.17209302325581396,111.0,,,,0.0
3,0.5142287475077034,0.895151599186541,0.7027777777777777,0.006611570247933884,12.0,1815.0,186.0,0.0,0.5,0.5,0.5833333333333333,0.7,0.6333333333333333,0.9,0.6444444444444445,1.0,0.026881720430107527,0.15590551181102363,99.0,,,,0.0
4,0.5187601957585645,0.9292769744160178,0.6332120811287477,0.013713658804168952,25.0,1823.0,186.0,0.0,0.4444444444444444,0.4444444444444444,0.537037037037037,0.6666666666666666,0.5925925925925926,0.8888888888888888,0.6111111111111112,1.0,0.021505376344086023,0.1619190404797601,108.0,,,,0.0
5,0.5222040964292188,0.9533991228070176,0.7182539682539683,0.010584958217270195,19.0,1795.0,186.0,0.0,0.5,0.5,0.5833333333333333,0.7,0.6283333333333333,0.9,0.6394444444444445,1.0,0.026881720430107527,0.17771084337349397,118.0,,,,0.0
6,0.5252854812398042,0.9304453734487639,0.8093584656084656,0.009423503325942351,17.0,1804.0,186.0,0.0,0.4166666666666667,0.4166666666666667,0.5694444444444444,0.75,0.6236111111111111,1.0,0.6236111111111111,1.0,0.026881720430107527,0.15895953757225434,110.0,,,,0.0
7,0.5296356715606307,0.8315630275745639,0.660422335600907,0.013325930038867296,24.0,1801.0,186.0,0.0,0.35714285714285715,0.35714285714285715,0.49999999999999994,0.7142857142857143,0.49999999999999994,0.7142857142857143,0.5399659863945578,1.0,0.026881720430107527,0.16569767441860464,114.0,,,,0.0
8,0.5314482508609751,0.8959526431718061,0.6696428571428571,0.00547645125958379,10.0,1826.0,186.0,0.0,0.4,0.4,0.5,0.6,0.55,0.8,0.5833333333333334,1.0,0.010752688172043012,0.1589310829817159,113.0,,,,0.0
9,0.5348921515316295,0.9312528855032317,0.6578174603174602,0.010309278350515464,19.0,1843.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6333333333333333,0.7777777777777778,0.665079365079365,1.0,0.026881720430107527,0.1631504922644163,116.0,,,,0.0
10,0.5372485046220772,0.9031566043518234,0.5670138888888889,0.007344632768361582,13.0,1770.0,186.0,0.0,0.2,0.2,0.33333333333333337,0.5,0.37833333333333335,0.7,0.41861111111111116,1.0,0.010752688172043012,0.1589041095890411,116.0,1.984251968503937,0.10444319463027088,0.1142313440192592,0.0
