round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5016647278270288,0.3873489694385217,0.638507326007326,0.04285714285714286,42.0,980.0,98.0,0.0,0.34615384615384615,0.34615384615384615,0.48717948717948717,0.6538461538461539,0.5121794871794871,0.7692307692307693,0.5412393162393163,1.0,0.09183673469387756,0.16784869976359337,71.0,1.9,0.20540992162511124,0.0928085184684209,0.0
1,0.5027076898391432,0.45381793259151754,0.55988455988456,0.026530612244897958,26.0,980.0,98.0,0.0,0.22727272727272727,0.22727272727272727,0.32575757575757575,0.45454545454545453,0.34848484848484845,0.5454545454545454,0.40717893217893214,1.0,0.05102040816326531,0.17592592592592593,76.0,,,,0.0
2,0.5041116771631433,0.49298673578289376,0.5875,0.0360082304526749,35.0,972.0,98.0,0.0,0.36,0.36,0.41333333333333333,0.52,0.44933333333333336,0.68,0.4876031746031746,1.0,0.09183673469387756,0.15333333333333332,69.0,,,,0.0
3,0.5057964619519435,0.5384831317307202,0.5691884280593957,0.043076923076923075,42.0,975.0,98.0,0.0,0.2903225806451613,0.2903225806451613,0.3602150537634408,0.45161290322580644,0.4069892473118279,0.6774193548387096,0.44783666154633883,1.0,0.09183673469387756,0.1571753986332574,69.0,,,,0.0
4,0.507401018893658,0.4185771276595745,0.6880621693121695,0.04081632653061224,40.0,980.0,98.0,0.0,0.36666666666666664,0.36666666666666664,0.5055555555555556,0.6666666666666666,0.5355555555555556,0.8,0.5596164021164022,1.0,0.11224489795918367,0.15384615384615385,68.0,,,,0.0
5,0.509125917606001,0.40357223320900193,0.5482213718820862,0.044238683127572016,43.0,972.0,98.0,0.0,0.21428571428571427,0.21428571428571427,0.3095238095238095,0.4642857142857143,0.35773809523809524,0.6785714285714286,0.40092120181405894,1.0,0.061224489795918366,0.18433179723502305,80.0,,,,0.0
6,0.5103293353122869,0.35532064834390414,0.607487922705314,0.030737704918032786,30.0,976.0,98.0,0.0,0.2608695652173913,0.2608695652173913,0.3623188405797101,0.5217391304347826,0.4079710144927536,0.7391304347826086,0.44147688060731544,1.0,0.061224489795918366,0.16630669546436286,77.0,,,,0.0
7,0.5119740061775442,0.37467206940440007,0.6267403628117914,0.04183673469387755,41.0,980.0,98.0,0.0,0.21428571428571427,0.21428571428571427,0.36904761904761907,0.5714285714285714,0.42083333333333334,0.7857142857142857,0.45024092970521545,1.0,0.061224489795918366,0.16009280742459397,69.0,,,,0.0
8,0.5133779935015443,0.44148148148148153,0.5904903628117913,0.03571428571428571,35.0,980.0,98.0,0.0,0.17857142857142858,0.17857142857142858,0.2559523809523809,0.39285714285714285,0.32916666666666666,0.7142857142857143,0.369515306122449,1.0,0.05102040816326531,0.16359447004608296,71.0,,,,0.0
9,0.514621525131373,0.42446179242038656,0.6091165413533834,0.03199174406604747,31.0,969.0,98.0,0.0,0.3157894736842105,0.3157894736842105,0.42105263157894735,0.5789473684210527,0.46315789473684205,0.7894736842105263,0.48836675020885545,1.0,0.061224489795918366,0.16972477064220184,74.0,,,,0.0
