round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5061574872638293,0.764284142008113,0.7067878787878789,0.15714285714285714,154.0,980.0,98.0,0.0,0.6363636363636364,0.6363636363636364,0.7303030303030302,0.8545454545454545,0.733939393939394,0.8727272727272727,0.7510533910533911,1.0,0.35714285714285715,0.19239904988123516,81.0,1.5,0.20220175995395193,0.0945043712963756,0.0
1,0.5111316137831441,0.6928559315646668,0.6811463464696224,0.12653061224489795,124.0,980.0,98.0,0.0,0.43103448275862066,0.43103448275862066,0.557471264367816,0.7241379310344828,0.5850574712643678,0.8448275862068966,0.6055966064586754,1.0,0.25510204081632654,0.17155756207674944,76.0,,,,0.0
2,0.5154639175257731,0.6955804183813444,0.7073824786324787,0.1111111111111111,108.0,972.0,98.0,0.0,0.5192307692307693,0.5192307692307693,0.6153846153846154,0.7692307692307693,0.6490384615384616,0.9038461538461539,0.6633470695970696,1.0,0.2755102040816326,0.17494089834515367,74.0,,,,0.0
3,0.5201572465802881,0.6874863028709184,0.6879668534080299,0.12,117.0,975.0,98.0,0.0,0.5490196078431373,0.5490196078431373,0.6209150326797385,0.7058823529411765,0.6444444444444443,0.803921568627451,0.6694911297852476,1.0,0.2857142857142857,0.18854415274463007,79.0,,,,0.0
4,0.5244494363993742,0.7068064788943486,0.7150969601677148,0.10918367346938776,107.0,980.0,98.0,0.0,0.5660377358490566,0.5660377358490566,0.6383647798742139,0.7358490566037735,0.6723270440251572,0.8867924528301887,0.689173405211141,1.0,0.30612244897959184,0.18262806236080179,82.0,,,,0.0
5,0.5286212844478319,0.7198411467564694,0.6704407294832827,0.10699588477366255,104.0,972.0,98.0,0.0,0.3829787234042553,0.3829787234042553,0.5319148936170212,0.7659574468085106,0.5521276595744681,0.851063829787234,0.5720702465383316,1.0,0.1836734693877551,0.1870824053452116,84.0,,,,0.0
6,0.5318303983312608,0.6823660714285715,0.7164224664224664,0.08196721311475409,80.0,976.0,98.0,0.0,0.48717948717948717,0.48717948717948717,0.594017094017094,0.7435897435897436,0.6299145299145298,0.8974358974358975,0.6447191697191696,1.0,0.19387755102040816,0.18961625282167044,84.0,,,,0.0
7,0.5359621324561755,0.6502917049517883,0.7130061548428894,0.10510204081632653,103.0,980.0,98.0,0.0,0.5510204081632653,0.5510204081632653,0.6564625850340136,0.7959183673469388,0.6738095238095237,0.8775510204081632,0.6882572076449628,1.0,0.2755102040816326,0.18141592920353983,82.0,,,,0.0
8,0.5398130691162902,0.6894501791101055,0.7482329598506068,0.09795918367346938,96.0,980.0,98.0,0.0,0.5882352941176471,0.5882352941176471,0.6797385620915032,0.803921568627451,0.6973856209150326,0.8823529411764706,0.7139978213507626,1.0,0.30612244897959184,0.17130620985010706,80.0,,,,0.0
9,0.5420594488346905,0.6113479893600376,0.7198335893497185,0.05779153766769866,56.0,969.0,98.0,0.0,0.41935483870967744,0.41935483870967744,0.543010752688172,0.6774193548387096,0.5897849462365591,0.8709677419354839,0.6073860727086533,1.0,0.1326530612244898,0.17827868852459017,87.0,,,,0.0
10,0.5445866260178908,0.6916223819943732,0.6958144368858655,0.06448311156601842,63.0,977.0,98.0,0.0,0.42857142857142855,0.42857142857142855,0.503968253968254,0.6190476190476191,0.5480158730158731,0.8095238095238095,0.5735922146636432,1.0,0.1836734693877551,0.1843220338983051,87.0,1.6521739130434783,0.1772272777735694,0.08848923209123866,0.0
11,0.5476352842071484,0.6441691895668374,0.738025321239607,0.07755102040816327,76.0,980.0,98.0,0.0,0.4523809523809524,0.4523809523809524,0.5555555555555556,0.6904761904761905,0.6019841269841271,0.8809523809523809,0.6192460317460318,1.0,0.19387755102040816,0.1683991683991684,81.0,,,,0.0
12,0.5504432588551487,0.6442161820480404,0.7427391975308643,0.07186858316221766,70.0,974.0,98.0,0.0,0.5277777777777778,0.5277777777777778,0.6574074074074073,0.8333333333333334,0.6712962962962963,0.8888888888888888,0.6854056437389769,1.0,0.19387755102040816,0.1731958762886598,84.0,,,,0.0
13,0.5534518031208633,0.6281687014428412,0.6704616724738677,0.07684426229508197,75.0,976.0,98.0,0.0,0.4634146341463415,0.4634146341463415,0.565040650406504,0.6829268292682927,0.5699186991869919,0.7073170731707317,0.6108594657375145,1.0,0.19387755102040816,0.18448637316561844,88.0,,,,0.0
14,0.5563400056159493,0.5865229778273257,0.7359153091060986,0.07430340557275542,72.0,969.0,98.0,0.0,0.5526315789473685,0.5526315789473685,0.6271929824561403,0.7105263157894737,0.6614035087719298,0.868421052631579,0.6787593984962407,1.0,0.21428571428571427,0.17525773195876287,85.0,,,,0.0
