round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5002250229444792,0.8805996125385079,0.7330371115582384,0.016522988505747127,115.0,6960.0,758.0,0.0,0.4305555555555556,0.4305555555555556,0.5671296296296295,0.75,0.5983796296296295,0.8888888888888888,0.6131723985890652,1.0,0.040897097625329816,0.1252863436123348,711.0,1.8905109489051095,0.07488502044488206,0.001862398390177401,0.0
1,0.5003960010769657,0.7882386008532378,0.6812841021825398,0.012691466083150985,87.0,6855.0,758.0,0.0,0.3787878787878788,0.3787878787878788,0.5176767676767676,0.696969696969697,0.5487373737373737,0.8333333333333334,0.5687650312650312,1.0,0.032981530343007916,0.12743137611343391,701.0,,,,0.0
2,0.5005551876141082,0.8317842660178427,0.7017113095238094,0.011686625306593566,81.0,6931.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4972222222222222,0.7,0.5272222222222221,0.8333333333333334,0.5476124338624339,1.0,0.026385224274406333,0.12681875336806178,706.0,,,,0.0
3,0.5007556447349544,0.853532063836236,0.6634082512315271,0.01493411420204978,102.0,6830.0,758.0,0.0,0.35,0.35,0.4805555555555555,0.65,0.5197222222222222,0.8166666666666667,0.546058201058201,1.0,0.027704485488126648,0.12569983745710675,696.0,,,,0.0
4,0.5009069702085344,0.823758852397419,0.6772486772486772,0.011182108626198083,77.0,6886.0,758.0,0.0,0.41509433962264153,0.41509433962264153,0.5283018867924528,0.6981132075471698,0.5622641509433962,0.8490566037735849,0.5841419586702605,1.0,0.029023746701846966,0.12976125387279022,712.0,,,,0.0
5,0.5010504346185517,0.8213926436642576,0.6323291221250404,0.010629004076878276,73.0,6868.0,758.0,0.0,0.35294117647058826,0.35294117647058826,0.48366013071895425,0.6470588235294118,0.515032679738562,0.7843137254901961,0.5419856831621538,1.0,0.023746701846965697,0.12439935931660438,699.0,,,,0.0
6,0.5012135516874756,0.836077299646787,0.6506798074421026,0.012049941927990708,83.0,6888.0,758.0,0.0,0.3114754098360656,0.3114754098360656,0.44535519125683054,0.6229508196721312,0.47240437158469945,0.7377049180327869,0.5083398386677075,1.0,0.025065963060686015,0.12701540666427805,709.0,,,,0.0
7,0.5013412939703678,0.79825883960599,0.6438492063492064,0.009530791788856305,65.0,6820.0,758.0,0.0,0.35294117647058826,0.35294117647058826,0.4803921568627451,0.6470588235294118,0.5372549019607844,0.9019607843137255,0.550186741363212,1.0,0.023746701846965697,0.12669104204753198,693.0,,,,0.0
8,0.5015260289640887,0.8700341567157995,0.7147447287372661,0.013376974526825102,94.0,7027.0,758.0,0.0,0.4,0.4,0.5547619047619048,0.7285714285714285,0.5883333333333333,0.8714285714285714,0.6066439909297051,1.0,0.036939313984168866,0.12350667603654251,703.0,,,,0.0
9,0.5017205902872629,0.8425628256149167,0.6377743675595238,0.014318773503037315,99.0,6914.0,758.0,0.0,0.38235294117647056,0.38235294117647056,0.49509803921568624,0.6323529411764706,0.5377450980392158,0.8235294117647058,0.563655462184874,1.0,0.03430079155672823,0.12475529453639438,701.0,,,,0.0
10,0.5018994294833119,0.8413805496591305,0.7063401875901876,0.013112391930835734,91.0,6940.0,758.0,0.0,0.5535714285714286,0.5535714285714286,0.630952380952381,0.75,0.6523809523809524,0.8392857142857143,0.6711805555555556,1.0,0.040897097625329816,0.12545126353790614,695.0,1.950354609929078,0.07261315283090929,0.0018624107878592202,0.0
11,0.5020527202227826,0.8399056389394906,0.6636176108374383,0.01120528659675334,78.0,6961.0,758.0,0.0,0.27586206896551724,0.27586206896551724,0.45689655172413796,0.6896551724137931,0.4853448275862069,0.8103448275862069,0.5105706075533661,1.0,0.021108179419525065,0.12497790348241117,707.0,,,,0.0
12,0.5022747952684259,0.881444146309578,0.6921459573412698,0.016258992805755396,113.0,6950.0,758.0,0.0,0.5151515151515151,0.5151515151515151,0.5984848484848485,0.7272727272727273,0.6234848484848485,0.8333333333333334,0.6467532467532467,1.0,0.044854881266490766,0.12493259032895919,695.0,,,,0.0
13,0.5024280860078965,0.8659794494720965,0.6965968679138321,0.011340505961035184,78.0,6878.0,758.0,0.0,0.423728813559322,0.423728813559322,0.5451977401129944,0.711864406779661,0.5638418079096046,0.7966101694915254,0.5920029593758408,1.0,0.032981530343007916,0.12924801156905277,715.0,,,,0.0
14,0.5026462305217584,0.8722537053182214,0.71777950310559,0.016015005049776366,111.0,6931.0,758.0,0.0,0.43478260869565216,0.43478260869565216,0.5869565217391305,0.782608695652174,0.6115942028985508,0.8840579710144928,0.6274097078444903,1.0,0.0395778364116095,0.12647163753121654,709.0,,,,0.0
