round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000493635967672,0.5993449666967832,0.8304398148148149,0.003538377789874796,26.0,7348.0,773.0,0.0,0.5555555555555556,0.5555555555555556,0.7407407407407407,0.9444444444444444,0.7518518518518519,1.0,0.7518518518518519,1.0,0.0129366106080207,0.11374906085649887,757.0,1.9873417721518987,0.0277611174652172,0.005275551345751102,0.0
1,0.500095823452548,0.6668703160638645,0.5260225885225885,0.003340292275574113,24.0,7185.0,773.0,0.0,0.21428571428571427,0.21428571428571427,0.4523809523809524,0.7142857142857143,0.48095238095238096,0.8571428571428571,0.5000850340136054,1.0,0.0038809831824062097,0.11397285626156693,739.0,,,,0.0
2,0.500124860862411,0.6461374654524037,0.6035052910052909,0.0020347259902333153,15.0,7372.0,773.0,0.0,0.3,0.3,0.3833333333333333,0.5,0.44833333333333336,0.8,0.4719444444444444,1.0,0.0038809831824062097,0.11403771325950314,762.0,,,,0.0
3,0.500161641581571,0.5502688943066112,0.8411044973544973,0.0025818725370294875,19.0,7359.0,773.0,0.0,0.5,0.5,0.7083333333333334,0.9166666666666666,0.7083333333333334,0.9166666666666666,0.71875,1.0,0.007761966364812419,0.11387257117035698,756.0,,,,0.0
4,0.5002158447466486,0.4984532210559608,0.5950727513227514,0.003859407305306685,28.0,7255.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5396825396825397,0.6666666666666666,0.5515873015873015,0.7142857142857143,0.5894746787603931,1.0,0.01164294954721863,0.11311944569965356,751.0,,,,0.0
5,0.5002564971204568,0.5670106149558205,0.5438988095238095,0.0028973509933774835,21.0,7248.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.4666666666666667,0.43555555555555553,0.6666666666666666,0.47674603174603175,1.0,0.00646830530401035,0.11523707227251803,751.0,,,,0.0
6,0.5002913420122925,0.5482149161179413,0.5773148148148148,0.0024803637866887144,18.0,7257.0,773.0,0.0,0.13333333333333333,0.13333333333333333,0.3222222222222222,0.5333333333333333,0.3755555555555556,0.8,0.4028571428571429,1.0,0.00258732212160414,0.11380145278450363,752.0,,,,0.0
7,0.5003223152494798,0.6387167008196721,0.7618055555555556,0.0021810250817884407,16.0,7336.0,773.0,0.0,0.3,0.3,0.5,0.7,0.55,0.9,0.5666666666666667,1.0,0.0038809831824062097,0.11309702613397417,753.0,,,,0.0
8,0.5003590959686396,0.5094792451725727,0.6688034188034189,0.002634498058790904,19.0,7212.0,773.0,0.0,0.5384615384615384,0.5384615384615384,0.6538461538461539,0.7692307692307693,0.6692307692307692,0.8461538461538461,0.6887667887667888,1.0,0.009055627425614488,0.11520388055176596,760.0,,,,0.0
9,0.5004036199970963,0.5524289648004683,0.6788470017636685,0.0031498219665844975,23.0,7302.0,773.0,0.0,0.47368421052631576,0.47368421052631576,0.5526315789473685,0.631578947368421,0.5894736842105263,0.7894736842105263,0.6181286549707603,1.0,0.01164294954721863,0.11429865619809754,757.0,,,,0.0
