round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000358128054978,0.786908594141712,0.5874255952380952,0.0026163591297163314,19.0,7262.0,773.0,0.0,0.25,0.25,0.32291666666666663,0.4375,0.39479166666666665,0.75,0.43125,1.0,0.00517464424320828,0.12593755450898309,722.0,1.9605263157894737,0.0278666359904483,0.003840851150046746,0.0
1,0.5000880801432512,0.9119361986745499,0.7249228395061729,0.003708281829419036,27.0,7281.0,773.0,0.0,0.5,0.5,0.5555555555555556,0.6666666666666666,0.6027777777777777,0.8888888888888888,0.619973544973545,1.0,0.01164294954721863,0.12532865907099036,715.0,,,,0.0
2,0.5001209892077627,0.7926611343663557,0.8353174603174605,0.0023526155549404926,17.0,7226.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5476190476190477,0.7142857142857143,0.6011904761904762,0.9285714285714286,0.613095238095238,1.0,0.007761966364812419,0.12530498431509238,719.0,,,,0.0
3,0.5001635774088952,0.8330569444271267,0.6123236331569665,0.0030083413099958978,22.0,7313.0,773.0,0.0,0.42105263157894735,0.42105263157894735,0.5,0.631578947368421,0.5368421052631579,0.7894736842105263,0.5662907268170426,1.0,0.01034928848641656,0.12576526150078712,719.0,,,,0.0
4,0.5002274597105938,0.8879391491175862,0.7617857142857143,0.004575707154742097,33.0,7212.0,773.0,0.0,0.5,0.5,0.5897435897435896,0.7307692307692307,0.6262820512820512,0.8846153846153846,0.6439102564102563,1.0,0.016817593790426907,0.12763320941759604,721.0,,,,0.0
5,0.5002700479117262,0.8789372599231753,0.671875,0.003089019938219601,22.0,7122.0,773.0,0.0,0.375,0.375,0.5520833333333333,0.75,0.5520833333333333,0.75,0.5881696428571428,1.0,0.007761966364812419,0.12800141242937854,725.0,,,,0.0
6,0.5003203794221556,0.8019344186193726,0.6831219806763285,0.0035533688670220036,26.0,7317.0,773.0,0.0,0.391304347826087,0.391304347826087,0.5217391304347826,0.6956521739130435,0.5521739130434782,0.8260869565217391,0.5727053140096617,1.0,0.01164294954721863,0.12458267439817255,709.0,,,,0.0
7,0.5003552243139912,0.8573218474849953,0.6980820105820106,0.002461706783369803,18.0,7312.0,773.0,0.0,0.4666666666666667,0.4666666666666667,0.611111111111111,0.8,0.6277777777777778,0.8666666666666667,0.6472222222222223,1.0,0.009055627425614488,0.1264773328629388,717.0,,,,0.0
8,0.5003939408604753,0.8482357882945953,0.625,0.0027925160569673277,20.0,7162.0,773.0,0.0,0.375,0.375,0.44791666666666663,0.5625,0.47604166666666664,0.6875,0.5198660714285714,1.0,0.007761966364812419,0.13002490217004625,731.0,,,,0.0
9,0.5004442723709045,0.8434567353875712,0.6747891865079364,0.003555312457267879,26.0,7313.0,773.0,0.0,0.5,0.5,0.5972222222222222,0.75,0.6159722222222223,0.8333333333333334,0.6392857142857143,1.0,0.015523932729624839,0.12170212765957447,715.0,,,,0.0
10,0.500496539708658,0.8499941549893519,0.7590068922305765,0.0036915504511894994,27.0,7314.0,773.0,0.0,0.5263157894736842,0.5263157894736842,0.5964912280701754,0.6842105263157895,0.6333333333333333,0.8421052631578947,0.6526942355889723,1.0,0.0129366106080207,0.1257243195785777,716.0,1.92,0.02726540142536731,0.003821328097865741,0.0
11,0.5005371920824663,0.8175250788469882,0.7930147058823529,0.0028478437754271765,21.0,7374.0,773.0,0.0,0.4444444444444444,0.4444444444444444,0.5925925925925926,0.7777777777777778,0.6175925925925925,0.8888888888888888,0.6347883597883598,1.0,0.01034928848641656,0.125,713.0,,,,0.0
12,0.5005855877655713,0.899710427398023,0.7607323232323232,0.0034683684794672587,25.0,7208.0,773.0,0.0,0.4782608695652174,0.4782608695652174,0.5869565217391305,0.7391304347826086,0.6043478260869566,0.8260869565217391,0.6297101449275363,1.0,0.014230271668822769,0.1264,711.0,,,,0.0
13,0.5006455984126216,0.7683466352459927,0.701984126984127,0.0042547351084271205,31.0,7286.0,773.0,0.0,0.5217391304347826,0.5217391304347826,0.644927536231884,0.8260869565217391,0.6644927536231884,0.9130434782608695,0.6769151138716356,1.0,0.015523932729624839,0.12569184074272452,704.0,,,,0.0
14,0.5006649566858636,0.7703698667391896,0.6166666666666667,0.0013579576317218902,10.0,7364.0,773.0,0.0,0.3,0.3,0.3,0.3,0.395,0.7,0.4370634920634921,1.0,0.0038809831824062097,0.125,727.0,,,,0.0
15,0.5007094807143203,0.815667103121673,0.8425264550264551,0.0032262589423481553,23.0,7129.0,773.0,0.0,0.5294117647058824,0.5294117647058824,0.6862745098039216,0.8823529411764706,0.7009803921568627,0.9411764705882353,0.7107843137254902,1.0,0.01164294954721863,0.1297655271165205,725.0,,,,0.0
16,0.5007423897788317,0.9113999150157541,0.6426282051282052,0.0023116671199347296,17.0,7354.0,773.0,0.0,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.8461538461538461,0.6666666666666666,0.8461538461538461,0.6839743589743589,1.0,0.009055627425614488,0.12397400820793433,725.0,,,,0.0
17,0.5007946571165852,0.9134956874682902,0.7301666666666666,0.0036850006824075336,27.0,7327.0,773.0,0.0,0.5,0.5,0.5641025641025641,0.6538461538461539,0.6102564102564103,0.8461538461538461,0.6324633699633699,1.0,0.016817593790426907,0.12465277777777778,718.0,,,,0.0
18,0.5008411169723661,0.8549693872853658,0.5805224867724869,0.0033035099793530627,24.0,7265.0,773.0,0.0,0.23809523809523808,0.23809523809523808,0.3412698412698412,0.5238095238095238,0.4055555555555556,0.8095238095238095,0.42783446712018136,1.0,0.00646830530401035,0.1247617397331485,720.0,,,,0.0
19,0.5008720902095533,0.8275506149806523,0.5892857142857143,0.002206287920573635,16.0,7252.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.38095238095238093,0.5,0.4309523809523809,0.7142857142857143,0.4613095238095238,1.0,0.00517464424320828,0.1255911718339464,717.0,,,,0.0
20,0.5009224217199826,0.7643423976298804,0.6645531400966183,0.00356359649122807,26.0,7296.0,773.0,0.0,0.375,0.375,0.4583333333333333,0.5833333333333334,0.5083333333333333,0.7916666666666666,0.5365575396825396,1.0,0.01164294954721863,0.12636974195828915,715.0,1.9610389610389611,0.026559124437402964,0.003835748317266286,0.0
21,0.5009572666118183,0.8591646056608958,0.6117931547619048,0.0024671052631578946,18.0,7296.0,773.0,0.0,0.375,0.375,0.4895833333333333,0.625,0.5302083333333334,0.8125,0.5545138888888889,1.0,0.007761966364812419,0.1271696776478923,718.0,,,,0.0
22,0.5010288922228138,0.8618312572139527,0.7446581196581197,0.005104152296868534,37.0,7249.0,773.0,0.0,0.5555555555555556,0.5555555555555556,0.6790123456790123,0.8148148148148148,0.6864197530864197,0.8518518518518519,0.7044091710758378,1.0,0.019404915912031046,0.12358769337736833,711.0,,,,0.0
23,0.501069544596622,0.8398706303330581,0.6822478991596639,0.002881844380403458,21.0,7287.0,773.0,0.0,0.4117647058823529,0.4117647058823529,0.5294117647058824,0.7058823529411765,0.5676470588235293,0.8823529411764706,0.5825863678804855,1.0,0.009055627425614488,0.12835555555555556,722.0,,,,0.0
24,0.5011160044524029,0.9484737380627557,0.6783625730994153,0.003263530051672559,24.0,7354.0,773.0,0.0,0.47368421052631576,0.47368421052631576,0.5701754385964911,0.6842105263157895,0.5701754385964911,0.6842105263157895,0.61234335839599,1.0,0.01164294954721863,0.12228831350594821,699.0,,,,0.0
25,0.5011566568262111,0.8901053215077606,0.7630208333333333,0.002901754870802819,21.0,7237.0,773.0,0.0,0.5,0.5,0.59375,0.6875,0.609375,0.75,0.6484375,1.0,0.01034928848641656,0.12596221133659902,720.0,,,,0.0
26,0.5012050525093161,0.9000823836331182,0.7240327380952382,0.0034209085933223863,25.0,7308.0,773.0,0.0,0.45,0.45,0.5833333333333333,0.75,0.6033333333333333,0.85,0.621031746031746,1.0,0.01164294954721863,0.1264266900790167,720.0,,,,0.0
27,0.5012573198470697,0.8463105963105962,0.6886574074074073,0.0037093007281219946,27.0,7279.0,773.0,0.0,0.45,0.45,0.5166666666666666,0.6,0.5516666666666665,0.75,0.5856944444444444,1.0,0.01164294954721863,0.12550113299633955,720.0,,,,0.0
28,0.5012979722208779,0.815778134670375,0.746141975308642,0.0028708133971291866,21.0,7315.0,773.0,0.0,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.6888888888888888,0.9444444444444444,0.6950617283950618,1.0,0.0129366106080207,0.1258347978910369,716.0,,,,0.0
29,0.5013386245946861,0.9130662731315171,0.7811041083099907,0.0028462998102466793,21.0,7378.0,773.0,0.0,0.5294117647058824,0.5294117647058824,0.6568627450980392,0.8235294117647058,0.6715686274509803,0.8823529411764706,0.6839869281045751,1.0,0.01164294954721863,0.12508662508662508,722.0,,,,0.0
