round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000045903481504,0.3476100935534044,0.3888888888888889,0.00020888455646845844,3.0,14362.0,1572.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.19444444444444442,0.6666666666666666,0.22777777777777775,1.0,0.0,0.13429596073990185,1423.0,2.0,0.05725833997357074,0.0009564332523343991,0.0
1,0.5000156071837112,0.13968336812804455,0.5198412698412698,0.00041736227045075126,6.0,14376.0,1572.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.15277777777777776,0.5,0.20992063492063492,1.0,0.0,0.13388962639863455,1412.0,,,,0.0
2,0.5000266240192721,0.07504151674508719,0.4847222222222222,0.00041499515838981876,6.0,14458.0,1572.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.06666666666666667,0.2,0.18055555555555552,1.0,0.0,0.13250966707535602,1405.0,,,,0.0
3,0.5000413131333533,0.15918900104420466,0.8148148148148149,0.000556599179016211,8.0,14373.0,1572.0,0.0,0.375,0.375,0.5416666666666666,0.75,0.6041666666666666,1.0,0.6041666666666666,1.0,0.0019083969465648854,0.13067594246498074,1390.0,,,,0.0
4,0.5000578383866946,0.21966514247692437,0.5925925925925926,0.0006263048016701461,9.0,14370.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4259259259259259,0.5555555555555556,0.4259259259259259,0.5555555555555556,0.48390652557319225,1.0,0.0019083969465648854,0.13468809073724008,1425.0,,,,0.0
5,0.5000688552222555,0.4155804930182849,0.4351851851851852,0.0004180310736431408,6.0,14353.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.27777777777777773,0.5,0.27777777777777773,0.5,0.34490740740740744,1.0,0.0006361323155216285,0.13143822122150295,1401.0,,,,0.0
6,0.5000761997792961,0.36510547201336674,0.8472222222222222,0.00027839643652561246,4.0,14368.0,1572.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.001272264631043257,0.13182411030370783,1415.0,,,,0.0
7,0.5000927250326374,0.30736323666835175,0.6259920634920635,0.0006200482259731313,9.0,14515.0,1572.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.7142857142857143,0.6468253968253969,1.0,0.002544529262086514,0.13008734435978442,1400.0,,,,0.0
8,0.5001147587037591,0.25639931740614336,0.6296296296296297,0.0008351311851903403,12.0,14369.0,1572.0,0.0,0.4166666666666667,0.4166666666666667,0.4861111111111111,0.5833333333333334,0.5277777777777778,0.75,0.5604166666666667,1.0,0.0031806615776081423,0.1318143301007438,1400.0,,,,0.0
9,0.5001331200963606,0.15106897518575635,0.5722222222222222,0.0007004763239002522,10.0,14276.0,1572.0,0.0,0.1,0.1,0.25,0.5,0.33999999999999997,0.9,0.35666666666666663,1.0,0.0006361323155216285,0.13702402430918242,1443.0,,,,0.0
10,0.5001459730711816,0.15598878847726771,0.6269841269841271,0.0004885197850512946,7.0,14329.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.3261904761904762,0.7142857142857143,0.3678571428571429,1.0,0.0006361323155216285,0.1298435171385991,1394.0,1.9850746268656716,0.05715131671301692,0.0009564332523343991,0.0
11,0.5001606621852628,0.16026195859535078,0.5694444444444444,0.0005649318550949792,8.0,14161.0,1572.0,0.0,0.0,0.0,0.20833333333333331,0.5,0.20833333333333331,0.5,0.28125,1.0,0.0,0.13262723779173305,1415.0,,,,0.0
12,0.5001716790208236,0.20962473940236276,0.5231481481481483,0.0004167824395665463,6.0,14396.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.375,0.6666666666666666,0.41435185185185186,1.0,0.0006361323155216285,0.12939136782553154,1418.0,,,,0.0
13,0.5001716790208236,,,0.0,0.0,14437.0,1572.0,0.0,,,,,,,,,0.0,0.12962618560535616,1394.0,,,,0.0
14,0.5001955488312055,0.2637389065960495,0.7430555555555555,0.0008924893587807223,13.0,14566.0,1572.0,0.0,0.5833333333333334,0.5833333333333334,0.625,0.6666666666666666,0.625,0.6666666666666666,0.6695436507936506,1.0,0.004452926208651399,0.12824233629602758,1414.0,,,,0.0
