round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000082626266706,0.8888712131691796,0.3666666666666667,0.00034570974210053237,5.0,14463.0,1572.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.28944444444444445,1.0,0.0006361323155216285,0.13251498163541464,1371.0,2.0,0.0572507888702804,0.0007563071723940062,0.0
1,0.5000211156014917,0.7620520649204564,0.5174603174603175,0.0004918839153959665,7.0,14231.0,1572.0,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.42142857142857143,0.7142857142857143,0.45952380952380956,1.0,0.001272264631043257,0.13430324623911322,1357.0,,,,0.0
2,0.5000358047155729,0.7738446625681152,0.5208333333333334,0.0005585812037424941,8.0,14322.0,1572.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.16666666666666666,0.5,0.2347222222222222,1.0,0.0,0.1330735509011203,1366.0,,,,0.0
3,0.5000578383866946,0.7785898414019512,0.643939393939394,0.0008316008316008316,12.0,14430.0,1572.0,0.0,0.45454545454545453,0.45454545454545453,0.5,0.5454545454545454,0.5409090909090909,0.7272727272727273,0.5714646464646465,1.0,0.0031806615776081423,0.13211955992600527,1357.0,,,,0.0
4,0.5000725275007758,0.7333753627193589,0.625,0.0005524098881369977,8.0,14482.0,1572.0,0.0,0.5,0.5,0.5625,0.625,0.61875,0.875,0.634375,1.0,0.002544529262086514,0.13270698766881972,1356.0,,,,0.0
5,0.5000817081970765,0.8490504799392307,0.7555555555555555,0.00034516084495374847,5.0,14486.0,1572.0,0.0,0.6,0.6,0.6,0.6,0.64,0.8,0.66,1.0,0.0019083969465648854,0.13388590931253047,1373.0,,,,0.0
6,0.5000982334504178,0.8505838457818005,0.5802469135802469,0.0006214611241541223,9.0,14482.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.37037037037037035,0.4444444444444444,0.42037037037037034,0.6666666666666666,0.4549382716049383,1.0,0.0019083969465648854,0.1319851504493943,1351.0,,,,0.0
7,0.5001165948430193,0.7134817477876106,0.535493827160494,0.000690894016857814,10.0,14474.0,1572.0,0.0,0.2222222222222222,0.2222222222222222,0.35185185185185186,0.5555555555555556,0.35185185185185186,0.5555555555555556,0.4097001763668431,1.0,0.001272264631043257,0.13309914129586262,1364.0,,,,0.0
8,0.5001312839571005,0.6801639515455304,0.47222222222222227,0.0005566379070414695,8.0,14372.0,1572.0,0.0,0.25,0.25,0.29166666666666663,0.375,0.32291666666666663,0.5,0.3875,1.0,0.001272264631043257,0.13488554867865213,1373.0,,,,0.0
9,0.5001569899067425,0.7335969653394158,0.5488782051282052,0.0009709411193564048,14.0,14419.0,1572.0,0.0,0.3076923076923077,0.3076923076923077,0.33333333333333337,0.38461538461538464,0.34871794871794876,0.46153846153846156,0.42548840048840053,1.0,0.002544529262086514,0.1337192190719121,1363.0,,,,0.0
10,0.5001735151600838,0.6516047132855152,0.4713541666666667,0.0006304286915102269,9.0,14276.0,1572.0,0.0,0.25,0.25,0.29166666666666663,0.375,0.31666666666666665,0.5,0.3895833333333333,1.0,0.001272264631043257,0.13483807654563298,1374.0,2.0,0.05711151036632091,0.0007563071723940062,0.0
11,0.5001826958563845,0.6330133699005829,0.711111111111111,0.0003427004797806717,5.0,14590.0,1572.0,0.0,0.4,0.4,0.4,0.4,0.45,0.6,0.5166666666666666,1.0,0.001272264631043257,0.13156626506024097,1365.0,,,,0.0
12,0.5001955488312055,0.7657059777663489,0.6507936507936508,0.00048439554356099926,7.0,14451.0,1572.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4928571428571429,0.7142857142857143,0.5214285714285715,1.0,0.0019083969465648854,0.13242951173985656,1348.0,,,,0.0
13,0.5002102379452867,0.6847909008946528,0.373015873015873,0.0005545158383586332,8.0,14427.0,1572.0,0.0,0.25,0.25,0.3125,0.375,0.3125,0.375,0.3909722222222222,1.0,0.001272264631043257,0.13386971694455216,1381.0,,,,0.0
14,0.5002322716164085,0.7409868149979398,0.5883838383838385,0.0008233841086867024,12.0,14574.0,1572.0,0.0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.5454545454545454,0.39696969696969703,0.8181818181818182,0.4174242424242424,1.0,0.001272264631043257,0.13064018511376785,1355.0,,,,0.0
15,0.5002561414267904,0.8468623481781375,0.7870370370370372,0.0008994672386355774,13.0,14453.0,1572.0,0.0,0.5384615384615384,0.5384615384615384,0.6282051282051282,0.7692307692307693,0.6474358974358974,0.8461538461538461,0.6694139194139195,1.0,0.004452926208651399,0.13186174847516702,1362.0,,,,0.0
16,0.500276338958652,0.7517777467930843,0.4138888888888889,0.0007662835249042146,11.0,14355.0,1572.0,0.0,0.0,0.0,0.03333333333333333,0.1,0.07833333333333334,0.3,0.1716666666666667,1.0,0.0,0.1327694728560189,1350.0,,,,0.0
17,0.5002873557942129,0.847672819652263,0.7037037037037037,0.0004193458205199888,6.0,14308.0,1572.0,0.0,0.5,0.5,0.5555555555555555,0.6666666666666666,0.5972222222222222,0.8333333333333334,0.6138888888888888,1.0,0.0019083969465648854,0.13677633505808845,1401.0,,,,0.0
18,0.5002928642119933,0.9502823302575402,0.9629629629629629,0.00020654044750430294,3.0,14525.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.001272264631043257,0.13364687438761513,1364.0,,,,0.0
19,0.5003075533260745,0.8095820519988817,0.5634920634920635,0.0005588153115395362,8.0,14316.0,1572.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.3645833333333333,0.625,0.41889880952380953,1.0,0.001272264631043257,0.1351777099537265,1373.0,,,,0.0
20,0.5003222424401557,0.8130358130530974,0.5486111111111112,0.000552791597567717,8.0,14472.0,1572.0,0.0,0.25,0.25,0.29166666666666663,0.375,0.31666666666666665,0.5,0.3779265873015873,1.0,0.001272264631043257,0.1329849012775842,1374.0,1.9863013698630136,0.05701770868307561,0.0007563071723940062,0.0
21,0.5003442761112774,0.7953532176677957,0.5746527777777778,0.0008287865184059672,12.0,14479.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.5,0.3083333333333333,0.5833333333333334,0.36306216931216934,1.0,0.001272264631043257,0.13274336283185842,1380.0,,,,0.0
22,0.5003552929468382,0.6958438877943521,0.47777777777777775,0.0004220002813335209,6.0,14218.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5518518518518519,1.0,0.0019083969465648854,0.13454689354966362,1360.0,,,,0.0
23,0.500364473643139,0.7799737224258351,0.8,0.0003456380478363058,5.0,14466.0,1572.0,0.0,0.4,0.4,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.001272264631043257,0.13254060324825986,1371.0,,,,0.0
24,0.5003828350357404,0.7395788672982506,0.6392746913580247,0.0006910372469076083,10.0,14471.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.5185185185185185,0.6666666666666666,0.5462962962962963,0.7777777777777778,0.5745149911816578,1.0,0.002544529262086514,0.13322223311440054,1359.0,,,,0.0
25,0.5003975241498216,0.6826559708671155,0.675,0.0005493750858398572,8.0,14562.0,1572.0,0.0,0.25,0.25,0.35416666666666663,0.5,0.41041666666666665,0.75,0.44613095238095235,1.0,0.001272264631043257,0.13134066789991236,1349.0,,,,0.0
26,0.5004030325676021,0.5534678407173726,0.5,0.000207957853874948,3.0,14426.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5416666666666666,1.0,0.0006361323155216285,0.1333071946677122,1360.0,,,,0.0
27,0.5004177216816832,0.6945153953813856,0.5966435185185185,0.0005595188138201147,8.0,14298.0,1572.0,0.0,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7142857142857143,1.0,0.002544529262086514,0.13379729464810822,1365.0,,,,0.0
28,0.5004360830742847,0.730492981855529,0.6936728395061729,0.0006842285323297981,10.0,14615.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.49444444444444446,0.6666666666666666,0.540079365079365,1.0,0.002544529262086514,0.1315410465674508,1370.0,,,,0.0
29,0.5004581167454064,0.7524734837865619,0.5720899470899471,0.0008403361344537816,12.0,14280.0,1572.0,0.0,0.08333333333333333,0.08333333333333333,0.2222222222222222,0.4166666666666667,0.25972222222222224,0.5833333333333334,0.3106481481481482,1.0,0.0006361323155216285,0.13350348483361146,1360.0,,,,0.0
