round,coverage,auc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,uauc_feedback
0,0.5000009180696301,0.8841018151470894,6.954102920723227e-05,1.0,14380.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.11970606826801516,1515.0,2.0,0.057074088884086,0.0006389294833327995,0.0,
1,0.5000100987659308,0.4061303219471137,0.0003505819660636657,5.0,14262.0,1572.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.20666666666666664,0.6,0.2538888888888889,1.0,0.0,0.12116149562450279,1523.0,,,,0.0,0.46190476190476193
2,0.5000229517407518,0.4625749388656622,0.00048292514660227664,7.0,14495.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.29047619047619044,0.5714285714285714,0.3394557823129252,1.0,0.0006361323155216285,0.1187514667918329,1518.0,,,,0.0,0.4537037037037037
3,0.500037640854833,0.3487254800027726,0.0005542085209560097,8.0,14435.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.38888888888888884,0.5,0.46388888888888885,0.8333333333333334,0.4916666666666667,1.0,0.001272264631043257,0.11937947869911017,1516.0,,,,0.0,0.4291666666666667
4,0.5000449854118736,0.40520695421921815,0.0002786485545106235,4.0,14355.0,1572.0,0.0,0.5,0.5,0.5833333333333333,0.75,0.5833333333333333,0.75,0.625,1.0,0.001272264631043257,0.12032673578385171,1532.0,,,,0.0,0.5370370370370371
5,0.5000523299689141,0.3503850957535387,0.0002774694783573807,4.0,14416.0,1572.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.3958333333333333,0.75,0.4375,1.0,0.0006361323155216285,0.11974773354355538,1519.0,,,,0.0,0.5347222222222222
6,0.5000596745259548,0.4078679311556024,0.00028091860383453897,4.0,14239.0,1572.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.001272264631043257,0.12149756525904047,1522.0,,,,0.0,0.6296296296296297
7,0.5000651829437351,0.40343160836597713,0.00020612889927167788,3.0,14554.0,1572.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25925925925925924,1.0,0.0,0.12107835409112408,1536.0,,,,0.0,0.5370370370370371
8,0.5000798720578163,0.31521795582023404,0.0005536715343622396,8.0,14449.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.31428571428571433,0.7142857142857143,0.35595238095238096,1.0,0.0006361323155216285,0.11999369284137495,1522.0,,,,0.0,0.34474206349206354
9,0.5000835443363366,0.37081248262440925,0.0001389854065323141,2.0,14390.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.0,0.12001582278481013,1517.0,,,,0.0,0.5277777777777778
