round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000197376212219,0.23435940099833608,0.6555555555555557,0.0020755500207555004,5.0,2409.0,247.0,0.0,0.2,0.2,0.2,0.2,0.35,0.8,0.38333333333333336,1.0,0.004048582995951417,0.1293206197854589,217.0,1.9202453987730062,0.16192596260098124,0.00569496029037042,0.0
1,0.5000504405875671,0.35406068585792083,0.7777777777777778,0.0029239766081871343,7.0,2394.0,247.0,0.0,0.42857142857142855,0.42857142857142855,0.5476190476190477,0.7142857142857143,0.5833333333333333,0.8571428571428571,0.6037414965986395,1.0,0.012145748987854251,0.14102564102564102,231.0,,,,0.0
2,0.5000986881061095,0.4281210592686002,0.9277777777777778,0.004602510460251046,11.0,2390.0,247.0,0.0,0.7,0.7,0.8,0.9,0.8,0.9,0.8125,1.0,0.02834008097165992,0.13568129330254042,235.0,,,,0.0
3,0.5001293910724546,0.5097009133783058,0.9682539682539683,0.002916666666666667,7.0,2400.0,247.0,0.0,0.8571428571428571,0.8571428571428571,0.9047619047619048,1.0,0.9047619047619048,1.0,0.9047619047619048,1.0,0.024291497975708502,0.133769322235434,225.0,,,,0.0
4,0.5001557079007505,0.34413067552602433,0.6409722222222223,0.0024855012427506215,6.0,2414.0,247.0,0.0,0.2,0.2,0.3333333333333333,0.6,0.3733333333333333,0.8,0.4019047619047619,1.0,0.004048582995951417,0.13075060532687652,216.0,,,,0.0
5,0.5001820247290463,0.27834443519289476,0.8645833333333333,0.0024916943521594683,6.0,2408.0,247.0,0.0,0.6,0.6,0.7666666666666667,1.0,0.7666666666666667,1.0,0.7666666666666667,1.0,0.012145748987854251,0.1358695652173913,225.0,,,,0.0
6,0.5002214999714901,0.3566877521085442,0.6686507936507936,0.0036991368680641184,9.0,2433.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5416666666666666,0.6666666666666666,0.5821428571428572,1.0,0.012145748987854251,0.1320307874481942,223.0,,,,0.0
7,0.5002390445236874,0.2899003815175922,0.7222222222222222,0.0016927634363097758,4.0,2363.0,247.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.3958333333333333,0.75,0.4270833333333333,1.0,0.004048582995951417,0.13782816229116945,231.0,,,,0.0
8,0.5002872920422298,0.2543484027435674,0.8333333333333335,0.004564315352697096,11.0,2410.0,247.0,0.0,0.45454545454545453,0.45454545454545453,0.5757575757575758,0.7272727272727273,0.6166666666666667,0.9090909090909091,0.6318181818181818,1.0,0.020242914979757085,0.1361474435196195,229.0,,,,0.0
9,0.5003179950085749,0.27698079231692674,0.6458333333333334,0.002932551319648094,7.0,2387.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4083333333333334,0.6666666666666666,0.4599206349206349,1.0,0.008097165991902834,0.13947847180109157,230.0,,,,0.0
10,0.5003399256988215,0.11192468619246865,0.7666666666666667,0.0020876826722338203,5.0,2395.0,247.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6619047619047619,1.0,0.012145748987854251,0.13310185185185186,230.0,1.9038461538461537,0.16178749378952428,0.004950960906163451,0.0
11,0.5003486979749201,0.043551088777219416,0.5,0.0008368200836820083,2.0,2390.0,247.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.13714967203339296,230.0,,,,0.0
12,0.5003794009412652,0.3177860696517413,0.6984126984126985,0.0028937577511368336,7.0,2419.0,247.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.5603174603174603,1.0,0.012145748987854251,0.12912565141864504,223.0,,,,0.0
13,0.5004101039076104,0.23319241383359757,0.865079365079365,0.0028688524590163933,7.0,2440.0,247.0,0.0,0.5714285714285714,0.5714285714285714,0.6904761904761905,0.8571428571428571,0.6904761904761905,0.8571428571428571,0.7083333333333333,1.0,0.016194331983805668,0.12854661262304573,222.0,,,,0.0
14,0.5004232623217583,0.4960084033613445,0.7000000000000001,0.001258917331095258,3.0,2383.0,247.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.0,0.7777777777777778,1.0,0.7777777777777778,1.0,0.008097165991902834,0.13430127041742287,222.0,,,,0.0
15,0.5004364207359062,0.3812071330589849,0.5,0.0012330456226880395,3.0,2433.0,247.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.2976190476190476,1.0,0.0,0.13145539906103287,224.0,,,,0.0
