round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000416683114685,0.8269295302013422,0.7579365079365079,0.004177109440267335,10.0,2394.0,247.0,0.0,0.5,0.5,0.6041666666666666,0.75,0.6041666666666666,0.75,0.6428571428571429,1.0,0.016194331983805668,0.13239074550128535,206.0,1.9748427672955975,0.162397800695271,0.005775355179325172,0.0
1,0.5000855296919615,0.7967927631578947,0.5979938271604939,0.004095004095004095,10.0,2442.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.4259259259259259,0.5555555555555556,0.44814814814814813,0.6666666666666666,0.4962962962962963,1.0,0.012145748987854251,0.1329479768786127,207.0,,,,0.0
2,0.5001381633485532,0.8221220287451629,0.7563492063492063,0.0049504950495049506,12.0,2424.0,247.0,0.0,0.5,0.5,0.5833333333333333,0.7,0.6283333333333333,0.9,0.6383333333333334,1.0,0.020242914979757085,0.13720316622691292,208.0,,,,0.0
3,0.5001688663148984,0.7749772520473157,0.7175925925925926,0.0029635901778154107,7.0,2362.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6666666666666666,0.47222222222222215,0.6666666666666666,0.5208333333333334,1.0,0.008097165991902834,0.1382636655948553,215.0,,,,0.0
4,0.5002258861095394,0.9075710685001436,0.6700680272108844,0.005363036303630363,13.0,2424.0,247.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6285714285714287,0.8571428571428571,0.6464285714285715,1.0,0.016194331983805668,0.13109756097560976,215.0,,,,0.0
5,0.5002829059041805,0.8212509226276435,0.7027417027417028,0.0053941908713692945,13.0,2410.0,247.0,0.0,0.36363636363636365,0.36363636363636365,0.4848484848484848,0.6363636363636364,0.5075757575757576,0.7272727272727273,0.5431818181818181,1.0,0.016194331983805668,0.13149454778704298,205.0,,,,0.0
6,0.5003092227324762,0.9316810640340052,0.8541666666666667,0.0024620434961017644,6.0,2437.0,247.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8285714285714285,1.0,0.016194331983805668,0.13510019392372333,209.0,,,,0.0
7,0.5003530841129694,0.757787056367432,0.650462962962963,0.004158004158004158,10.0,2405.0,247.0,0.0,0.4444444444444444,0.4444444444444444,0.5,0.5555555555555556,0.5,0.5555555555555556,0.5613756613756613,1.0,0.016194331983805668,0.1421988150098749,216.0,,,,0.0
8,0.5003794009412652,0.9191247749619167,0.6666666666666666,0.0024865312888520514,6.0,2413.0,247.0,0.0,0.0,0.0,0.2222222222222222,0.5,0.2638888888888889,0.6666666666666666,0.3154761904761905,1.0,0.0,0.1393067364290386,213.0,,,,0.0
9,0.5004232623217583,0.8961538461538461,0.49404761904761907,0.004118616144975288,10.0,2428.0,247.0,0.0,0.125,0.125,0.16666666666666666,0.25,0.22291666666666665,0.5,0.29097222222222224,1.0,0.004048582995951417,0.13654096228868662,210.0,,,,0.0
