round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000181418741375,0.8444653402699662,0.5611111111111111,0.0008990784445942908,16.0,17796.0,1924.0,0.0,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.25,0.5333333333333333,0.3187830687830687,1.0,0.0010395010395010396,0.12259371833839919,1694.0,1.9930555555555556,0.05593936374577095,0.00020176458274687246,0.0
1,0.5000321871960505,0.9386269713311465,0.6919191919191919,0.0006667037057614312,12.0,17999.0,1924.0,0.0,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.4772727272727273,0.6363636363636364,0.5319264069264069,1.0,0.002079002079002079,0.12068719703450242,1693.0,,,,0.0
2,0.5000450620744706,0.9654163483575249,0.7092063492063493,0.0006158669727338895,11.0,17861.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.4047619047619047,0.8571428571428571,0.4251700680272109,1.0,0.0005197505197505198,0.12259927797833935,1698.0,,,,0.0
3,0.5000684709443255,0.9239819759679574,0.6852548036758562,0.0011113580795732384,20.0,17996.0,1924.0,0.0,0.3157894736842105,0.3157894736842105,0.42105263157894735,0.5789473684210527,0.431578947368421,0.631578947368421,0.4848370927318295,1.0,0.0031185031185031187,0.12163045847562305,1674.0,,,,0.0
4,0.500080175379253,0.789913769123783,0.5027777777777778,0.0005560189046427579,10.0,17985.0,1924.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.29166666666666663,0.5,0.35305555555555557,1.0,0.0010395010395010396,0.12418110350851652,1706.0,,,,0.0
5,0.5000907093706877,0.8889199081828897,0.7469135802469136,0.0005022601707684581,9.0,17919.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.48148148148148145,0.6666666666666666,0.5092592592592592,0.7777777777777778,0.5374779541446207,1.0,0.0015592515592515593,0.12183327318657525,1688.0,,,,0.0
6,0.5001047546926006,0.911330897900619,0.5404040404040404,0.0006791940230925968,12.0,17668.0,1924.0,0.0,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.4727272727272727,0.7272727272727273,0.501010101010101,1.0,0.002079002079002079,0.12319104065158898,1694.0,,,,0.0
7,0.500111777353557,0.9573390573892357,0.763888888888889,0.00033441087950061306,6.0,17942.0,1924.0,0.0,0.4,0.4,0.5666666666666667,0.8,0.6166666666666667,1.0,0.6166666666666667,1.0,0.0010395010395010396,0.12272989334102047,1703.0,,,,0.0
8,0.5001316748929336,0.8798559963008225,0.6160130718954248,0.0009536096931620576,17.0,17827.0,1924.0,0.0,0.29411764705882354,0.29411764705882354,0.38235294117647056,0.5294117647058824,0.39705882352941174,0.5882352941176471,0.4503968253968254,1.0,0.002598752598752599,0.12277809633027523,1713.0,,,,0.0
9,0.5001504019888176,0.9544329731389959,0.7097222222222221,0.0008927076940244379,16.0,17923.0,1924.0,0.0,0.4,0.4,0.49999999999999994,0.6666666666666666,0.5299999999999999,0.8,0.5543386243386244,1.0,0.0031185031185031187,0.12190531345012307,1684.0,,,,0.0
