round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000017556652391,0.2112744824507561,0.5357142857142857,0.00011158846175305474,2.0,17923.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,1.0,0.0005197505197505198,0.12947787403418404,1659.0,2.0,0.05635795923095719,0.0002826597787632237,0.0
1,0.5000087783261956,0.5986405031164856,0.7222222222222222,0.000335795836131632,6.0,17868.0,1924.0,0.0,0.4,0.4,0.4666666666666666,0.6,0.5166666666666666,0.8,0.538888888888889,1.0,0.0010395010395010396,0.13114754098360656,1640.0,,,,0.0
2,0.5000134601001666,0.3891574006816786,0.4305555555555556,0.0002234512038433607,4.0,17901.0,1924.0,0.0,0.0,0.0,0.20833333333333331,0.5,0.2708333333333333,0.75,0.2986111111111111,1.0,0.0,0.12900165994783022,1632.0,,,,0.0
3,0.5000169714306448,0.8455419383854283,0.8148148148148149,0.00016862458546456073,3.0,17791.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555556,1.0,0.0005197505197505198,0.13174603174603175,1660.0,,,,0.0
4,0.500029846309065,0.3255695506241756,0.5507936507936508,0.0006159014557670773,11.0,17860.0,1924.0,0.0,0.2727272727272727,0.2727272727272727,0.3939393939393939,0.5454545454545454,0.44848484848484843,0.8181818181818182,0.4737373737373737,1.0,0.0015592515592515593,0.1324725011956002,1662.0,,,,0.0
5,0.5000380394135142,0.42645582329317266,0.45351473922902497,0.00039029829941455253,7.0,17935.0,1924.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.17454648526077096,1.0,0.0,0.12861937095137752,1648.0,,,,0.0
6,0.5000438916309778,0.25897322171092757,0.6333333333333334,0.0002771311384547168,5.0,18042.0,1924.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.36666666666666664,0.6,0.41388888888888886,1.0,0.0005197505197505198,0.13048237041669924,1669.0,,,,0.0
7,0.5000474029614561,0.6328291914989318,0.5925925925925927,0.0001686435437629996,3.0,17789.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.4537037037037037,1.0,0.0005197505197505198,0.13346425765907305,1699.0,,,,0.0
8,0.5000555960659053,0.2779467141439127,0.4603174603174603,0.00038586626977564633,7.0,18141.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.5714285714285714,0.38571428571428573,0.7142857142857143,0.4194444444444444,1.0,0.0005197505197505198,0.1284794913545786,1657.0,,,,0.0
9,0.5000626187268618,0.3687977717320896,0.74,0.00033301881556307934,6.0,18017.0,1924.0,0.0,0.6,0.6,0.7666666666666666,1.0,0.7666666666666666,1.0,0.7666666666666666,1.0,0.0015592515592515593,0.12948960302457466,1644.0,,,,0.0
10,0.5000731527182964,0.2140207208883926,0.6371527777777779,0.0005022601707684581,9.0,17919.0,1924.0,0.0,0.375,0.375,0.5,0.625,0.53125,0.75,0.5645833333333333,1.0,0.0015592515592515593,0.13159768932499802,1663.0,1.9932432432432432,0.056279446681211404,0.0002826597787632237,0.0
11,0.5000860275967167,0.266384778012685,0.5305555555555557,0.0006160394265232974,11.0,17856.0,1924.0,0.0,0.3,0.3,0.35,0.4,0.375,0.5,0.440952380952381,1.0,0.0015592515592515593,0.1322917484493994,1685.0,,,,0.0
12,0.5000965615881514,0.39645123004554805,0.6172839506172839,0.0005030743432084964,9.0,17890.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38333333333333336,0.5555555555555556,0.43253968253968256,1.0,0.0015592515592515593,0.13167399497487436,1677.0,,,,0.0
13,0.5001094364665716,0.2928665432964063,0.7666666666666666,0.0006097560975609756,11.0,18040.0,1924.0,0.0,0.5454545454545454,0.5454545454545454,0.606060606060606,0.7272727272727273,0.6287878787878788,0.8181818181818182,0.6547619047619047,1.0,0.0031185031185031187,0.1304449284380834,1677.0,,,,0.0
14,0.500116459127528,0.20792152507865996,0.6666666666666666,0.0003330373001776199,6.0,18016.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.5,0.38055555555555554,0.8333333333333334,0.4083333333333334,1.0,0.0005197505197505198,0.12872282818906167,1664.0,,,,0.0
15,0.5001188000145135,0.568317355924646,1.0,0.00011145786892554614,2.0,17944.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010395010395010396,0.12956706215133182,1649.0,,,,0.0
16,0.5001223113449917,0.24206792537146693,0.8148148148148149,0.00016755096341803966,3.0,17905.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015592515592515593,0.13031914893617022,1666.0,,,,0.0
