round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000040965522246,0.16063399280575538,0.5555555555555556,0.0002247696111485727,4.0,17796.0,1924.0,0.0,0.0,0.0,0.125,0.25,0.2375,0.75,0.2652777777777778,1.0,0.0,0.12589313451382417,1621.0,2.0,0.0559520111919708,0.00020176458274687246,0.0
1,0.5000134601001666,0.24557417597687736,0.35416666666666663,0.00044446913717428746,8.0,17999.0,1924.0,0.0,0.125,0.125,0.125,0.125,0.18125,0.375,0.25972222222222224,1.0,0.0005197505197505198,0.1269976067320312,1645.0,,,,0.0
2,0.5000216532046158,0.36976907935796705,0.4920634920634921,0.0003919153462852024,7.0,17861.0,1924.0,0.0,0.0,0.0,0.19047619047619047,0.42857142857142855,0.2261904761904762,0.5714285714285714,0.27261904761904765,1.0,0.0,0.1256427968378233,1637.0,,,,0.0
3,0.500029846309065,0.22441889090952405,0.5204081632653061,0.0003889753278506335,7.0,17996.0,1924.0,0.0,0.0,0.0,0.11904761904761904,0.2857142857142857,0.18333333333333332,0.5714285714285714,0.24087301587301588,1.0,0.0,0.12425629290617848,1629.0,,,,0.0
4,0.5000368689700214,0.170958949827567,0.5925925925925926,0.0003336298932384342,6.0,17984.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.562962962962963,1.0,0.0015592515592515593,0.1248760393622702,1637.0,,,,0.0
5,0.5000438916309778,0.3342963211075755,0.46296296296296297,0.0003348401138456387,6.0,17919.0,1924.0,0.0,0.0,0.0,0.19444444444444442,0.5,0.19444444444444442,0.5,0.25046296296296294,1.0,0.0,0.12500938508897064,1665.0,,,,0.0
6,0.5000509142919344,0.3165930623183482,0.425925925925926,0.0003395970115462984,6.0,17668.0,1924.0,0.0,0.0,0.0,0.13888888888888887,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.26455026455026454,1.0,0.0,0.12704450361354128,1670.0,,,,0.0
7,0.5000579369528908,0.2618994517238175,0.711111111111111,0.0003344295189788752,6.0,17941.0,1924.0,0.0,0.4,0.4,0.4666666666666667,0.6,0.4666666666666667,0.6,0.5285714285714286,1.0,0.0010395010395010396,0.126320555387866,1674.0,,,,0.0
8,0.5000684709443255,0.15791771117845876,0.6635802469135803,0.0005048521904975599,9.0,17827.0,1924.0,0.0,0.2222222222222222,0.2222222222222222,0.3888888888888889,0.6666666666666666,0.4388888888888889,0.8888888888888888,0.44999999999999996,1.0,0.0010395010395010396,0.12231022115959354,1637.0,,,,0.0
9,0.5000766640487747,0.24370240421035844,0.5968253968253968,0.0003905814083249637,7.0,17922.0,1924.0,0.0,0.0,0.0,0.16666666666666666,0.42857142857142855,0.23809523809523808,0.7142857142857143,0.2797619047619047,1.0,0.0,0.12469071005473495,1663.0,,,,0.0
10,0.5000860275967167,0.20307357617002286,0.6481481481481481,0.0004460551993309172,8.0,17935.0,1924.0,0.0,0.5,0.5,0.5833333333333333,0.75,0.5833333333333333,0.75,0.6220238095238095,1.0,0.002079002079002079,0.12673948825377823,1694.0,2.0,0.05588345924502834,0.00020176458274687246,0.0
11,0.5000907093706877,0.39007156382267766,0.8148148148148149,0.00022271714922048998,4.0,17960.0,1924.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666666666667,1.0,0.0015592515592515593,0.12464046021093,1690.0,,,,0.0
12,0.5001047546926006,0.3769178594817102,0.5694444444444445,0.0006731362539967466,12.0,17827.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666666,0.5833333333333334,0.45833333333333326,0.75,0.4833333333333332,1.0,0.002079002079002079,0.12698766532917224,1709.0,,,,0.0
13,0.5001106069100643,0.10414161656646624,0.3555555555555555,0.00027825699816350384,5.0,17969.0,1924.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.3005555555555556,1.0,0.0005197505197505198,0.12451023073574227,1716.0,,,,0.0
14,0.500121140901499,0.3347231446633705,0.37654320987654327,0.0004978702218288432,9.0,18077.0,1924.0,0.0,0.1111111111111111,0.1111111111111111,0.2037037037037037,0.3333333333333333,0.2537037037037037,0.5555555555555556,0.30537918871252206,1.0,0.0005197505197505198,0.12486364628027052,1717.0,,,,0.0
15,0.5001293340059482,0.11357849280406133,0.65625,0.00039097408400357465,7.0,17904.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.5416666666666666,0.6666666666666666,0.5810185185185185,1.0,0.0015592515592515593,0.1261764705882353,1716.0,,,,0.0
16,0.5001316748929336,0.15598901406871812,0.36507936507936506,0.00011208877430925293,2.0,17843.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.12612546665690652,1723.0,,,,0.0
