round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000029261087319,0.43904746007900736,0.9259259259259259,0.00016688918558077436,3.0,17976.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777777,1.0,0.7777777777777777,1.0,0.7777777777777777,1.0,0.0010395010395010396,0.11746609743847312,1871.0,2.0,0.05615318524420923,0.0002919515549952046,0.0
1,0.5000087783261956,0.5080722691861428,0.7722222222222223,0.0002761820592134335,5.0,18104.0,1924.0,0.0,0.2,0.2,0.5,1.0,0.5,1.0,0.5,1.0,0.0005197505197505198,0.11691961776278809,1872.0,,,,0.0
2,0.5000146305436592,0.49965923691413894,0.425925925925926,0.00027923601027588516,5.0,17906.0,1924.0,0.0,0.4,0.4,0.4,0.4,0.49000000000000005,0.8,0.5122222222222222,1.0,0.0010395010395010396,0.11830399394283551,1875.0,,,,0.0
3,0.5000169714306448,0.6079135692888051,0.75,0.00011093854004881296,2.0,18028.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,1.0,0.0005197505197505198,0.11835626814796112,1875.0,,,,0.0
4,0.5000216532046158,0.3346520309801081,0.3148148148148148,0.00022282881176536126,4.0,17951.0,1924.0,0.0,0.25,0.25,0.375,0.5,0.425,0.75,0.4666666666666667,1.0,0.0005197505197505198,0.11796331435800127,1865.0,,,,0.0
5,0.5000286758655722,0.38129993141670837,0.7395833333333334,0.0003335371615987548,6.0,17989.0,1924.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6851851851851851,1.0,0.0015592515592515593,0.11856415414597347,1886.0,,,,0.0
6,0.5000368689700214,0.36326599488934963,0.7269841269841271,0.0003935901040202418,7.0,17785.0,1924.0,0.0,0.2,0.2,0.4333333333333333,0.8,0.4833333333333333,1.0,0.4833333333333333,1.0,0.0005197505197505198,0.11915516254214645,1873.0,,,,0.0
7,0.5000415507439924,0.34518116349724315,0.3194444444444444,0.0002249971875351558,4.0,17778.0,1924.0,0.0,0.0,0.0,0.20833333333333331,0.5,0.20833333333333331,0.5,0.26111111111111107,1.0,0.0,0.11925323850647701,1878.0,,,,0.0
8,0.5000438916309778,0.45915985997666275,0.4513888888888889,0.00011111728429357187,2.0,17999.0,1924.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.22916666666666666,1.0,0.0,0.11842022116903633,1874.0,,,,0.0
9,0.5000509142919344,0.507722962631127,0.5462962962962964,0.0003358710255261979,6.0,17864.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4226190476190476,1.0,0.0010395010395010396,0.11860332721867291,1875.0,,,,0.0
