round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5005931198102017,0.8132630077679672,0.5629218426501036,0.008793078995887108,62.0,7051.0,711.0,0.0,0.1956521739130435,0.1956521739130435,0.30434782608695654,0.45652173913043476,0.34130434782608693,0.6304347826086957,0.38905279503105594,1.0,0.012658227848101266,0.17516289766193943,457.0,1.8466257668711656,0.04840063353810031,0.0180985252771487,0.0
1,0.5010560425888957,0.7839729921819475,0.639993686868687,0.006776789495976281,48.0,7083.0,711.0,0.0,0.2727272727272727,0.2727272727272727,0.3598484848484848,0.4772727272727273,0.3859848484848485,0.5909090909090909,0.4421626984126984,1.0,0.016877637130801686,0.1728865194211729,454.0,,,,0.0
2,0.5016057633885947,0.8104319939634032,0.6071269841269841,0.008105802047781569,57.0,7032.0,711.0,0.0,0.225,0.225,0.3875,0.575,0.425,0.75,0.45755952380952375,1.0,0.012658227848101266,0.16762562332182585,437.0,,,,0.0
3,0.5020783303918448,0.8128795988178623,0.5939376876876876,0.006935598018400566,49.0,7065.0,711.0,0.0,0.1891891891891892,0.1891891891891892,0.33783783783783783,0.5405405405405406,0.36891891891891887,0.6756756756756757,0.41417846417846416,1.0,0.009845288326300985,0.16973180076628352,443.0,,,,0.0
4,0.5026087627424317,0.785704302814623,0.5811556329849014,0.007768361581920904,55.0,7080.0,711.0,0.0,0.17073170731707318,0.17073170731707318,0.30894308943089427,0.4634146341463415,0.3699186991869919,0.7317073170731707,0.40530391018195894,1.0,0.009845288326300985,0.170982482863671,449.0,,,,0.0
5,0.5030041759492329,0.8062480923444046,0.5100136408730158,0.005796691644281069,41.0,7073.0,711.0,0.0,0.125,0.125,0.21875,0.375,0.284375,0.6875,0.3223958333333333,1.0,0.005625879043600563,0.16951124903025602,437.0,,,,0.0
6,0.5034863871770391,0.7652609811751283,0.6437092999593,0.007080147267063155,50.0,7062.0,711.0,0.0,0.20512820512820512,0.20512820512820512,0.37606837606837606,0.5897435897435898,0.4119658119658119,0.7435897435897436,0.44513634513634515,1.0,0.011251758087201125,0.17433320448395825,451.0,,,,0.0
7,0.5039300215066208,0.780385340378851,0.6022461334961334,0.006496257590735772,46.0,7081.0,711.0,0.0,0.20512820512820512,0.20512820512820512,0.28205128205128205,0.41025641025641024,0.3551282051282051,0.7435897435897436,0.38933658933658927,1.0,0.011251758087201125,0.17200610221205187,451.0,,,,0.0
8,0.5044025885098709,0.7625614961918128,0.5979308390022675,0.006928733031674208,49.0,7072.0,711.0,0.0,0.23809523809523808,0.23809523809523808,0.3055555555555555,0.40476190476190477,0.36746031746031743,0.6666666666666666,0.4107993197278911,1.0,0.014064697609001406,0.1715513872606487,439.0,,,,0.0
9,0.5048655112885648,0.8682839133522726,0.5877011684303352,0.006772009029345372,48.0,7088.0,711.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4722222222222222,0.37499999999999994,0.6666666666666666,0.420623897707231,1.0,0.011251758087201125,0.16712544239087693,425.0,,,,0.0
10,0.505338078291815,0.7436023650800143,0.5567653890824622,0.006965174129353234,49.0,7035.0,711.0,0.0,0.17073170731707318,0.17073170731707318,0.30894308943089427,0.4878048780487805,0.3308943089430894,0.5853658536585366,0.38473674022454507,1.0,0.009845288326300985,0.17543171114599687,447.0,1.7904191616766467,0.046096027410321073,0.015490374900261426,0.0
11,0.505656337702167,0.8680382457907675,0.5404838217338217,0.004666289592760181,33.0,7072.0,711.0,0.0,0.19230769230769232,0.19230769230769232,0.2948717948717948,0.4230769230769231,0.3121794871794872,0.5,0.384981684981685,1.0,0.007032348804500703,0.18261214767764986,460.0,,,,0.0
12,0.5059649528879631,0.8316663100841535,0.6612903225806452,0.004543518387050973,32.0,7043.0,711.0,0.0,0.16129032258064516,0.16129032258064516,0.32795698924731187,0.5806451612903226,0.38118279569892477,0.8064516129032258,0.40796210957501283,1.0,0.007032348804500703,0.17457826598666143,445.0,,,,0.0
13,0.5063892987684325,0.6672112515982385,0.48659211159211163,0.006212057037978258,44.0,7083.0,711.0,0.0,0.15151515151515152,0.15151515151515152,0.21212121212121213,0.30303030303030304,0.26515151515151514,0.5454545454545454,0.3282106782106782,1.0,0.007032348804500703,0.17926394934705184,453.0,,,,0.0
14,0.506890798445351,0.6877327185912039,0.5288859338061467,0.007348784624081402,52.0,7076.0,711.0,0.0,0.14893617021276595,0.14893617021276595,0.28014184397163117,0.44680851063829785,0.29503546099290784,0.5106382978723404,0.3583671057075312,1.0,0.009845288326300985,0.17722534081796312,442.0,,,,0.0
15,0.5070933271610296,0.7387951204338594,0.5619791666666667,0.002973240832507433,21.0,7063.0,711.0,0.0,0.1,0.1,0.21666666666666665,0.4,0.27416666666666667,0.65,0.3176984126984127,1.0,0.0028129395218002813,0.17776869636289333,435.0,,,,0.0
16,0.5074694519187185,0.7163777743560413,0.5840336134453781,0.005545286506469501,39.0,7033.0,711.0,0.0,0.11764705882352941,0.11764705882352941,0.2696078431372549,0.47058823529411764,0.30490196078431375,0.6176470588235294,0.3551003734827264,1.0,0.005625879043600563,0.18480492813141683,450.0,,,,0.0
17,0.5077973555536267,0.7050544134415453,0.5653292181069959,0.004822695035460993,34.0,7050.0,711.0,0.0,0.14814814814814814,0.14814814814814814,0.29012345679012347,0.48148148148148145,0.32345679012345674,0.6296296296296297,0.36912110523221636,1.0,0.005625879043600563,0.18651778329197685,451.0,,,,0.0
18,0.5080770380657543,0.7596708263201543,0.5665095899470899,0.004109977324263038,29.0,7056.0,711.0,0.0,0.16666666666666666,0.16666666666666666,0.2569444444444444,0.4166666666666667,0.32152777777777775,0.7083333333333334,0.3609953703703703,1.0,0.005625879043600563,0.18019884009942005,435.0,,,,0.0
19,0.5084242301497748,0.7321862475938024,0.6153701423097975,0.005086182537439954,36.0,7078.0,711.0,0.0,0.2413793103448276,0.2413793103448276,0.3505747126436781,0.5172413793103449,0.3954022988505747,0.7241379310344828,0.42877668308702793,1.0,0.009845288326300985,0.1917808219178082,448.0,,,,0.0
20,0.5087521337846831,0.6933510927476352,0.5919540229885057,0.004811093816329419,34.0,7067.0,711.0,0.0,0.20689655172413793,0.20689655172413793,0.3218390804597701,0.4827586206896552,0.37356321839080453,0.7241379310344828,0.4098522167487684,1.0,0.008438818565400843,0.18417748011720386,440.0,1.8466257668711656,0.044572368008415186,0.015644530457176137,0.0
21,0.509137902766928,0.7016192536889898,0.6294191919191919,0.0056433408577878106,40.0,7088.0,711.0,0.0,0.36363636363636365,0.36363636363636365,0.42424242424242425,0.5151515151515151,0.45757575757575764,0.6666666666666666,0.4996151996151996,1.0,0.016877637130801686,0.19041450777202074,441.0,,,,0.0
22,0.5094175852790557,0.668396598236449,0.5667261904761905,0.004100678733031674,29.0,7072.0,711.0,0.0,0.16,0.16,0.26666666666666666,0.44,0.31066666666666665,0.64,0.35926984126984124,1.0,0.005625879043600563,0.18447018447018448,430.0,,,,0.0
23,0.5096297582192904,0.6458558802308803,0.4904970760233918,0.0031082226617688614,22.0,7078.0,711.0,0.0,0.10526315789473684,0.10526315789473684,0.1754385964912281,0.2631578947368421,0.24122807017543857,0.5789473684210527,0.2985380116959064,1.0,0.0028129395218002813,0.1775377969762419,411.0,,,,0.0
24,0.5098515753840812,0.5874009963639506,0.6558641975308642,0.0032550240588734786,23.0,7066.0,711.0,0.0,0.2777777777777778,0.2777777777777778,0.3888888888888889,0.5555555555555556,0.4361111111111111,0.7777777777777778,0.46679894179894177,1.0,0.007032348804500703,0.18429890848026867,439.0,,,,0.0
25,0.5101023252225405,0.6024283731047977,0.6137152777777778,0.003681155316437774,26.0,7063.0,711.0,0.0,0.2916666666666667,0.2916666666666667,0.34722222222222215,0.4166666666666667,0.3826388888888889,0.5833333333333334,0.44260912698412697,1.0,0.009845288326300985,0.1846553966189857,426.0,,,,0.0
26,0.5102952097136629,0.656907707622298,0.5668859649122807,0.0028360748723766306,20.0,7052.0,711.0,0.0,0.10526315789473684,0.10526315789473684,0.24561403508771926,0.42105263157894735,0.27192982456140347,0.5263157894736842,0.333375104427736,1.0,0.0028129395218002813,0.18510546706844597,430.0,,,,0.0
27,0.5104784499802293,0.622205229587079,0.5755718954248366,0.0026858919988690983,19.0,7074.0,711.0,0.0,0.23529411764705882,0.23529411764705882,0.3137254901960784,0.4117647058823529,0.3666666666666667,0.6470588235294118,0.41059757236227823,1.0,0.005625879043600563,0.1808231173380035,413.0,,,,0.0
28,0.510680978695908,0.6519055722118683,0.5427083333333333,0.002969037183656157,21.0,7073.0,711.0,0.0,0.15,0.15,0.2416666666666667,0.35,0.2791666666666667,0.5,0.3505357142857143,1.0,0.004219409282700422,0.17450232952138925,412.0,,,,0.0
29,0.5108449305133621,0.6096867642884574,0.5868055555555556,0.00240690924536316,17.0,7063.0,711.0,0.0,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.4,0.3,0.6666666666666666,0.3437830687830688,1.0,0.0028129395218002813,0.189010989010989,430.0,,,,0.0
