round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5018139386867508,0.6504148123065016,0.45109421656451354,0.0272,136.0,5000.0,515.0,0.0,0.14285714285714285,0.14285714285714285,0.2523809523809524,0.4142857142857143,0.28666666666666674,0.5714285714285714,0.34458616780045354,1.0,0.017475728155339806,0.11727748691099477,112.0,2.0060240963855422,0.11170305963343308,0.009414341406191509,0.0
1,0.5036384852020791,0.6604727872457394,0.6001392529488858,0.02746919814178954,136.0,4951.0,515.0,0.0,0.22388059701492538,0.22388059701492538,0.3582089552238806,0.5373134328358209,0.40447761194029846,0.7313432835820896,0.43862828713574986,1.0,0.038834951456310676,0.12268041237113401,119.0,,,,0.0
2,0.5053357377744776,0.6353569890839096,0.5767686788520122,0.02490886998784933,123.0,4938.0,515.0,0.0,0.3333333333333333,0.3333333333333333,0.3941798941798942,0.47619047619047616,0.4338624338624339,0.6507936507936508,0.479472159234064,1.0,0.05436893203883495,0.1260115606936416,109.0,,,,0.0
3,0.5069905590325661,0.6357523259356472,0.5204440745224643,0.028686868686868688,142.0,4950.0,515.0,0.0,0.14492753623188406,0.14492753623188406,0.31642512077294677,0.5507246376811594,0.3439613526570048,0.6666666666666666,0.3883482861743731,1.0,0.02330097087378641,0.13196814562002276,116.0,,,,0.0
4,0.5084120080619497,0.6715429940896641,0.5624112364243944,0.022103808959936848,112.0,5067.0,515.0,0.0,0.25,0.25,0.3988095238095238,0.6071428571428571,0.4202380952380952,0.6964285714285714,0.4607284580498866,1.0,0.031067961165048542,0.11173184357541899,100.0,,,,0.0
5,0.5099395353771083,0.5766260273227017,0.5588702749140894,0.023034956556880176,114.0,4949.0,515.0,0.0,0.19672131147540983,0.19672131147540983,0.33333333333333326,0.5245901639344263,0.35054644808743163,0.6065573770491803,0.4031030444964871,1.0,0.027184466019417475,0.12780269058295965,114.0,,,,0.0
6,0.5110427495491673,0.6442389728722303,0.6277745072387929,0.02028809089064719,100.0,4929.0,515.0,0.0,0.16,0.16,0.2866666666666666,0.44,0.3446666666666667,0.7,0.3863333333333333,1.0,0.027184466019417475,0.13080684596577016,107.0,,,,0.0
7,0.5126975708072558,0.6760173788475676,0.544608843537415,0.026639757820383452,132.0,4955.0,515.0,0.0,0.24193548387096775,0.24193548387096775,0.3548387096774194,0.4838709677419355,0.38870967741935486,0.6451612903225806,0.4360663082437276,1.0,0.03495145631067961,0.12939841089670828,114.0,,,,0.0
8,0.5138856476079346,0.6868202319587629,0.6045944940476191,0.01940962393853619,96.0,4946.0,515.0,0.0,0.3269230769230769,0.3269230769230769,0.48717948717948717,0.6730769230769231,0.530448717948718,0.8653846153846154,0.5481303418803418,1.0,0.038834951456310676,0.12559241706161137,106.0,,,,0.0
9,0.5153070966373183,0.6662381476357007,0.5578107101947308,0.023053589484327605,114.0,4945.0,515.0,0.0,0.24561403508771928,0.24561403508771928,0.35672514619883045,0.5087719298245614,0.4014619883040936,0.7017543859649122,0.4404413812308549,1.0,0.040776699029126215,0.12895927601809956,114.0,,,,0.0
