round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5009653124005516,0.01733758469509765,87.0,5018.0,515.0,0.0,0.11627906976744186,0.11627906976744186,0.1705426356589147,0.2558139534883721,0.22286821705426355,0.4883720930232558,0.2908084163898117,1.0,0.021359223300970873,0.18382352941176472,450.0,2.0122699386503067,0.11315382028868975,0.011800489628705496,0.0
1,0.5021321735440756,0.021612967780668402,108.0,4997.0,515.0,0.0,0.2127659574468085,0.2127659574468085,0.3156028368794326,0.46808510638297873,0.3443262411347518,0.5957446808510638,0.3953394123606889,1.0,0.03300970873786408,0.1896838602329451,456.0,,,,0.0
2,0.5031505250875146,0.017738359201773836,88.0,4961.0,515.0,0.0,0.09090909090909091,0.09090909090909091,0.1515151515151515,0.22727272727272727,0.20151515151515148,0.45454545454545453,0.2669642857142857,1.0,0.009708737864077669,0.19139155871291266,458.0,,,,0.0
3,0.5041052296594887,0.02003606491685033,100.0,4991.0,515.0,0.0,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.3409090909090909,0.29318181818181815,0.6363636363636364,0.3421987734487734,1.0,0.027184466019417475,0.19145370758273983,457.0,,,,0.0
4,0.5051023655457728,0.01782852564102564,89.0,4992.0,515.0,0.0,0.17391304347826086,0.17391304347826086,0.25362318840579706,0.3695652173913043,0.29166666666666663,0.5434782608695652,0.3522946859903381,1.0,0.02524271844660194,0.19544111439425918,463.0,,,,0.0
5,0.5062267953749867,0.020145044319097503,100.0,4964.0,515.0,0.0,0.14,0.14,0.2866666666666667,0.5,0.3176666666666667,0.64,0.3661825396825396,1.0,0.017475728155339806,0.18760195758564438,460.0,,,,0.0
6,0.5073087938898907,0.022508038585209004,112.0,4976.0,515.0,0.0,0.09433962264150944,0.09433962264150944,0.17295597484276728,0.2830188679245283,0.22672955974842765,0.5094339622641509,0.2907082958969751,1.0,0.02524271844660194,0.18591905564924116,441.0,,,,0.0
7,0.5083271454333298,0.01824817518248175,90.0,4932.0,515.0,0.0,0.14583333333333334,0.14583333333333334,0.21875,0.3333333333333333,0.28125,0.6041666666666666,0.3344659391534391,1.0,0.013592233009708738,0.18466611706512778,448.0,,,,0.0
8,0.5094727909196988,0.022478736330498177,111.0,4938.0,515.0,0.0,0.12,0.12,0.23,0.36,0.27,0.54,0.3273412698412699,1.0,0.027184466019417475,0.18823529411764706,464.0,,,,0.0
9,0.510257770234433,0.015691007845503924,78.0,4971.0,515.0,0.0,0.12121212121212122,0.12121212121212122,0.2323232323232323,0.3939393939393939,0.27929292929292926,0.6060606060606061,0.3293290043290043,1.0,0.017475728155339806,0.1962655601659751,473.0,,,,0.0
