round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5030182750351443,0.5564928149165728,0.6158043345543345,0.030722391364517022,111.0,3613.0,378.0,0.0,0.3541666666666667,0.3541666666666667,0.4895833333333333,0.6666666666666666,0.5333333333333333,0.8541666666666666,0.5538359788359789,1.0,0.06613756613756613,0.19670905011219147,263.0,1.9325842696629214,0.09301010584104609,0.022785332487925906,0.0
1,0.5058298189034979,0.5357837530991993,0.5756817680776014,0.028674832962138085,103.0,3592.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6458333333333334,0.5243055555555556,0.875,0.5375578703703704,1.0,0.05291005291005291,0.18615040953090098,250.0,,,,0.0
2,0.5089307864053585,0.5989391834322251,0.6229578952793238,0.030561674008810574,111.0,3632.0,378.0,0.0,0.3404255319148936,0.3404255319148936,0.4716312056737588,0.6382978723404256,0.5195035460992907,0.851063829787234,0.5412191827085444,1.0,0.047619047619047616,0.198334595003785,262.0,,,,0.0
3,0.5121557926072935,0.5995555780612838,0.6497855862775218,0.027262507026419337,97.0,3558.0,378.0,0.0,0.42857142857142855,0.42857142857142855,0.564625850340136,0.7551020408163265,0.5921768707482993,0.8775510204081632,0.6087787495950762,1.0,0.0582010582010582,0.20014880952380953,269.0,,,,0.0
4,0.5151740676424378,0.4497983971983935,0.5804770626199196,0.030379041248606464,109.0,3588.0,378.0,0.0,0.2698412698412698,0.2698412698412698,0.3941798941798942,0.5714285714285714,0.44021164021164016,0.7777777777777778,0.46941295036533126,1.0,0.047619047619047616,0.18866517524235646,253.0,,,,0.0
5,0.5186471512445217,0.5062652692270107,0.5804730828074202,0.033984706881903144,120.0,3531.0,378.0,0.0,0.22033898305084745,0.22033898305084745,0.3728813559322034,0.559322033898305,0.42457627118644065,0.7796610169491526,0.45342345977939197,1.0,0.03439153439153439,0.18332081141998496,244.0,,,,0.0
6,0.5214586951128752,0.4889204424928939,0.6069810563114135,0.03,108.0,3600.0,378.0,0.0,0.25,0.25,0.37179487179487175,0.5384615384615384,0.42467948717948717,0.7692307692307693,0.4579670329670329,1.0,0.042328042328042326,0.18246614397719174,256.0,,,,0.0
7,0.5241875465145125,0.5720391711302278,0.5694811372037399,0.028228060368921185,101.0,3578.0,378.0,0.0,0.3617021276595745,0.3617021276595745,0.43262411347517726,0.5319148936170213,0.4783687943262411,0.723404255319149,0.5147331982438366,1.0,0.047619047619047616,0.1816891412349184,256.0,,,,0.0
8,0.5268337054494335,0.38419036964876413,0.6032142857142857,0.030817076618603337,109.0,3537.0,378.0,0.0,0.3170731707317073,0.3170731707317073,0.516260162601626,0.7804878048780488,0.5260162601626016,0.8292682926829268,0.5500677506775068,1.0,0.05026455026455026,0.1869747899159664,267.0,,,,0.0
9,0.5288596708839824,0.42513038363968764,0.5869018005212034,0.023269012485811577,82.0,3524.0,378.0,0.0,0.35135135135135137,0.35135135135135137,0.4639639639639639,0.5945945945945946,0.5031531531531531,0.7567567567567568,0.5369583869583869,1.0,0.03968253968253968,0.19827586206896552,276.0,,,,0.0
