round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.500983367048775,0.400858365553022,0.4965746996996997,0.015742397137745976,88.0,5590.0,588.0,0.0,0.391304347826087,0.391304347826087,0.4782608695652174,0.5652173913043478,0.5065217391304347,0.6956521739130435,0.5507763975155279,1.0,0.02040816326530612,0.17917414721723518,499.0,2.04320987654321,0.08871373320367866,0.017849395015996278,0.0
1,0.5014610024724657,0.4760583711713604,0.5820162835249042,0.01269726101940867,70.0,5513.0,588.0,0.0,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.5083333333333334,0.7142857142857143,0.5455215419501134,1.0,0.023809523809523808,0.17776998597475455,507.0,,,,0.0
2,0.5026410429309958,0.4303798450213696,0.535271164021164,0.016845878136200716,94.0,5580.0,588.0,0.0,0.29411764705882354,0.29411764705882354,0.42156862745098034,0.5882352941176471,0.43480392156862746,0.6470588235294118,0.4795634920634921,1.0,0.025510204081632654,0.1828793774319066,517.0,,,,0.0
3,0.5041020454034615,0.42329111671842656,0.5450866013071896,0.019886363636363636,112.0,5632.0,588.0,0.0,0.3448275862068966,0.3448275862068966,0.4540229885057472,0.5862068965517241,0.5091954022988506,0.8275862068965517,0.529775588396278,1.0,0.027210884353741496,0.17750439367311072,505.0,,,,0.0
4,0.50511350865363,0.4508518117901569,0.5602820294784582,0.015384615384615385,86.0,5590.0,588.0,0.0,0.34615384615384615,0.34615384615384615,0.43589743589743585,0.5384615384615384,0.46282051282051284,0.6538461538461539,0.5084859584859585,1.0,0.02040816326530612,0.18299058905542,525.0,,,,0.0
5,0.5061530681051922,0.4733639985814715,0.5807178932178932,0.015544041450777202,87.0,5597.0,588.0,0.0,0.22580645161290322,0.22580645161290322,0.3817204301075269,0.5806451612903226,0.41397849462365593,0.7096774193548387,0.4522657450076805,1.0,0.023809523809523808,0.18404255319148935,519.0,,,,0.0
6,0.5068554731400314,0.4273675031236984,0.5186152753282383,0.017543859649122806,98.0,5586.0,588.0,0.0,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.6428571428571429,0.475,0.8571428571428571,0.49710884353741497,1.0,0.011904761904761904,0.17826704545454544,502.0,,,,0.0
7,0.5076421667790515,0.42610775520165967,0.5253968253968254,0.013542795232936078,75.0,5538.0,588.0,0.0,0.13043478260869565,0.13043478260869565,0.22463768115942026,0.34782608695652173,0.25072463768115943,0.4782608695652174,0.320928226363009,1.0,0.017006802721088437,0.18077061577241627,502.0,,,,0.0
8,0.5088222072375814,0.4366493001585809,0.5443070818070819,0.017087802217778586,94.0,5501.0,588.0,0.0,0.2222222222222222,0.2222222222222222,0.3024691358024691,0.4074074074074074,0.3617283950617284,0.6666666666666666,0.4119194591416814,1.0,0.02040816326530612,0.1800878477306003,492.0,,,,0.0
9,0.5094965160710272,0.43022698696313944,0.5359231411862991,0.012445887445887446,69.0,5544.0,588.0,0.0,0.21052631578947367,0.21052631578947367,0.39473684210526316,0.631578947368421,0.4447368421052631,0.8421052631578947,0.46447368421052626,1.0,0.017006802721088437,0.1851179673321234,510.0,,,,0.0
10,0.5103955945156214,0.4027432313322289,0.5417398516783762,0.014195867026055705,79.0,5565.0,588.0,0.0,0.42105263157894735,0.42105263157894735,0.5614035087719298,0.7368421052631579,0.5745614035087719,0.7894736842105263,0.6014411027568922,1.0,0.015306122448979591,0.18374685364976628,511.0,1.9942857142857142,0.03838606907409123,0.018722372681623686,0.0
11,0.5116599235783322,0.3778066797288472,0.4887077294685991,0.01491722757867928,82.0,5497.0,588.0,0.0,0.17142857142857143,0.17142857142857143,0.30476190476190473,0.4857142857142857,0.32190476190476186,0.5714285714285714,0.37481859410430834,1.0,0.015306122448979591,0.18181818181818182,518.0,,,,0.0
12,0.51219375140481,0.5001327631682098,0.5837564192343604,0.013296903460837887,73.0,5490.0,588.0,0.0,0.375,0.375,0.5104166666666667,0.6875,0.5385416666666667,0.8125,0.5668154761904762,1.0,0.025510204081632654,0.18061987887424297,507.0,,,,0.0
13,0.5130647336480108,0.4195175496195905,0.5384091447524284,0.015209125475285171,84.0,5523.0,588.0,0.0,0.21739130434782608,0.21739130434782608,0.3623188405797101,0.5652173913043478,0.3905797101449276,0.6956521739130435,0.428864734299517,1.0,0.013605442176870748,0.1861300754581387,518.0,,,,0.0
14,0.5143852551135086,0.40067916081336113,0.5033916170634921,0.018823529411764704,104.0,5525.0,588.0,0.0,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.43333333333333335,0.36166666666666664,0.6333333333333333,0.4119179894179894,1.0,0.02040816326530612,0.18342151675485008,520.0,,,,0.0
15,0.5151719487525287,0.46950638643256865,0.5480539247662536,0.015197568389057751,85.0,5593.0,588.0,0.0,0.2857142857142857,0.2857142857142857,0.42063492063492064,0.6190476190476191,0.46349206349206346,0.8095238095238095,0.48715041572184425,1.0,0.022108843537414966,0.18594436310395315,508.0,,,,0.0
16,0.5159867385929422,0.4510287470698192,0.5142307486057486,0.01571350264936963,86.0,5473.0,588.0,0.0,0.13043478260869565,0.13043478260869565,0.26086956521739124,0.4782608695652174,0.3326086956521739,0.782608695652174,0.36211180124223596,1.0,0.008503401360544218,0.18504213483146068,527.0,,,,0.0
