round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5007390618841151,0.017964071856287425,33.0,1837.0,189.0,0.0,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.46153846153846156,0.37179487179487175,0.6153846153846154,0.4273504273504273,1.0,0.021164021164021163,0.19047619047619047,176.0,2.0239520958083834,0.05395901261086537,0.057694730376124964,0.0
1,0.5017737485218763,0.015126958400864398,28.0,1851.0,189.0,0.0,0.05263157894736842,0.05263157894736842,0.14912280701754385,0.2631578947368421,0.17017543859649123,0.3684210526315789,0.25664160401002506,1.0,0.010582010582010581,0.18566775244299674,171.0,,,,0.0
2,0.5022171856523453,0.016402405686167305,30.0,1829.0,189.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.15416666666666667,0.5,0.22757936507936508,1.0,0.005291005291005291,0.18338727076591155,170.0,,,,0.0
3,0.502759164367363,0.015267175572519083,28.0,1834.0,189.0,0.0,0.0,0.0,0.13636363636363635,0.2727272727272727,0.15454545454545454,0.36363636363636365,0.23026695526695526,1.0,0.010582010582010581,0.17364016736401675,166.0,,,,0.0
4,0.5034489554592038,0.02178649237472767,40.0,1836.0,189.0,0.0,0.13333333333333333,0.13333333333333333,0.2555555555555556,0.4,0.34222222222222226,0.8,0.36555555555555563,1.0,0.037037037037037035,0.18220338983050846,172.0,,,,0.0
5,0.5042372881355932,0.015574650912996778,29.0,1862.0,189.0,0.0,0.1875,0.1875,0.1875,0.1875,0.215625,0.3125,0.3038938492063492,1.0,0.026455026455026454,0.17557251908396945,161.0,,,,0.0
6,0.5051734331888057,0.019011406844106463,35.0,1841.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571433,0.35714285714285715,0.24642857142857147,0.5,0.31465419501133784,1.0,0.015873015873015872,0.17697228144989338,166.0,,,,0.0
7,0.5058139534883721,0.01898047722342733,35.0,1844.0,189.0,0.0,0.08333333333333333,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.23194444444444443,0.5,0.30403439153439155,1.0,0.010582010582010581,0.17721518987341772,168.0,,,,0.0
8,0.5063066614111155,0.015283842794759825,28.0,1832.0,189.0,0.0,0.0,0.0,0.13333333333333333,0.3,0.15833333333333333,0.4,0.22873015873015876,1.0,0.010582010582010581,0.18853362734288864,171.0,,,,0.0
9,0.5068979109184075,0.01533406352683461,28.0,1826.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2785714285714286,0.5714285714285714,0.33064058956916104,1.0,0.015873015873015872,0.18694690265486727,169.0,,,,0.0
10,0.5074891604256997,0.012924071082390954,24.0,1857.0,189.0,0.0,0.0,0.0,0.13636363636363635,0.2727272727272727,0.15454545454545454,0.36363636363636365,0.23308080808080806,1.0,0.0,0.1891891891891892,175.0,2.0,0.03851537762321964,0.06802619249318877,0.0
11,0.5077847851793457,0.014555256064690027,27.0,1855.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.5,0.4328703703703704,1.0,0.026455026455026454,0.1879120879120879,171.0,,,,0.0
12,0.508277493102089,0.018569087930092845,34.0,1831.0,189.0,0.0,0.09090909090909091,0.09090909090909091,0.19696969696969696,0.36363636363636365,0.19696969696969696,0.36363636363636365,0.27106782106782107,1.0,0.010582010582010581,0.1900647948164147,176.0,,,,0.0
13,0.5089180134016555,0.019115237575095576,35.0,1831.0,189.0,0.0,0.07692307692307693,0.07692307692307693,0.10256410256410256,0.15384615384615385,0.13333333333333333,0.3076923076923077,0.2292429792429792,1.0,0.010582010582010581,0.1819148936170213,171.0,,,,0.0
14,0.5096078044934963,0.02043010752688172,38.0,1860.0,189.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10357142857142856,0.21428571428571427,0.20272108843537415,1.0,0.015873015873015872,0.17273673257023933,166.0,,,,0.0
15,0.5100512416239653,0.013266998341625208,24.0,1809.0,189.0,0.0,0.1,0.1,0.13333333333333333,0.2,0.15833333333333333,0.3,0.24428571428571427,1.0,0.010582010582010581,0.18599562363238512,170.0,,,,0.0
