round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5019032082653616,0.6020282096159786,0.49221743295019155,0.018343524180100056,33.0,1799.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.5238095238095238,0.8571428571428571,0.5595238095238095,1.0,0.5595238095238095,1.0,0.026881720430107527,0.17073170731707318,112.0,2.0310077519379846,0.11538357689812608,0.06301242244232014,0.0
1,0.5028094979155338,0.533323852863102,0.5150462962962963,0.016778523489932886,30.0,1788.0,186.0,0.0,0.6,0.6,0.7666666666666667,1.0,0.7666666666666667,1.0,0.7666666666666667,1.0,0.021505376344086023,0.17325227963525835,114.0,,,,0.0
2,0.5044408192858437,0.6165198863636364,0.5444444444444444,0.011235955056179775,20.0,1780.0,186.0,0.0,0.2222222222222222,0.2222222222222222,0.3148148148148148,0.4444444444444444,0.3370370370370371,0.5555555555555556,0.3901234567901235,1.0,0.021505376344086023,0.16405135520684735,115.0,,,,0.0
3,0.5055283668660504,0.5360178970917227,0.5459104938271605,0.011061946902654867,20.0,1808.0,186.0,0.0,0.5,0.5,0.5,0.5,0.6125,1.0,0.6125,1.0,0.016129032258064516,0.16366366366366367,109.0,,,,0.0
4,0.5073409461663948,0.5893767705382437,0.5555555555555555,0.014517029592406477,26.0,1791.0,186.0,0.0,0.375,0.375,0.4791666666666667,0.625,0.5666666666666667,1.0,0.5666666666666667,1.0,0.016129032258064516,0.183206106870229,120.0,,,,0.0
5,0.5086097516766358,0.5405153099327856,0.5013020833333334,0.014631401238041642,26.0,1777.0,186.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.653125,1.0,0.043010752688172046,0.18466353677621283,118.0,,,,0.0
6,0.5096972992568425,0.4687133306044481,0.48754699248120303,0.01189127972819932,21.0,1766.0,186.0,0.0,0.4,0.4,0.5,0.6,0.54,0.8,0.5685714285714286,1.0,0.021505376344086023,0.1829608938547486,131.0,,,,0.0
7,0.511147362697118,0.5044979686593152,0.49864874110563767,0.018233618233618232,32.0,1755.0,186.0,0.0,0.0,0.0,0.22916666666666666,0.5,0.25416666666666665,0.625,0.30277777777777776,1.0,0.016129032258064516,0.18309859154929578,130.0,,,,0.0
8,0.5113286206271525,0.5340527333808409,0.4621212121212121,0.012168141592920354,22.0,1808.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.18452380952380953,124.0,,,,0.0
9,0.512416168207359,0.4864777107424167,0.5411111111111111,0.015041782729805013,27.0,1795.0,186.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.30666666666666664,0.6,0.3516666666666667,1.0,0.026881720430107527,0.1709039548022599,121.0,,,,0.0
