round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5015406924052928,0.017222222222222222,31.0,1800.0,186.0,0.0,0.2,0.2,0.3333333333333333,0.6,0.3333333333333333,0.6,0.3888888888888889,1.0,0.016129032258064516,0.1652089407191448,170.0,2.0416666666666665,0.12106320749569505,0.06257293422810603,0.0
1,0.5029907558455683,0.016648168701442843,30.0,1802.0,186.0,0.0,0.125,0.125,0.125,0.125,0.18125,0.375,0.260218253968254,1.0,0.026881720430107527,0.1688055281342547,171.0,,,,0.0
2,0.5044408192858437,0.01282051282051282,23.0,1794.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.38571428571428573,0.7142857142857143,0.41944444444444445,1.0,0.010752688172043012,0.17330677290836655,174.0,,,,0.0
3,0.5055283668660504,0.01784718349135527,32.0,1793.0,186.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.5714285714285714,0.26326530612244897,1.0,0.016129032258064516,0.16831683168316833,170.0,,,,0.0
4,0.5067971723762915,0.01291409320606401,23.0,1781.0,186.0,0.0,0.4,0.4,0.5,0.6,0.5900000000000001,1.0,0.5900000000000001,1.0,0.026881720430107527,0.17352056168505517,173.0,,,,0.0
5,0.5078847199564981,0.010590858416945374,19.0,1794.0,186.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.1726190476190476,1.0,0.010752688172043012,0.1641938674579624,166.0,,,,0.0
6,0.5087910096066703,0.010005558643690939,18.0,1799.0,186.0,0.0,0.6,0.6,0.8,1.0,0.8,1.0,0.8,1.0,0.016129032258064516,0.1786085150571132,172.0,,,,0.0
7,0.5107848468370492,0.017222222222222222,31.0,1800.0,186.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.2444444444444444,0.6666666666666666,0.28994708994708995,1.0,0.0,0.1698880976602238,167.0,,,,0.0
8,0.512778684067428,0.01271420674405749,23.0,1809.0,186.0,0.0,0.1,0.1,0.13333333333333333,0.2,0.22833333333333333,0.6,0.28428571428571425,1.0,0.005376344086021506,0.1616062683643487,165.0,,,,0.0
9,0.5135037157875657,0.01552967276760954,28.0,1803.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.021505376344086023,0.17162698412698413,173.0,,,,0.0
