round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5057162341048578,0.7876236429433052,0.6637334656084656,0.15321756894790603,150.0,979.0,98.0,0.0,0.5,0.5,0.6436781609195402,0.8275862068965517,0.6540229885057471,0.8793103448275862,0.6707101806239738,1.0,0.2755102040816326,0.19047619047619047,72.0,1.6931818181818181,0.19768659547724043,0.14731580898512497,0.0
1,0.5115728669421156,0.7636254437914808,0.6816167628667629,0.16462167689161555,161.0,978.0,98.0,0.0,0.47692307692307695,0.47692307692307695,0.6051282051282052,0.7538461538461538,0.6274358974358976,0.8615384615384616,0.6465262515262515,1.0,0.29591836734693877,0.19170984455958548,74.0,,,,0.0
2,0.516707449155602,0.7790020330593123,0.6235484378936758,0.13874614594039056,135.0,973.0,98.0,0.0,0.4166666666666667,0.4166666666666667,0.5472222222222222,0.7166666666666667,0.5755555555555555,0.8333333333333334,0.5971626984126985,1.0,0.24489795918367346,0.18703241895261846,75.0,,,,0.0
3,0.5207188415098881,0.8071031089530112,0.5939046809199869,0.11318795430944964,109.0,963.0,98.0,0.0,0.4,0.4,0.5259259259259259,0.6888888888888889,0.5581481481481481,0.8222222222222222,0.5830776014109347,1.0,0.16326530612244897,0.1962864721485411,74.0,,,,0.0
4,0.5266958161177745,0.8050131305608905,0.7146376357560568,0.15848670756646216,155.0,978.0,98.0,0.0,0.5,0.5,0.6235632183908045,0.7758620689655172,0.6477011494252873,0.8793103448275862,0.6621647509578543,1.0,0.29591836734693877,0.18274111675126903,72.0,,,,0.0
5,0.5312286894781179,0.7714943849864334,0.6214454732510288,0.12653061224489795,124.0,980.0,98.0,0.0,0.42857142857142855,0.42857142857142855,0.5612244897959183,0.7346938775510204,0.603061224489796,0.9183673469387755,0.6139131843213476,1.0,0.21428571428571427,0.19642857142857142,77.0,,,,0.0
6,0.536403385615147,0.8012755102040816,0.6783380414312618,0.14285714285714285,140.0,980.0,98.0,0.0,0.48214285714285715,0.48214285714285715,0.6279761904761906,0.8035714285714286,0.6404761904761905,0.8571428571428571,0.6616071428571428,1.0,0.2653061224489796,0.193717277486911,74.0,,,,0.0
7,0.5422199045288619,0.7775466284074606,0.6215163934426229,0.15724563206577596,153.0,973.0,98.0,0.0,0.5,0.5,0.6636904761904762,0.8928571428571429,0.6672619047619047,0.9107142857142857,0.6787910997732426,1.0,0.2755102040816326,0.20698924731182797,77.0,,,,0.0
8,0.5465923221950338,0.8001804330392943,0.6460668498168498,0.11885245901639344,116.0,976.0,98.0,0.0,0.48,0.48,0.59,0.74,0.615,0.86,0.6328333333333334,1.0,0.21428571428571427,0.1906005221932115,73.0,,,,0.0
9,0.5503229170845201,0.8189224763979666,0.6515433975008443,0.10559006211180125,102.0,966.0,98.0,0.0,0.5609756097560976,0.5609756097560976,0.6382113821138211,0.7560975609756098,0.6601626016260164,0.8536585365853658,0.6792295780100658,1.0,0.22448979591836735,0.19270833333333334,74.0,,,,0.0
10,0.5540133980504633,0.8189381275531102,0.6543096891534391,0.10510204081632653,103.0,980.0,98.0,0.0,0.5,0.5,0.619047619047619,0.7857142857142857,0.6392857142857142,0.8809523809523809,0.6546579743008314,1.0,0.22448979591836735,0.1770573566084788,71.0,1.6774193548387097,0.15605113453931668,0.09158336325278464,0.0
11,0.5589474106462353,0.794858919177427,0.6208964646464646,0.1264131551901336,123.0,973.0,98.0,0.0,0.375,0.375,0.5148809523809523,0.6964285714285714,0.5407738095238095,0.8035714285714286,0.567375283446712,1.0,0.20408163265306123,0.19736842105263158,75.0,,,,0.0
