round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5001805126559429,0.499612202688728,0.44965277777777785,0.012257405515832482,12.0,979.0,98.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.11666666666666665,0.4,0.1838888888888889,1.0,0.0,0.14716312056737588,83.0,2.0454545454545454,0.20217209580087653,0.12400681933191905,0.0
1,0.5004211961972,0.45811518324607337,0.5416666666666666,0.023517382413087935,23.0,978.0,98.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.11666666666666665,0.4,0.2119047619047619,1.0,0.02040816326530612,0.16129032258064516,90.0,,,,0.0
2,0.5005415379678286,0.5448402948402948,0.5909090909090909,0.011305241521068859,11.0,973.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5,1.0,0.030612244897959183,0.16123499142367068,94.0,,,,0.0
3,0.5007421075855429,0.4795273219930754,0.49363425925925924,0.014537902388369679,14.0,963.0,98.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.18055555555555555,1.0,0.0,0.15724381625441697,89.0,,,,0.0
4,0.5011432468209716,0.5634143355573239,0.5635302197802198,0.017382413087934562,17.0,978.0,98.0,0.0,0.0,0.0,0.1875,0.375,0.21875,0.5,0.27862103174603176,1.0,0.01020408163265306,0.15992970123022848,91.0,,,,0.0
5,0.501303702515143,0.490806914666178,0.48692810457516333,0.017346938775510204,17.0,980.0,98.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3273809523809524,1.0,0.01020408163265306,0.16666666666666666,92.0,,,,0.0
6,0.5013438164386859,0.4681043388429752,0.35353535353535354,0.012244897959183673,12.0,980.0,98.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.0,0.16095890410958905,94.0,,,,0.0
7,0.5015443860564002,0.5370177267987487,0.5952380952380951,0.014388489208633094,14.0,973.0,98.0,0.0,0.6,0.6,0.8,1.0,0.8,1.0,0.8,1.0,0.04081632653061224,0.15934065934065933,87.0,,,,0.0
8,0.5017449556741145,0.4978832175093857,0.42735042735042733,0.01331967213114754,13.0,976.0,98.0,0.0,0.0,0.0,0.1,0.2,0.13999999999999999,0.4,0.21833333333333335,1.0,0.0,0.15502555366269166,91.0,,,,0.0
9,0.5019455252918288,0.48776726253066943,0.4642857142857143,0.015527950310559006,15.0,966.0,98.0,0.0,0.0,0.0,0.0,0.0,0.08,0.4,0.1571428571428571,1.0,0.0,0.1577981651376147,86.0,,,,0.0
