round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5011432468209716,0.0411522633744856,40.0,972.0,98.0,0.0,0.0,0.0,0.05555555555555555,0.125,0.12222222222222222,0.4166666666666667,0.1937334656084656,1.0,0.04081632653061224,0.17735849056603772,94.0,1.9574468085106382,0.19702595624819322,0.11950551580072279,0.0
1,0.5024268923743431,0.043121149897330596,42.0,974.0,98.0,0.0,0.2,0.2,0.22666666666666666,0.28,0.30866666666666664,0.64,0.35215873015873017,1.0,0.07142857142857142,0.17613636363636365,93.0,,,,0.0
2,0.5036704240041718,0.04290091930541369,42.0,979.0,98.0,0.0,0.04,0.04,0.1733333333333333,0.36,0.22333333333333333,0.56,0.2846031746031746,1.0,0.01020408163265306,0.17037037037037037,92.0,,,,0.0
3,0.5046732720927434,0.03571428571428571,35.0,980.0,98.0,0.0,0.25,0.25,0.3833333333333333,0.55,0.4133333333333333,0.7,0.4508333333333333,1.0,0.061224489795918366,0.1713747645951036,91.0,,,,0.0
4,0.505636006257772,0.03571428571428571,35.0,980.0,98.0,0.0,0.045454545454545456,0.045454545454545456,0.09848484848484848,0.18181818181818182,0.18484848484848485,0.5454545454545454,0.24078282828282827,1.0,0.02040816326530612,0.17748091603053434,93.0,,,,0.0
5,0.5065987404228007,0.032753326509723645,32.0,977.0,98.0,0.0,0.23529411764705882,0.23529411764705882,0.4019607843137255,0.5882352941176471,0.44313725490196076,0.7647058823529411,0.4784313725490196,1.0,0.05102040816326531,0.1780821917808219,91.0,,,,0.0
6,0.5076015885113723,0.032989690721649485,32.0,970.0,98.0,0.0,0.14285714285714285,0.14285714285714285,0.23809523809523805,0.38095238095238093,0.26904761904761904,0.5238095238095238,0.32981859410430836,1.0,0.04081632653061224,0.1694915254237288,90.0,,,,0.0
7,0.5088050062176581,0.04081632653061224,40.0,980.0,98.0,0.0,0.16,0.16,0.24,0.36,0.284,0.56,0.3448253968253968,1.0,0.04081632653061224,0.16356877323420074,88.0,,,,0.0
8,0.5094869429178868,0.027579162410623085,27.0,979.0,98.0,0.0,0.0,0.0,0.1111111111111111,0.26666666666666666,0.12777777777777777,0.3333333333333333,0.22936507936507936,1.0,0.0,0.16698292220113853,88.0,,,,0.0
9,0.5102089935416583,0.033776867963152504,33.0,977.0,98.0,0.0,0.17647058823529413,0.17647058823529413,0.196078431372549,0.23529411764705882,0.2901960784313726,0.6470588235294118,0.33071895424836606,1.0,0.04081632653061224,0.16353383458646617,87.0,,,,0.0
10,0.5109711580889726,0.02880658436213992,28.0,972.0,98.0,0.0,0.0,0.0,0.07407407407407407,0.16666666666666666,0.1324074074074074,0.4444444444444444,0.20806878306878304,1.0,0.01020408163265306,0.166044776119403,89.0,1.9787234042553192,0.1892606281929676,0.15937045306009784,0.0
11,0.5119740061775442,0.03877551020408163,38.0,980.0,98.0,0.0,0.09090909090909091,0.09090909090909091,0.16666666666666669,0.2727272727272727,0.23939393939393938,0.5909090909090909,0.29639249639249643,1.0,0.04081632653061224,0.1623134328358209,87.0,,,,0.0
