round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000815585344619,0.3995375,0.5673923923923924,0.018261504747991233,125.0,6845.0,758.0,0.0,0.45714285714285713,0.45714285714285713,0.5857142857142857,0.7428571428571429,0.6171428571428572,0.8857142857142857,0.6326984126984128,1.0,0.0316622691292876,0.1302215764620414,717.0,2.036764705882353,0.0744359909044518,0.0019265032507697131,0.0
1,0.5001739260313224,0.35600238912946097,0.5147345049130764,0.018323072412782176,125.0,6822.0,758.0,0.0,0.48717948717948717,0.48717948717948717,0.5555555555555555,0.6410256410256411,0.5683760683760684,0.6923076923076923,0.6073158323158322,1.0,0.0316622691292876,0.13247319643830638,729.0,,,,0.0
2,0.5002643282622923,0.38439666275832113,0.5443192325473879,0.01746660795537942,119.0,6813.0,758.0,0.0,0.3170731707317073,0.3170731707317073,0.491869918699187,0.7073170731707317,0.5211382113821138,0.8292682926829268,0.5419279907084785,1.0,0.026385224274406333,0.12756467439785907,715.0,,,,0.0
3,0.5003527652273715,0.3554764351783879,0.5646125730994153,0.015893656985984685,110.0,6921.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4957264957264957,0.717948717948718,0.5239316239316238,0.8461538461538461,0.5432234432234433,1.0,0.021108179419525065,0.12745448054266334,714.0,,,,0.0
4,0.500433341128888,0.40468011188314423,0.5747259041073475,0.01563641677626772,107.0,6843.0,758.0,0.0,0.3611111111111111,0.3611111111111111,0.4768518518518518,0.6388888888888888,0.5087962962962963,0.7777777777777778,0.5385251322751322,1.0,0.022427440633245383,0.1302140007254262,718.0,,,,0.0
5,0.5005335696893111,0.35650522141766416,0.5403790087463557,0.01742413242340642,120.0,6887.0,758.0,0.0,0.42857142857142855,0.42857142857142855,0.5317460317460317,0.6666666666666666,0.5484126984126984,0.7380952380952381,0.5857048374905518,1.0,0.030343007915567283,0.12963949564908542,730.0,,,,0.0
6,0.5006436245791874,0.39849501203990373,0.48125963168438907,0.017383746197305518,120.0,6903.0,758.0,0.0,0.2391304347826087,0.2391304347826087,0.34057971014492755,0.4782608695652174,0.38731884057971006,0.6739130434782609,0.43153899240855764,1.0,0.025065963060686015,0.1286231884057971,710.0,,,,0.0
7,0.5007517142031731,0.394120225786564,0.6063408418923125,0.017286844418400234,118.0,6826.0,758.0,0.0,0.4791666666666667,0.4791666666666667,0.5729166666666666,0.7083333333333334,0.5927083333333333,0.7916666666666666,0.6198660714285714,1.0,0.03430079155672823,0.12903811252268602,711.0,,,,0.0
8,0.500869630156612,0.3478290591491736,0.571828231292517,0.017296511627906977,119.0,6880.0,758.0,0.0,0.34545454545454546,0.34545454545454546,0.45151515151515154,0.6181818181818182,0.4987878787878787,0.8363636363636363,0.5206493506493507,1.0,0.030343007915567283,0.12663369833980925,717.0,,,,0.0
9,0.50095413658991,0.3812087381324395,0.5786286181139123,0.01491010086244701,102.0,6841.0,758.0,0.0,0.4117647058823529,0.4117647058823529,0.5833333333333333,0.7647058823529411,0.6112745098039215,0.8823529411764706,0.6296568627450981,1.0,0.026385224274406333,0.1290785227680172,720.0,,,,0.0
10,0.5010602609480049,0.38258102861277465,0.6070279349363508,0.017379679144385027,117.0,6732.0,758.0,0.0,0.627906976744186,0.627906976744186,0.7054263565891472,0.813953488372093,0.7310077519379845,0.9302325581395349,0.7400516795865634,1.0,0.047493403693931395,0.13116245224668,721.0,1.9148936170212767,0.07077329566019747,0.0019280539073644961,0.0
11,0.5011506631789748,0.406124227850088,0.5259548611111111,0.015501608657502193,106.0,6838.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4523809523809524,0.5952380952380952,0.5023809523809524,0.8333333333333334,0.5235355253212396,1.0,0.021108179419525065,0.1293319042515184,724.0,,,,0.0
12,0.5012410654099446,0.3752495551106662,0.5742084377610693,0.015957446808510637,108.0,6768.0,758.0,0.0,0.2894736842105263,0.2894736842105263,0.4342105263157895,0.631578947368421,0.4657894736842106,0.7631578947368421,0.4990705931495405,1.0,0.027704485488126648,0.13184438040345822,732.0,,,,0.0
13,0.5013412939703678,0.3736259839727679,0.5744162489557226,0.017327459618208516,118.0,6810.0,758.0,0.0,0.5116279069767442,0.5116279069767442,0.6434108527131782,0.813953488372093,0.6538759689922481,0.8604651162790697,0.675609080841639,1.0,0.03825857519788918,0.1314639475600874,722.0,,,,0.0
14,0.5014375919990095,0.38095277357346036,0.5619302721088436,0.018643570170287727,127.0,6812.0,758.0,0.0,0.4,0.4,0.5208333333333333,0.675,0.5383333333333333,0.75,0.5722123015873016,1.0,0.03430079155672823,0.1289621445390328,712.0,,,,0.0
15,0.5015496121547764,0.3564206268958544,0.5875838744588745,0.01897337843800559,129.0,6799.0,758.0,0.0,0.44,0.44,0.5733333333333333,0.76,0.5953333333333333,0.86,0.6133253968253968,1.0,0.03825857519788918,0.12892741061755147,714.0,,,,0.0
16,0.5016321533221837,0.4092609769695106,0.576736557986558,0.018139262726740785,124.0,6836.0,758.0,0.0,0.4146341463414634,0.4146341463414634,0.5853658536585366,0.8048780487804879,0.6012195121951219,0.8780487804878049,0.6190282617111884,1.0,0.0316622691292876,0.12613092070250134,711.0,,,,0.0
17,0.5016989723624657,0.36386418162837975,0.5537744555186415,0.014445754716981132,98.0,6784.0,758.0,0.0,0.6,0.6,0.6,0.6,0.63,0.7333333333333333,0.6676984126984127,1.0,0.0316622691292876,0.12916517377284129,721.0,,,,0.0
18,0.5017933051252169,0.4014944150590364,0.5288785460992909,0.016426512968299712,114.0,6940.0,758.0,0.0,0.4878048780487805,0.4878048780487805,0.5406504065040649,0.6097560975609756,0.5626016260162602,0.7073170731707317,0.6000677506775067,1.0,0.0316622691292876,0.12698133145473758,721.0,,,,0.0
19,0.5018915684197494,0.39671908899908326,0.5265917304421769,0.01923924217946835,131.0,6809.0,758.0,0.0,0.36585365853658536,0.36585365853658536,0.5081300813008129,0.6829268292682927,0.5081300813008129,0.6829268292682927,0.5520421989934186,1.0,0.03430079155672823,0.13086510263929618,714.0,,,,0.0
20,0.5019878664483911,0.3950727780448636,0.6411388140161725,0.01749184702045657,118.0,6746.0,758.0,0.0,0.4772727272727273,0.4772727272727273,0.643939393939394,0.8181818181818182,0.6609848484848485,0.8863636363636364,0.6764520202020202,1.0,0.03562005277044855,0.13262889415194024,728.0,1.948051948051948,0.06728606479510517,0.001931752363978268,0.0
21,0.5020979213382675,0.347062162122059,0.5818870603797074,0.017208966015907448,119.0,6915.0,758.0,0.0,0.4888888888888889,0.4888888888888889,0.6037037037037036,0.7555555555555555,0.6459259259259259,0.9333333333333333,0.6548765432098765,1.0,0.036939313984168866,0.12697007260492296,717.0,,,,0.0
22,0.5022178025575971,0.37635719950152946,0.5776841344014241,0.01878612716763006,130.0,6920.0,758.0,0.0,0.48148148148148145,0.48148148148148145,0.5956790123456791,0.7407407407407407,0.6086419753086422,0.7962962962962963,0.6366769547325105,1.0,0.04617414248021108,0.12922748309006765,726.0,,,,0.0
23,0.502335718511036,0.3256725353002097,0.5927382916863115,0.017281780902167546,118.0,6828.0,758.0,0.0,0.46,0.46,0.5866666666666667,0.76,0.6116666666666667,0.88,0.6281904761904762,1.0,0.036939313984168866,0.12861736334405144,720.0,,,,0.0
