round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5001994744879008,0.7479880481167666,0.606907746874561,0.021839080459770115,152.0,6960.0,758.0,0.0,0.4583333333333333,0.4583333333333333,0.5462962962962963,0.6527777777777778,0.5615740740740741,0.7222222222222222,0.6008322310405644,1.0,0.052770448548812667,0.13311086392287727,718.0,1.908450704225352,0.0747578025591109,0.0018608358017162285,0.0
1,0.5003645568227153,0.7037040757749713,0.5467135928445451,0.022753792298716453,156.0,6856.0,758.0,0.0,0.4,0.4,0.4976190476190476,0.6285714285714286,0.5254761904761905,0.7571428571428571,0.556592970521542,1.0,0.04353562005277045,0.13544279374879414,702.0,,,,0.0
2,0.5005276738916392,0.725457882877669,0.5749663707290824,0.022081108385048346,153.0,6929.0,758.0,0.0,0.2786885245901639,0.2786885245901639,0.41530054644808745,0.5737704918032787,0.4562841530054645,0.7540983606557377,0.48590294041113713,1.0,0.0316622691292876,0.13298073290517567,704.0,,,,0.0
3,0.5006947214923443,0.6482515077524339,0.5571978856646825,0.023750183257586863,162.0,6821.0,758.0,0.0,0.2727272727272727,0.2727272727272727,0.4419191919191919,0.6515151515151515,0.4684343434343435,0.7727272727272727,0.4969456469456469,1.0,0.030343007915567283,0.13501144164759726,708.0,,,,0.0
4,0.5008381859023616,0.6931817251611583,0.610960675253708,0.021060275962236745,145.0,6885.0,758.0,0.0,0.4576271186440678,0.4576271186440678,0.5734463276836157,0.711864406779661,0.5997175141242939,0.8305084745762712,0.622161689534571,1.0,0.040897097625329816,0.1341966966966967,715.0,,,,0.0
5,0.5009796850464884,0.7300038122554936,0.6033468176914779,0.019098994022452253,131.0,6859.0,758.0,0.0,0.3888888888888889,0.3888888888888889,0.5,0.6296296296296297,0.525,0.7407407407407407,0.5622868900646678,1.0,0.0395778364116095,0.133648393194707,707.0,,,,0.0
6,0.5011428021154122,0.6755770879576917,0.6189226925338036,0.023684975297878524,163.0,6882.0,758.0,0.0,0.34375,0.34375,0.5078125,0.71875,0.54453125,0.875,0.5610553075396826,1.0,0.04617414248021108,0.13196536144578314,701.0,,,,0.0
7,0.5012901970572109,0.6317358670167321,0.5671111423572053,0.022607163828537873,154.0,6812.0,758.0,0.0,0.29508196721311475,0.29508196721311475,0.4289617486338798,0.6229508196721312,0.4797814207650272,0.8524590163934426,0.5000390320062451,1.0,0.030343007915567283,0.13455598455598455,697.0,,,,0.0
8,0.5014945847098383,0.6914157177914481,0.5826242409715564,0.027682648401826482,194.0,7008.0,758.0,0.0,0.4025974025974026,0.4025974025974026,0.5238095238095238,0.7012987012987013,0.5653679653679654,0.8831168831168831,0.5790919398062255,1.0,0.05013192612137203,0.12945936005884517,704.0,,,,0.0
9,0.5016439449175276,0.6926427330236572,0.5908694727891157,0.020676691729323307,143.0,6916.0,758.0,0.0,0.4067796610169492,0.4067796610169492,0.5169491525423728,0.6610169491525424,0.5466101694915254,0.7966101694915254,0.5742668818940007,1.0,0.04353562005277045,0.1310293845869525,709.0,,,,0.0
