round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000512994240913,0.6105036440575722,0.5319996843434344,0.012718818380743983,93.0,7312.0,773.0,0.0,0.44,0.44,0.5666666666666665,0.76,0.6046666666666667,0.92,0.6170476190476191,1.0,0.0258732212160414,0.11951339799441066,727.0,1.9610389610389611,0.02821447214327249,0.004875387682089126,0.0
1,0.5001055025891691,0.6004191380978923,0.5587962962962963,0.014219991635299039,102.0,7173.0,773.0,0.0,0.56,0.56,0.6266666666666666,0.72,0.6626666666666665,0.88,0.6817142857142858,1.0,0.02199223803363519,0.12259819758544466,721.0,,,,0.0
2,0.5001597057542467,0.5785971275845865,0.5335917312661498,0.013079994492633898,95.0,7263.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6666666666666666,0.5013888888888888,0.7916666666666666,0.5272486772486773,1.0,0.019404915912031046,0.12302050341723621,738.0,,,,0.0
3,0.5002235880559454,0.5860311195080566,0.5373083294806594,0.01566544067565727,115.0,7341.0,773.0,0.0,0.48148148148148145,0.48148148148148145,0.5864197530864198,0.7777777777777778,0.5956790123456791,0.8148148148148148,0.6180482069370958,1.0,0.031047865459249677,0.11857447856790934,722.0,,,,0.0
4,0.5002661762570779,0.5620453560252017,0.5212752525252525,0.012947658402203856,94.0,7260.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5079365079365079,0.6190476190476191,0.5412698412698413,0.7619047619047619,0.5745275888133031,1.0,0.016817593790426907,0.11915734035549704,724.0,,,,0.0
5,0.500333930213425,0.5929317277643269,0.5140432098765432,0.014759120022277916,106.0,7182.0,773.0,0.0,0.20689655172413793,0.20689655172413793,0.3218390804597701,0.4827586206896552,0.37356321839080464,0.7241379310344828,0.40998905309250133,1.0,0.0129366106080207,0.12083473577919893,718.0,,,,0.0
6,0.5003997483424478,0.5934601015085295,0.5717776308054086,0.016636628309995842,120.0,7213.0,773.0,0.0,0.6296296296296297,0.6296296296296297,0.691358024691358,0.7777777777777778,0.7080246913580247,0.8518518518518519,0.7278218694885361,1.0,0.037516170763260026,0.12213611859838275,725.0,,,,0.0
7,0.5004442723709045,0.5595775636571467,0.5119283824640968,0.01624225739848589,118.0,7265.0,773.0,0.0,0.3888888888888889,0.3888888888888889,0.4629629629629629,0.5555555555555556,0.5129629629629631,0.7777777777777778,0.5378086419753086,1.0,0.02457956015523933,0.12221112221112221,734.0,,,,0.0
8,0.5005023471906306,0.5341854847320094,0.5305712197159566,0.014500759563596189,105.0,7241.0,773.0,0.0,0.48,0.48,0.56,0.68,0.5920000000000001,0.84,0.6160476190476191,1.0,0.02328589909443726,0.12136981702199094,723.0,,,,0.0
9,0.500544935391763,0.5740430344214787,0.5228395061728395,0.013390392048591939,97.0,7244.0,773.0,0.0,0.36363636363636365,0.36363636363636365,0.4848484848484848,0.6363636363636364,0.5234848484848486,0.8181818181818182,0.5458333333333333,1.0,0.0129366106080207,0.12151094768510781,727.0,,,,0.0
10,0.5005913952475439,0.5548471717222029,0.5172491039426523,0.014190317195325543,102.0,7188.0,773.0,0.0,0.2,0.2,0.31999999999999995,0.52,0.3559999999999999,0.68,0.39830158730158727,1.0,0.015523932729624839,0.12268793483794332,723.0,2.0559006211180124,0.025207446008484687,0.004902773978982966,0.0
11,0.500639790930649,0.6102792447770939,0.5286192810457515,0.013252346769740474,96.0,7244.0,773.0,0.0,0.2777777777777778,0.2777777777777778,0.39814814814814814,0.5555555555555556,0.437037037037037,0.7222222222222222,0.47698412698412695,1.0,0.019404915912031046,0.12154330187117073,734.0,,,,0.0
12,0.5006998015776992,0.6190371888332716,0.5374269005847954,0.014055676855895196,103.0,7328.0,773.0,0.0,0.5185185185185185,0.5185185185185185,0.6234567901234569,0.7407407407407407,0.6567901234567901,0.8888888888888888,0.6696502057613168,1.0,0.0258732212160414,0.12064074753879526,723.0,,,,0.0
13,0.5007443256061559,0.5669377055007554,0.5138009845288326,0.012139605462822459,88.0,7249.0,773.0,0.0,0.42105263157894735,0.42105263157894735,0.5526315789473685,0.7368421052631579,0.5894736842105264,0.8947368421052632,0.6011695906432749,1.0,0.0258732212160414,0.1204879679144385,721.0,,,,0.0
14,0.5007849779799642,0.552005108434657,0.512745596205962,0.011654695758232823,86.0,7379.0,773.0,0.0,0.3888888888888889,0.3888888888888889,0.5185185185185185,0.7222222222222222,0.5435185185185185,0.8333333333333334,0.56494708994709,1.0,0.019404915912031046,0.12061295106277806,732.0,,,,0.0
15,0.5008430527996902,0.6029799762597126,0.5342813051146384,0.014619483536002186,107.0,7319.0,773.0,0.0,0.44,0.44,0.5466666666666666,0.68,0.5646666666666667,0.76,0.5971587301587301,1.0,0.02069857697283312,0.12094102054340623,730.0,,,,0.0
16,0.5008837051734986,0.5762917771883289,0.5348039856968428,0.014141963557247757,104.0,7354.0,773.0,0.0,0.2222222222222222,0.2222222222222222,0.45370370370370366,0.7222222222222222,0.47870370370370374,0.8333333333333334,0.5020723104056437,1.0,0.016817593790426907,0.12077214981026234,732.0,,,,0.0
17,0.5009204858926584,0.537695974795838,0.4817732115677321,0.011838440111420613,85.0,7180.0,773.0,0.0,0.5,0.5,0.625,0.75,0.6666666666666666,0.9166666666666666,0.6805555555555557,1.0,0.015523932729624839,0.12328302526708496,727.0,,,,0.0
18,0.5009592024391424,0.6112362831630389,0.5583010335917312,0.013289491711193315,97.0,7299.0,773.0,0.0,0.5294117647058824,0.5294117647058824,0.6176470588235294,0.7058823529411765,0.6441176470588235,0.8235294117647058,0.6638888888888889,1.0,0.027166882276843468,0.11884154460719042,714.0,,,,0.0
19,0.5010056622949233,0.617140299514994,0.5642161558109834,0.013070996147495873,95.0,7268.0,773.0,0.0,0.43478260869565216,0.43478260869565216,0.5724637681159421,0.782608695652174,0.6028985507246377,0.9130434782608695,0.6144927536231884,1.0,0.019404915912031046,0.12083540527100944,729.0,,,,0.0
20,0.5010443788414074,0.5303865923405487,0.5092072409488141,0.012898845892735914,95.0,7365.0,773.0,0.0,0.4090909090909091,0.4090909090909091,0.5454545454545454,0.7727272727272727,0.5636363636363637,0.8636363636363636,0.5827561327561328,1.0,0.02457956015523933,0.12035047115225657,728.0,1.9573170731707317,0.022816726388891245,0.004850518264452856,0.0
21,0.5010947103518366,0.6025900777570912,0.5132030178326474,0.012710693561757391,92.0,7238.0,773.0,0.0,0.34782608695652173,0.34782608695652173,0.5144927536231885,0.7391304347826086,0.5253623188405797,0.782608695652174,0.557712215320911,1.0,0.014230271668822769,0.12062385929981749,727.0,,,,0.0
22,0.5011489135169143,0.5819759321021828,0.5634286175710594,0.0128099173553719,93.0,7260.0,773.0,0.0,0.4583333333333333,0.4583333333333333,0.5277777777777778,0.625,0.5756944444444444,0.8333333333333334,0.5969742063492064,1.0,0.031047865459249677,0.12019072673462677,731.0,,,,0.0
23,0.5011953733726952,0.6302249051118469,0.5631613756613757,0.009795689896445563,70.0,7146.0,773.0,0.0,0.3157894736842105,0.3157894736842105,0.46491228070175433,0.6842105263157895,0.5228070175438596,0.9473684210526315,0.531578947368421,1.0,0.0129366106080207,0.12281586021505377,731.0,,,,0.0
24,0.5012437690558003,0.5668090012814445,0.5006613756613758,0.013395939787322193,97.0,7241.0,773.0,0.0,0.4,0.4,0.5583333333333333,0.75,0.5808333333333333,0.85,0.6025595238095238,1.0,0.02069857697283312,0.12,723.0,,,,0.0
25,0.5012941005662295,0.5935061018873279,0.5144042465471036,0.012058212058212059,87.0,7215.0,773.0,0.0,0.5,0.5,0.575,0.7,0.61,0.85,0.6329166666666667,1.0,0.018111254851228976,0.12225913621262459,736.0,,,,0.0
26,0.5013521753859556,0.5856111364905335,0.5498063114134544,0.013630731102850062,99.0,7263.0,773.0,0.0,0.5217391304347826,0.5217391304347826,0.5869565217391305,0.6521739130434783,0.6369565217391304,0.8695652173913043,0.6568840579710145,1.0,0.019404915912031046,0.11939313984168866,724.0,,,,0.0
27,0.501423800996951,0.6458231133728295,0.5240730970418471,0.014096072259477213,103.0,7307.0,773.0,0.0,0.35714285714285715,0.35714285714285715,0.5059523809523809,0.6785714285714286,0.5291666666666667,0.7857142857142857,0.5590702947845805,1.0,0.02069857697283312,0.11946975973487987,721.0,,,,0.0
28,0.5014625175434351,0.5619894458380532,0.5308544303797469,0.011374670550700513,82.0,7209.0,773.0,0.0,0.3,0.3,0.425,0.6,0.48250000000000004,0.85,0.5030357142857143,1.0,0.015523932729624839,0.12073272273105745,725.0,,,,0.0
29,0.5015147848811886,0.6009737095360399,0.5180493551587302,0.012804453723034098,92.0,7185.0,773.0,0.0,0.47619047619047616,0.47619047619047616,0.5,0.5238095238095238,0.5452380952380952,0.7142857142857143,0.5818027210884353,1.0,0.02069857697283312,0.12606184165817194,742.0,,,,0.0
