round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000377486328219,0.5111266966894121,0.5078188921616758,0.014596529881575324,106.0,7262.0,773.0,0.0,0.125,0.125,0.3020833333333333,0.5,0.34270833333333334,0.6875,0.3837549603174603,1.0,0.019404915912031046,0.1256290126670137,724.0,2.018987341772152,0.02764951645286691,0.003840385673732857,0.0
1,0.5000725935246576,0.47397335833861937,0.5502075351213281,0.013871720917456393,101.0,7281.0,773.0,0.0,0.4166666666666667,0.4166666666666667,0.5416666666666666,0.6666666666666666,0.5583333333333333,0.75,0.5944444444444444,1.0,0.015523932729624839,0.12521529452290733,727.0,,,,0.0
2,0.5000938876252238,0.4593095392507898,0.5574156746031746,0.010655964572377526,77.0,7226.0,773.0,0.0,0.5454545454545454,0.5454545454545454,0.6212121212121212,0.7272727272727273,0.6621212121212122,0.9090909090909091,0.6722222222222223,1.0,0.019404915912031046,0.12253903598099117,722.0,,,,0.0
3,0.5001229250350868,0.41814381105534365,0.4835513565891473,0.012441892261416461,91.0,7314.0,773.0,0.0,0.375,0.375,0.44791666666666663,0.5625,0.47291666666666665,0.6875,0.5072916666666667,1.0,0.014230271668822769,0.12489307100085544,730.0,,,,0.0
4,0.5001655132362194,0.5024509874223758,0.4735445845004669,0.013586579786496604,98.0,7213.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6,0.48777777777777775,0.8,0.517936507936508,1.0,0.01164294954721863,0.12623376623376623,729.0,,,,0.0
5,0.500190678991434,0.4134263477600607,0.5299479166666666,0.010564868291308635,75.0,7099.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.4861111111111111,0.6666666666666666,0.5069444444444444,0.75,0.5410714285714286,1.0,0.014230271668822769,0.1270746887966805,735.0,,,,0.0
6,0.5002177805739728,0.46194342275896905,0.4754403794037941,0.0117598796663476,86.0,7313.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.39285714285714285,0.5,0.42142857142857143,0.6428571428571429,0.4715986394557823,1.0,0.014230271668822769,0.12383258388101002,716.0,,,,0.0
7,0.5002487538111601,0.46629859231998605,0.5016114672364673,0.01136208076659822,83.0,7305.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5357142857142857,0.7142857142857143,0.5499999999999999,0.7857142857142857,0.5748015873015871,1.0,0.01164294954721863,0.12392722279437006,722.0,,,,0.0
8,0.5002835987029957,0.49825933176135606,0.5341269841269841,0.010593810984109284,76.0,7174.0,773.0,0.0,0.6,0.6,0.6,0.6,0.6333333333333333,0.7333333333333333,0.6673809523809523,1.0,0.016817593790426907,0.12528197119555787,722.0,,,,0.0
9,0.5003223152494798,0.422845663618731,0.48401063100137176,0.012315270935960592,90.0,7308.0,773.0,0.0,0.1875,0.1875,0.34375,0.5625,0.3875,0.75,0.4204861111111111,1.0,0.01034928848641656,0.12048805287239452,711.0,,,,0.0
10,0.5003552243139912,0.4176271100436385,0.5038527397260275,0.011245200219418541,82.0,7292.0,773.0,0.0,0.26666666666666666,0.26666666666666666,0.34444444444444444,0.4666666666666667,0.3777777777777778,0.6,0.43478835978835984,1.0,0.01164294954721863,0.12448275862068965,722.0,1.980263157894737,0.025351373200132483,0.0038485105146780596,0.0
11,0.5003842617238542,0.4507563320825516,0.5430555555555555,0.011138277641945124,82.0,7362.0,773.0,0.0,0.38461538461538464,0.38461538461538464,0.5641025641025641,0.8461538461538461,0.5641025641025641,0.8461538461538461,0.586080586080586,1.0,0.018111254851228976,0.12400690846286701,718.0,,,,0.0
12,0.5004249140976625,0.39707845585235907,0.49839357429718867,0.012633624878522837,91.0,7203.0,773.0,0.0,0.3684210526315789,0.3684210526315789,0.5087719298245614,0.6842105263157895,0.5482456140350876,0.8421052631578947,0.5694444444444444,1.0,0.0129366106080207,0.1251303441084463,720.0,,,,0.0
13,0.5004539515075255,0.4514746237573638,0.48722860791826295,0.013351686166551961,97.0,7265.0,773.0,0.0,0.4,0.4,0.4666666666666667,0.5333333333333333,0.5066666666666667,0.7333333333333333,0.5430423280423281,1.0,0.016817593790426907,0.12478275981925617,718.0,,,,0.0
14,0.500467502298795,0.49792235526942064,0.4711601307189542,0.01197930846719303,88.0,7346.0,773.0,0.0,0.25,0.25,0.3125,0.375,0.39375,0.75,0.42013888888888884,1.0,0.00646830530401035,0.12246278755074425,724.0,,,,0.0
15,0.5004984755359821,0.4165006403870784,0.5055665784832452,0.013754385964912281,98.0,7125.0,773.0,0.0,0.6875,0.6875,0.7604166666666667,0.875,0.7604166666666667,0.875,0.78125,1.0,0.02199223803363519,0.12614957487419748,727.0,,,,0.0
16,0.5005371920824663,0.4676729223713796,0.5293399927020617,0.012673753066230581,93.0,7338.0,773.0,0.0,0.2777777777777778,0.2777777777777778,0.4074074074074074,0.5555555555555556,0.4212962962962963,0.6111111111111112,0.4703483245149912,1.0,0.018111254851228976,0.1227981029810298,725.0,,,,0.0
17,0.5005642936650051,0.3991595138303048,0.539236111111111,0.012704918032786885,93.0,7320.0,773.0,0.0,0.5,0.5,0.5729166666666666,0.6875,0.6041666666666666,0.8125,0.627157738095238,1.0,0.02069857697283312,0.12403763900769889,725.0,,,,0.0
