round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000119349051909,0.5521883114386534,0.5432316118935837,0.010302150314595864,149.0,14463.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.8333333333333334,0.5972222222222222,1.0,0.5972222222222222,1.0,0.010814249363867684,0.122254564699656,1386.0,2.0684931506849313,0.056990589901012106,0.0007563071723940062,0.0
1,0.5000284601585323,0.5228473011868382,0.5126142178362574,0.011243060923336379,160.0,14231.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.6111111111111112,1.0,0.6111111111111112,1.0,0.6111111111111112,1.0,0.015267175572519083,0.12193162545746675,1366.0,,,,0.0
2,0.5000431492726134,0.5110139942414402,0.5038251678876678,0.011513502198032238,165.0,14331.0,1572.0,0.0,0.125,0.125,0.25,0.375,0.33125,0.75,0.3677083333333333,1.0,0.012086513994910942,0.12351752613546517,1406.0,,,,0.0
3,0.5000615106652149,0.5211465393952979,0.5187665343915343,0.012349105036769807,178.0,14414.0,1572.0,0.0,0.1,0.1,0.2833333333333333,0.5,0.3283333333333333,0.7,0.37277777777777776,1.0,0.010178117048346057,0.12004221264620527,1365.0,,,,0.0
4,0.5000761997792961,0.4871571666149804,0.5157647907647908,0.011327531426992679,164.0,14478.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.537037037037037,0.6666666666666666,0.5925925925925926,0.8888888888888888,0.6084656084656085,1.0,0.012086513994910942,0.12182518829917674,1391.0,,,,0.0
5,0.5000872166148569,0.5137678461595598,0.5178843226788432,0.010627285901594093,154.0,14491.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.8333333333333334,0.5611111111111111,1.0,0.5611111111111111,1.0,0.010814249363867684,0.12033598585322723,1361.0,,,,0.0
6,0.5000963973111576,0.5244690065283434,0.5078842940685047,0.00933609958506224,135.0,14460.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.5750000000000001,0.8333333333333334,0.5916666666666667,1.0,0.013358778625954198,0.12331542323614904,1400.0,,,,0.0
7,0.5001165948430193,0.5167815253111454,0.5175018768768769,0.011063476697552206,160.0,14462.0,1572.0,0.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.577020202020202,1.0,0.013358778625954198,0.12086368822961467,1377.0,,,,0.0
8,0.5001404646534011,0.493417428861188,0.5103174603174603,0.010387618516452873,149.0,14344.0,1572.0,0.0,0.23076923076923078,0.23076923076923078,0.3205128205128205,0.46153846153846156,0.3397435897435897,0.5384615384615384,0.4032967032967033,1.0,0.014631043256997456,0.12223402372101257,1381.0,,,,0.0
9,0.5001643344637831,0.5014378997158421,0.5064433251933252,0.011507798960138649,166.0,14425.0,1572.0,0.0,0.4166666666666667,0.4166666666666667,0.4861111111111111,0.5833333333333334,0.5236111111111111,0.75,0.5613095238095238,1.0,0.018447837150127225,0.12356372635672618,1398.0,,,,0.0
