round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000064264874106,0.5201499464272413,0.48173758865248223,0.010350374152038605,148.0,14299.0,1572.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.65,1.0,0.008905852417302799,0.12705817782656423,1389.0,2.0821917808219177,0.05635958827736534,0.0002779491874845458,0.0
1,0.5000192794622316,0.4481971315795732,0.487701330532213,0.009889956818498398,142.0,14358.0,1572.0,0.0,0.0,0.0,0.35714285714285715,0.7142857142857143,0.35714285714285715,0.7142857142857143,0.401360544217687,1.0,0.006361323155216285,0.12600291757840992,1382.0,,,,0.0
2,0.5000284601585323,0.5158794179439908,0.5023802681992338,0.010818632855567806,157.0,14512.0,1572.0,0.0,0.0,0.0,0.3,0.6,0.35,0.8,0.375,1.0,0.011450381679389313,0.1279358938933407,1389.0,,,,0.0
3,0.5000394769940931,0.5529146886344597,0.5193522740065293,0.01036341025286721,150.0,14474.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2972222222222222,0.6666666666666666,0.3448412698412699,1.0,0.011450381679389313,0.12779374942038393,1378.0,,,,0.0
4,0.5000523299689141,0.47535253470629923,0.472639933166249,0.00954653937947494,136.0,14246.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.2924603174603175,1.0,0.00826972010178117,0.13125820363772736,1400.0,,,,0.0
5,0.5000560022474344,0.47960171219731385,0.5273313492063492,0.010670731707317074,154.0,14432.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12698412698412698,1.0,0.013994910941475827,0.12491058655221746,1397.0,,,,0.0
6,0.5000670190829953,0.5117092859229933,0.48347910592808563,0.010513856008912408,151.0,14362.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.375,0.6666666666666666,0.4212962962962963,1.0,0.013358778625954198,0.12643575017946876,1409.0,,,,0.0
7,0.5000798720578163,0.5200966556409414,0.5186316872427984,0.009965611621868202,142.0,14249.0,1572.0,0.0,0.2857142857142857,0.2857142857142857,0.47619047619047616,0.7142857142857143,0.47619047619047616,0.7142857142857143,0.5178571428571428,1.0,0.009541984732824428,0.12662892064347983,1409.0,,,,0.0
8,0.5000872166148569,0.49977183265794306,0.505543372319688,0.00850480109739369,124.0,14580.0,1572.0,0.0,0.25,0.25,0.375,0.5,0.375,0.5,0.44166666666666665,1.0,0.008905852417302799,0.12380538662033015,1425.0,,,,0.0
9,0.5000982334504178,0.4969124050534044,0.5231255645889793,0.008945288121489495,129.0,14421.0,1572.0,0.0,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6349206349206349,1.0,0.013994910941475827,0.12599539904441692,1424.0,,,,0.0
