round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000064264874106,0.5298775176956941,0.5244708994708995,0.010513856008912408,151.0,14362.0,1572.0,0.0,0.75,0.75,0.875,1.0,0.875,1.0,0.875,1.0,0.015267175572519083,0.12470349034225686,1472.0,2.079710144927536,0.05700500747241675,0.0009564332523343991,0.0
1,0.5000174433229714,0.40829673749603523,0.4999932968682968,0.011060100166944907,159.0,14376.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2972222222222222,0.6666666666666666,0.33888888888888885,1.0,0.010178117048346057,0.12359074340934136,1458.0,,,,0.0
2,0.5000284601585323,0.4950337542836949,0.5021100427350429,0.009619377162629757,139.0,14450.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.3158730158730159,1.0,0.007633587786259542,0.12282325229242029,1460.0,,,,0.0
3,0.5000413131333533,0.5285297521831694,0.4923728813559322,0.00884462706316596,127.0,14359.0,1572.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.37794784580498864,1.0,0.013994910941475827,0.12333418215771157,1453.0,,,,0.0
4,0.5000541661081743,0.4938528377944744,0.5424067315490673,0.009979064898813677,143.0,14330.0,1572.0,0.0,0.25,0.25,0.4375,0.625,0.46875,0.75,0.5052083333333334,1.0,0.013358778625954198,0.12328999915031014,1451.0,,,,0.0
5,0.5000725275007758,0.49216357816653533,0.5177907566535387,0.009967935312979228,143.0,14346.0,1572.0,0.0,0.5,0.5,0.6333333333333333,0.8,0.6333333333333333,0.8,0.6558333333333334,1.0,0.009541984732824428,0.12366683595733875,1461.0,,,,0.0
6,0.5000872166148569,0.49436115613182063,0.5169093114952987,0.011699979107180165,168.0,14359.0,1572.0,0.0,0.625,0.625,0.75,0.875,0.75,0.875,0.765625,1.0,0.014631043256997456,0.12284246863686116,1459.0,,,,0.0
7,0.5000982334504178,0.48282350582327926,0.5126600529100529,0.011035243809917925,160.0,14499.0,1572.0,0.0,0.8,0.8,0.8666666666666666,1.0,0.8666666666666666,1.0,0.8666666666666666,1.0,0.015267175572519083,0.1217450118363206,1440.0,,,,0.0
8,0.5001221032607998,0.4859896621930304,0.5013443732193733,0.011638441703254582,167.0,14349.0,1572.0,0.0,0.3076923076923077,0.3076923076923077,0.37179487179487175,0.46153846153846156,0.4641025641025641,0.8461538461538461,0.48547008547008547,1.0,0.014631043256997456,0.12359263050153531,1449.0,,,,0.0
9,0.500138628514141,0.49101370960612856,0.5362811791383221,0.010607657182999648,151.0,14235.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7962962962962963,1.0,0.01653944020356234,0.1250745505665843,1468.0,,,,0.0
10,0.5001569899067425,0.5046129972679583,0.5257929159318049,0.009941888958902191,142.0,14283.0,1572.0,0.0,0.2727272727272727,0.2727272727272727,0.4545454545454545,0.7272727272727273,0.47272727272727266,0.8181818181818182,0.5008658008658008,1.0,0.009541984732824428,0.12387958734990698,1465.0,2.0364963503649633,0.054675063112672825,0.0009564332523343991,0.0
11,0.5001735151600838,0.5105694187073325,0.5103448275862069,0.010470463388751327,148.0,14135.0,1572.0,0.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.6666666666666666,0.41111111111111115,0.7777777777777778,0.4419753086419753,1.0,0.007633587786259542,0.12508632596685082,1449.0,,,,0.0
12,0.500188204274165,0.4733427556138112,0.5057659932659933,0.009626787582839205,138.0,14335.0,1572.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.25416666666666665,0.5,0.3171626984126984,1.0,0.014631043256997456,0.1226687012546626,1447.0,,,,0.0
13,0.5001955488312055,0.4757826013678338,0.5163561636775923,0.01095092874965345,158.0,14428.0,1572.0,0.0,0.25,0.25,0.25,0.25,0.3,0.5,0.37142857142857144,1.0,0.007633587786259542,0.12238705327039784,1452.0,,,,0.0
14,0.5002065656667665,0.5154114960959286,0.5061301534036434,0.011031439602868174,160.0,14504.0,1572.0,0.0,0.375,0.375,0.4375,0.5,0.4625,0.625,0.5168154761904762,1.0,0.010814249363867684,0.12202800099411813,1473.0,,,,0.0
15,0.5002212547808476,0.5123549390613161,0.4996716912184538,0.009861795958052642,142.0,14399.0,1572.0,0.0,0.125,0.125,0.1875,0.25,0.28125,0.625,0.32862103174603174,1.0,0.0057251908396946565,0.123396764188113,1472.0,,,,0.0
16,0.5002432884519693,0.5030859791259834,0.5303564079952968,0.009755070531265352,139.0,14249.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777777,0.9166666666666666,0.798611111111111,1.0,0.798611111111111,1.0,0.014631043256997456,0.1232328393800034,1447.0,,,,0.0
17,0.5002708305408715,0.4647401832314554,0.5367263236390754,0.010636808957312806,152.0,14290.0,1572.0,0.0,0.5714285714285714,0.5714285714285714,0.6904761904761905,0.8571428571428571,0.7226190476190476,1.0,0.7226190476190476,1.0,0.015267175572519083,0.12362332451122685,1448.0,,,,0.0
18,0.5002910280727332,0.5094968259619637,0.5338661081716638,0.00985738255033557,141.0,14304.0,1572.0,0.0,0.5833333333333334,0.5833333333333334,0.6527777777777778,0.75,0.6694444444444444,0.8333333333333334,0.691765873015873,1.0,0.015267175572519083,0.12388545953360768,1445.0,,,,0.0
