round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000082626266706,0.4923324116601482,0.49575030958009675,0.010361613351877607,149.0,14380.0,1572.0,0.0,0.4,0.4,0.6,0.8,0.6,0.8,0.6333333333333333,1.0,0.009541984732824428,0.13287448618678901,1390.0,2.1103896103896105,0.05674313148677258,0.0006389294833327995,0.0
1,0.5000247878800119,0.5031078791712565,0.5145787343635025,0.01093815734118637,156.0,14262.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.48148148148148145,0.5555555555555556,0.48148148148148145,0.5555555555555556,0.5476190476190476,1.0,0.008905852417302799,0.13408304498269896,1395.0,,,,0.0
2,0.5000358047155729,0.5009007808882207,0.5098985188555251,0.011382450331125827,165.0,14496.0,1572.0,0.0,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7346938775510204,1.0,0.012086513994910942,0.13115366651097618,1404.0,,,,0.0
3,0.5000578383866946,0.48248871229042245,0.5185643424036281,0.010113604876697145,146.0,14436.0,1572.0,0.0,0.4166666666666667,0.4166666666666667,0.4861111111111111,0.5833333333333334,0.5277777777777778,0.75,0.5654761904761905,1.0,0.012086513994910942,0.1314567614625653,1359.0,,,,0.0
4,0.5000761997792961,0.462372807306944,0.5201607726423904,0.009840184241747506,141.0,14329.0,1572.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8222222222222223,1.0,0.8222222222222223,1.0,0.013358778625954198,0.13319965625895158,1395.0,,,,0.0
5,0.5000890527541171,0.5174386525521909,0.5240292847096645,0.011525376657640769,166.0,14403.0,1572.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7428571428571429,0.8571428571428571,0.7571428571428572,1.0,0.017811704834605598,0.1339967152932084,1387.0,,,,0.0
6,0.5001055780074584,0.5197493087741929,0.5216762143453872,0.009981022000421733,142.0,14227.0,1572.0,0.0,0.4,0.4,0.55,0.7,0.5700000000000001,0.8,0.5991666666666667,1.0,0.013358778625954198,0.13533169533169534,1377.0,,,,0.0
7,0.5001239394000598,0.47722951707035866,0.5219176818014029,0.009206458261765716,134.0,14555.0,1572.0,0.0,0.7,0.7,0.7666666666666666,0.9,0.7866666666666666,1.0,0.7866666666666666,1.0,0.011450381679389313,0.1350072428778368,1398.0,,,,0.0
8,0.5001441369319215,0.477997883545619,0.5335488505747126,0.01059190031152648,153.0,14445.0,1572.0,0.0,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.9230769230769231,0.7076923076923076,1.0,0.7076923076923076,1.0,0.013358778625954198,0.13557654466745375,1378.0,,,,0.0
9,0.5001496453497019,0.488695216553717,0.5021367521367522,0.01143335192414947,164.0,14344.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.4583333333333333,1.0,0.007633587786259542,0.133495855680156,1369.0,,,,0.0
10,0.5001643344637831,0.5299962359698234,0.520770080963034,0.01103660240290584,158.0,14316.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.8888888888888888,0.7333333333333333,1.0,0.012086513994910942,0.1363905325443787,1383.0,1.98,0.0540564644267353,0.0006390012615541825,0.0
11,0.5001790235778643,0.46447662708728543,0.5023860398860399,0.011665856537740434,168.0,14401.0,1572.0,0.0,0.625,0.625,0.6875,0.75,0.6875,0.75,0.7232142857142857,1.0,0.014631043256997456,0.13733905579399142,1408.0,,,,0.0
12,0.5001845319956447,0.5108246860136235,0.5046023119392684,0.008664058133035215,124.0,14312.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4920634920634921,1.0,0.012086513994910942,0.13720703125,1405.0,,,,0.0
13,0.5001992211097258,0.4849609646307079,0.5067278672032193,0.010726130830569473,152.0,14171.0,1572.0,0.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0,0.012086513994910942,0.13751495811727163,1379.0,,,,0.0
14,0.5002102379452867,0.46902227848496925,0.4957219938335046,0.010025760634964841,144.0,14363.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.33333333333333337,0.5714285714285714,0.36904761904761907,0.7142857142857143,0.40714285714285714,1.0,0.01653944020356234,0.13335290089032384,1363.0,,,,0.0
15,0.5002285993378882,0.47569414165569135,0.5226150527325023,0.010958330425071543,157.0,14327.0,1572.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.6666666666666666,0.6388888888888888,1.0,0.013358778625954198,0.13611029627456733,1392.0,,,,0.0
16,0.5002432884519693,0.48972451305438636,0.506497668997669,0.010567569459024425,151.0,14289.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.3346938775510204,1.0,0.010814249363867684,0.13910891089108912,1405.0,,,,0.0
17,0.500263485983831,0.4957824095340998,0.5312852551488915,0.009306916731298033,132.0,14183.0,1572.0,0.0,0.45454545454545453,0.45454545454545453,0.5303030303030304,0.6363636363636364,0.5757575757575757,0.8181818181818182,0.6060606060606061,1.0,0.01272264631043257,0.1377097729516288,1395.0,,,,0.0
18,0.5002726666801317,0.51369693139813,0.538425925925926,0.00996401882092444,144.0,14452.0,1572.0,0.0,0.8,0.8,0.9,1.0,0.9,1.0,0.9,1.0,0.010814249363867684,0.13356229727151306,1400.0,,,,0.0
19,0.5002947003512535,0.4451547782354438,0.5229885057471265,0.0107421875,154.0,14336.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.6944444444444445,0.75,0.7111111111111111,0.8333333333333334,0.7354166666666667,1.0,0.013994910941475827,0.13602905093728532,1386.0,,,,0.0
20,0.5003057171868143,0.4537693912561394,0.5194661883018047,0.010766971963923653,154.0,14303.0,1572.0,0.0,0.8571428571428571,0.8571428571428571,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9285714285714286,1.0,0.013358778625954198,0.13614103819784526,1390.0,1.9722222222222223,0.05191564394885988,0.0006390012615541825,0.0
21,0.5003204063008955,0.5020848056537102,0.5125679495542509,0.010558702188658136,151.0,14301.0,1572.0,0.0,0.625,0.625,0.625,0.625,0.625,0.625,0.6706349206349207,1.0,0.013994910941475827,0.13969133359715077,1412.0,,,,0.0
