round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000045903481504,0.5018410792968914,0.48872687564234335,0.010222531293463143,147.0,14380.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555556,1.0,0.008905852417302799,0.12719338965741342,1370.0,2.116883116883117,0.05670781276726617,0.0006389294833327995,0.0
1,0.5000211156014917,0.5516325466191914,0.5134515977443609,0.011008273734399103,157.0,14262.0,1572.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.35555555555555557,0.5555555555555556,0.41494708994708995,1.0,0.00826972010178117,0.1298360655737705,1386.0,,,,0.0
2,0.500037640854833,0.5223728424852178,0.5144804067460317,0.011590203518454639,168.0,14495.0,1572.0,0.0,0.1111111111111111,0.1111111111111111,0.24074074074074073,0.4444444444444444,0.312962962962963,0.7777777777777778,0.3364197530864198,1.0,0.013358778625954198,0.12598137666605805,1380.0,,,,0.0
3,0.5000486576903939,0.5029049885510304,0.507037728026534,0.009704027171276079,140.0,14427.0,1572.0,0.0,0.5,0.5,0.5833333333333334,0.6666666666666666,0.6166666666666667,0.8333333333333334,0.6404761904761905,1.0,0.006361323155216285,0.1265087994103013,1373.0,,,,0.0
4,0.5000578383866946,0.5050146406057667,0.4994818376068376,0.009491241538139437,136.0,14329.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6666666666666666,0.5055555555555555,0.8333333333333334,0.5263888888888889,1.0,0.011450381679389313,0.12697547683923704,1398.0,,,,0.0
5,0.5000780359185562,0.5153692264495298,0.527116402116402,0.01179245283018868,170.0,14416.0,1572.0,0.0,0.6,0.6,0.6333333333333333,0.7,0.6783333333333333,0.9,0.6926190476190476,1.0,0.014631043256997456,0.12528206516833648,1388.0,,,,0.0
6,0.5000835443363366,0.48099045910352556,0.4673394097222222,0.009627547434996487,137.0,14230.0,1572.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6607142857142857,1.0,0.007633587786259542,0.12527491862408727,1424.0,,,,0.0
7,0.500100069589678,0.514469276424028,0.5145140463592844,0.009142778579775898,133.0,14547.0,1572.0,0.0,0.4,0.4,0.4833333333333333,0.6,0.5083333333333333,0.7,0.5541666666666666,1.0,0.008905852417302799,0.12366646752581718,1449.0,,,,0.0
8,0.5001110864252388,0.5103837051487072,0.501095461658842,0.010245050533019521,148.0,14446.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.5,0.38055555555555554,0.8333333333333334,0.4043650793650793,1.0,0.011450381679389313,0.12317666126418152,1444.0,,,,0.0
9,0.50012577553932,0.4638223909728601,0.511411889596603,0.011768802228412256,169.0,14360.0,1572.0,0.0,0.25,0.25,0.41666666666666663,0.625,0.44791666666666663,0.75,0.4836309523809524,1.0,0.011450381679389313,0.12260667983171632,1428.0,,,,0.0
10,0.500138628514141,0.5312871347647016,0.5086991145664616,0.01095680089329332,157.0,14329.0,1572.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.5892857142857143,1.0,0.014631043256997456,0.12275449101796407,1435.0,2.013245033112583,0.053650635262105756,0.0006389294833327995,0.0
11,0.5001459730711816,0.503970646467485,0.49415251238499647,0.01145912910618793,165.0,14399.0,1572.0,0.0,0.75,0.75,0.875,1.0,0.875,1.0,0.875,1.0,0.011450381679389313,0.12336337357592246,1451.0,,,,0.0
12,0.5001569899067425,0.49414335429431366,0.5063368055555556,0.008809956649419661,126.0,14302.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.75,0.8333333333333334,0.7738095238095237,1.0,0.010814249363867684,0.12333447215579091,1444.0,,,,0.0
13,0.500175351299344,0.5372824973701229,0.5054848880191346,0.010851948418011416,154.0,14191.0,1572.0,0.0,0.36363636363636365,0.36363636363636365,0.5,0.6363636363636364,0.5454545454545454,0.8181818181818182,0.5685425685425685,1.0,0.01272264631043257,0.12273469037189728,1429.0,,,,0.0
14,0.5001845319956447,0.48661293664196137,0.5081391723356009,0.010030649205906938,144.0,14356.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5833333333333334,1.0,0.5833333333333334,1.0,0.009541984732824428,0.12420463222193942,1464.0,,,,0.0
15,0.5001955488312055,0.4820449852095775,0.5015018738977073,0.010631601035182205,152.0,14297.0,1572.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.40770975056689346,1.0,0.01272264631043257,0.12489343563512362,1465.0,,,,0.0
16,0.5002120740845468,0.5316378327208761,0.5101356976356977,0.01064873196020737,152.0,14274.0,1572.0,0.0,0.375,0.375,0.5833333333333333,0.875,0.5833333333333333,0.875,0.5972222222222222,1.0,0.013358778625954198,0.12514919011082695,1468.0,,,,0.0
17,0.5002322716164085,0.5017619293935083,0.5122794503476321,0.009301014656144307,132.0,14192.0,1572.0,0.0,0.09090909090909091,0.09090909090909091,0.25757575757575757,0.45454545454545453,0.3484848484848485,0.8181818181818182,0.36666666666666664,1.0,0.006361323155216285,0.12629683614850382,1473.0,,,,0.0
18,0.500239616173449,0.489791724697385,0.5052057226399331,0.009894139624991352,143.0,14453.0,1572.0,0.0,0.5,0.5,0.5833333333333333,0.75,0.5833333333333333,0.75,0.625,1.0,0.007633587786259542,0.12191872085276483,1464.0,,,,0.0
