round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10
0,0.4999990819303699,0.5134712062806128,0.5122088981578032,0.010235343266954463,147.0,14362.0,1572.0,0.0,0.013358778625954198,0.12557505537570285,1474.0,2.0942028985507246,0.0570298062473778,0.0009564332523343991,0.0,,,,,,,,
1,0.5000064264874106,0.4943544633694128,0.504785851122058,0.010920979410127991,157.0,14376.0,1572.0,0.0,0.010178117048346057,0.1265649116789573,1476.0,,,,0.0,0.25,0.25,0.25,0.25,0.3125,0.5,0.3794642857142857,1.0
2,0.5000137710444511,0.46760206254229597,0.5203757536606375,0.009480968858131487,137.0,14450.0,1572.0,0.0,0.007633587786259542,0.1259366485013624,1479.0,,,,0.0,0.25,0.25,0.375,0.5,0.375,0.5,0.4419642857142857,1.0
3,0.5000211156014917,0.4795112568974699,0.4905434782608696,0.008635698864823455,124.0,14359.0,1572.0,0.0,0.013994910941475827,0.1256544502617801,1464.0,,,,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6444444444444445,1.0
4,0.5000266240192721,0.4713637024986452,0.5067147034252298,0.009699930216329379,139.0,14330.0,1572.0,0.0,0.012086513994910942,0.1280471935455886,1476.0,,,,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.20833333333333334,1.0
5,0.5000284601585323,0.49171323079249496,0.5076240469941258,0.009339931693036872,134.0,14347.0,1572.0,0.0,0.013994910941475827,0.12612227447627192,1475.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.5000358047155729,0.47787287691475017,0.48067384004884006,0.011421408176056828,164.0,14359.0,1572.0,0.0,0.012086513994910942,0.12578238875075023,1467.0,,,,0.0,0.4,0.4,0.4666666666666667,0.6,0.5066666666666667,0.8,0.5352380952380953,1.0
7,0.500037640854833,0.5389983945170734,0.5156596542726679,0.010688918005654783,155.0,14501.0,1572.0,0.0,0.013358778625954198,0.12411047102677059,1465.0,,,,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0
8,0.500050493829654,0.4760505965788817,0.5061092955700799,0.011221076108168386,161.0,14348.0,1572.0,0.0,0.010178117048346057,0.12734665628514577,1472.0,,,,0.0,0.125,0.125,0.35416666666666663,0.625,0.37916666666666665,0.75,0.4126488095238095,1.0
9,0.5000615106652149,0.4814275470135289,0.4957977028839705,0.010390339792193204,148.0,14244.0,1572.0,0.0,0.01653944020356234,0.1289289115940774,1489.0,,,,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.369047619047619,0.5714285714285714,0.4325396825396825,1.0
10,0.5000780359185562,0.4962237681508585,0.5026969429747207,0.009880176581879336,141.0,14271.0,1572.0,0.0,0.006997455470737914,0.12782473693289634,1482.0,2.0863309352517985,0.054893666905970986,0.0009564332523343991,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2666666666666667,0.5555555555555556,0.33192239858906525,1.0
11,0.5000872166148569,0.45982146403266294,0.5076761792187324,0.010189640532125671,144.0,14132.0,1572.0,0.0,0.009541984732824428,0.12878721732297216,1475.0,,,,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0
