round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000137710444511,0.43071119499257604,0.4371858465608466,0.010560179033498845,151.0,14299.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.42857142857142855,0.23809523809523808,0.42857142857142855,0.31105442176870746,1.0,0.00826972010178117,0.1268896447467876,1343.0,2.089041095890411,0.05642096555458942,0.0002779491874845458,0.0
1,0.5000229517407518,0.5370499603090868,0.4855780620705994,0.009751340809361287,140.0,14357.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.35000000000000003,0.8333333333333334,0.37777777777777777,1.0,0.012086513994910942,0.128328611898017,1359.0,,,,0.0
2,0.5000302962977924,0.521095566236805,0.5353431054961667,0.010813416901990495,157.0,14519.0,1572.0,0.0,0.2,0.2,0.3,0.4,0.33999999999999997,0.6,0.39555555555555555,1.0,0.014631043256997456,0.12516034451163643,1366.0,,,,0.0
3,0.5000358047155729,0.4567352731558178,0.4665291950113379,0.010156142047809865,147.0,14474.0,1572.0,0.0,0.0,0.0,0.29166666666666663,0.75,0.29166666666666663,0.75,0.3194444444444444,1.0,0.00826972010178117,0.12420293873024674,1344.0,,,,0.0
4,0.5000431492726134,0.493870181365756,0.505213410823647,0.009329405162738495,133.0,14256.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.16041666666666665,1.0,0.00826972010178117,0.12721342031686858,1365.0,,,,0.0
5,0.5000523299689141,0.49270191357669146,0.5069889860706187,0.01093955549401094,158.0,14443.0,1572.0,0.0,0.2,0.2,0.2,0.2,0.27999999999999997,0.6,0.33333333333333337,1.0,0.013358778625954198,0.12569988801791712,1347.0,,,,0.0
6,0.5000615106652149,0.5059617186767875,0.5149302134646964,0.01043260536931423,150.0,14378.0,1572.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.5,1.0,0.00826972010178117,0.12519780322070184,1345.0,,,,0.0
7,0.5000688552222555,0.4855806807105978,0.4772376543209877,0.009684890167731068,138.0,14249.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5694444444444445,1.0,0.010178117048346057,0.12405910231391135,1335.0,,,,0.0
8,0.5000780359185562,0.5038355759489637,0.46338692172025514,0.008646719736480922,126.0,14572.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.325,0.6666666666666666,0.3625,1.0,0.0057251908396946565,0.12362911266201396,1364.0,,,,0.0
9,0.5000853804755968,0.506640161609693,0.521265172735761,0.008748177463028535,126.0,14403.0,1572.0,0.0,0.25,0.25,0.5833333333333334,1.0,0.5833333333333334,1.0,0.5833333333333334,1.0,0.012086513994910942,0.12401249311041705,1350.0,,,,0.0
