round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000460544495178,0.6175434283841363,0.5810866013071896,0.014943960149439602,36.0,2409.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777773,0.5,0.45694444444444443,0.75,0.488425925925926,1.0,0.02834008097165992,0.10911424903722722,85.0,1.9570552147239264,0.16173179492603357,0.005697127178547955,0.0
1,0.5000767574158629,0.5878807106598984,0.4777298850574714,0.012531328320802004,30.0,2394.0,247.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.09791666666666665,0.375,0.18993055555555555,1.0,0.0,0.12202380952380952,82.0,,,,0.0
2,0.5001425494866025,0.681887457591179,0.5479910714285714,0.013389121338912133,32.0,2390.0,247.0,0.0,0.23076923076923078,0.23076923076923078,0.3589743589743589,0.5384615384615384,0.3935897435897436,0.6923076923076923,0.443040293040293,1.0,0.016194331983805668,0.12287104622871046,101.0,,,,0.0
3,0.5001864108670956,0.6901560345651372,0.5299107142857143,0.012949039264828738,31.0,2394.0,247.0,0.0,0.18181818181818182,0.18181818181818182,0.3484848484848485,0.5454545454545454,0.36666666666666664,0.6363636363636364,0.40959595959595957,1.0,0.012145748987854251,0.11983471074380166,87.0,,,,0.0
4,0.5002346583856381,0.5649284750337382,0.49823573573573565,0.01615575807787904,39.0,2414.0,247.0,0.0,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.2727272727272727,0.16666666666666666,0.2727272727272727,0.2623376623376623,1.0,0.020242914979757085,0.112,84.0,,,,0.0
5,0.5002609752139339,0.5471246130632944,0.4516559829059829,0.011212624584717609,27.0,2408.0,247.0,0.0,0.4,0.4,0.4,0.4,0.49000000000000005,0.8,0.5185714285714286,1.0,0.008097165991902834,0.12172774869109948,93.0,,,,0.0
6,0.5002741336280818,0.55661194299116,0.5241545893719807,0.009453349773941636,23.0,2433.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4305555555555556,1.0,0.024291497975708502,0.11703511053315994,90.0,,,,0.0
7,0.5003048365944269,0.6292327475353621,0.5861625514403292,0.012695725772323318,30.0,2363.0,247.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.2791666666666667,0.625,0.325,1.0,0.012145748987854251,0.12484993997599039,104.0,,,,0.0
8,0.5003794009412652,0.6951960076960078,0.5507709750566894,0.014516798009124844,35.0,2411.0,247.0,0.0,0.3076923076923077,0.3076923076923077,0.46153846153846145,0.6923076923076923,0.46153846153846145,0.6923076923076923,0.49890109890109885,1.0,0.02834008097165992,0.12666666666666668,95.0,,,,0.0
9,0.5004232623217583,0.655388959780708,0.5859895033282131,0.01508169250104734,36.0,2387.0,247.0,0.0,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.4444444444444444,0.35185185185185186,0.6666666666666666,0.38765432098765434,1.0,0.020242914979757085,0.11553784860557768,87.0,,,,0.0
10,0.5004715098403008,0.6403313550939663,0.475403667214012,0.015031315240083507,36.0,2395.0,247.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.2604166666666667,0.5,0.32723214285714286,1.0,0.008097165991902834,0.11622554660529344,101.0,2.0126582278481013,0.16004034988854982,0.004946579180487965,0.0
11,0.5004978266685965,0.5548990540731329,0.524074074074074,0.012547051442910916,30.0,2391.0,247.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.5714285714285714,0.39699546485260767,1.0,0.012145748987854251,0.12653061224489795,93.0,,,,0.0
12,0.5005285296349418,0.5778025688958571,0.5302287581699346,0.014559068219633943,35.0,2404.0,247.0,0.0,0.25,0.25,0.3125,0.375,0.34375,0.5,0.412797619047619,1.0,0.020242914979757085,0.1188118811881188,96.0,,,,0.0
13,0.5005723910154348,0.6762396487363949,0.5528571428571428,0.011885245901639344,29.0,2440.0,247.0,0.0,0.5,0.5,0.5416666666666666,0.625,0.5416666666666666,0.625,0.5859126984126983,1.0,0.03643724696356275,0.11700680272108843,86.0,,,,0.0
14,0.5006118662578786,0.5790876444843452,0.4835648148148148,0.01594628619387327,38.0,2383.0,247.0,0.0,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.4444444444444444,0.36851851851851847,0.7777777777777778,0.39673721340388,1.0,0.020242914979757085,0.12549019607843137,96.0,,,,0.0
15,0.500660113776421,0.6266243288363489,0.5246212121212122,0.015207562679819153,37.0,2433.0,247.0,0.0,0.5,0.5,0.5833333333333334,0.7,0.6033333333333333,0.8,0.6300000000000001,1.0,0.024291497975708502,0.11627906976744186,90.0,,,,0.0
16,0.5007039751569141,0.6010263157894737,0.5632507507507508,0.016563146997929608,40.0,2415.0,247.0,0.0,0.125,0.125,0.29166666666666663,0.5,0.29166666666666663,0.5,0.35376984126984123,1.0,0.032388663967611336,0.12307692307692308,88.0,,,,0.0
17,0.5007522226754565,0.5182703784990952,0.4730902777777778,0.013784461152882205,33.0,2394.0,247.0,0.0,0.18181818181818182,0.18181818181818182,0.28787878787878785,0.45454545454545453,0.3060606060606061,0.5454545454545454,0.3615800865800866,1.0,0.012145748987854251,0.1275252525252525,101.0,,,,0.0
18,0.5008224008842455,0.6854648698206769,0.630718143738977,0.017901748542880933,43.0,2402.0,247.0,0.0,0.36363636363636365,0.36363636363636365,0.4393939393939394,0.5454545454545454,0.4984848484848485,0.8181818181818182,0.5199494949494949,1.0,0.020242914979757085,0.11678832116788321,96.0,,,,0.0
19,0.5008267870222948,0.5041548594623574,0.49107142857142855,0.009181969949916527,22.0,2396.0,247.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.008097165991902834,0.1181592039800995,95.0,,,,0.0
20,0.5008531038505906,0.5907637071592016,0.5329861111111112,0.013580246913580247,33.0,2430.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5416666666666666,0.6666666666666666,0.5879629629629629,1.0,0.016194331983805668,0.11432926829268293,75.0,1.9831460674157304,0.15798148646264648,0.004947899501620923,0.0
21,0.5009013513691329,0.6268949106648342,0.47261904761904766,0.01694915254237288,41.0,2419.0,247.0,0.0,0.0,0.0,0.1,0.2,0.125,0.3,0.2170238095238095,1.0,0.016194331983805668,0.1273209549071618,96.0,,,,0.0
22,0.5009408266115768,0.5983671921980809,0.44899425287356326,0.014036580178647383,33.0,2351.0,247.0,0.0,0.25,0.25,0.3125,0.375,0.425,0.875,0.4388888888888889,1.0,0.012145748987854251,0.11351351351351352,84.0,,,,0.0
23,0.5009934602681685,0.616391477514404,0.5462962962962964,0.01837160751565762,44.0,2395.0,247.0,0.0,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.2727272727272727,0.25,0.36363636363636365,0.3336580086580087,1.0,0.020242914979757085,0.11559139784946236,86.0,,,,0.0
24,0.5010197770964643,0.5734243014944769,0.5272671568627452,0.015919564306661083,38.0,2387.0,247.0,0.0,0.2,0.2,0.2,0.2,0.32999999999999996,0.8,0.35857142857142854,1.0,0.020242914979757085,0.12872628726287264,95.0,,,,0.0
25,0.5010417077867109,0.5578980311824286,0.5108024691358025,0.011822258459029759,29.0,2453.0,247.0,0.0,0.4,0.4,0.5666666666666667,0.8,0.5666666666666667,0.8,0.5866666666666667,1.0,0.012145748987854251,0.11717861205915814,103.0,,,,0.0
26,0.5010987275813519,0.6319526627218934,0.5440538194444445,0.01639344262295082,39.0,2379.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.4444444444444444,0.41111111111111115,0.5555555555555556,0.47791005291005295,1.0,0.032388663967611336,0.11734028683181226,90.0,,,,0.0
27,0.5011732919281902,0.6983090797294529,0.5842828798185942,0.016935150764147047,41.0,2421.0,247.0,0.0,0.4375,0.4375,0.5208333333333333,0.625,0.5677083333333333,0.8125,0.5928819444444444,1.0,0.04048582995951417,0.11473272490221642,88.0,,,,0.0
28,0.5012346978608805,0.6519646744059495,0.5843894009216589,0.015282940933498555,37.0,2421.0,247.0,0.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.5863636363636364,0.8181818181818182,0.6084415584415584,1.0,0.032388663967611336,0.11772315653298836,91.0,,,,0.0
29,0.5013048760696694,0.6332128223668354,0.5764922288359788,0.022891055532005086,54.0,2359.0,247.0,0.0,0.4166666666666667,0.4166666666666667,0.6388888888888888,0.9166666666666666,0.6597222222222222,1.0,0.6597222222222222,1.0,0.03643724696356275,0.12267657992565056,99.0,,,,0.0
