round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5000109653451232,0.010561892691170258,25.0,2367.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.39999999999999997,0.6666666666666666,0.43703703703703706,1.0,0.004048582995951417,0.12063655030800821,235.0,2.0060975609756095,0.16148816457094378,0.004802195490266196,0.0
1,0.5000241237592712,0.0115990057995029,28.0,2414.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666665,1.0,0.008097165991902834,0.12525773195876289,243.0,,,,0.0
2,0.5000328960353698,0.012536564981195153,30.0,2393.0,247.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.24761904761904763,1.0,0.008097165991902834,0.12157268494568028,235.0,,,,0.0
3,0.5000504405875671,0.007867494824016562,19.0,2415.0,247.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.06666666666666667,0.2,0.1952380952380952,1.0,0.004048582995951417,0.12115093387178193,240.0,,,,0.0
4,0.5000592128636657,0.012315270935960592,30.0,2436.0,247.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.17777777777777778,0.6666666666666666,0.2253968253968254,1.0,0.004048582995951417,0.11984282907662082,244.0,,,,0.0
5,0.5000767574158629,0.010135135135135136,24.0,2368.0,247.0,0.0,0.0,0.0,0.25,0.5,0.3625,1.0,0.3625,1.0,0.008097165991902834,0.12352032938754504,240.0,,,,0.0
6,0.5000855296919615,0.0112079701120797,27.0,2409.0,247.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.15000000000000002,1.0,0.004048582995951417,0.11884634510193934,239.0,,,,0.0
7,0.5001074603822081,0.013830678960603521,33.0,2386.0,247.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.30666666666666664,0.6,0.36,1.0,0.016194331983805668,0.11991971901655796,239.0,,,,0.0
8,0.5001206187963559,0.01258917331095258,30.0,2383.0,247.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.2916666666666667,1.0,0.008097165991902834,0.1230138390568939,240.0,,,,0.0
9,0.5001337772105039,0.010951979780960405,26.0,2374.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.020242914979757085,0.12219959266802444,240.0,,,,0.0
10,0.5001513217627012,0.011498973305954825,28.0,2435.0,247.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.20833333333333331,0.75,0.23333333333333334,1.0,0.008097165991902834,0.1210762331838565,243.0,2.045977011494253,0.15985313281974567,0.004802798492541603,0.0
11,0.5001600940387998,0.010717230008244023,26.0,2426.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,1.0,0.012145748987854251,0.12315521628498728,242.0,,,,0.0
12,0.5001732524529477,0.015238879736408566,37.0,2428.0,247.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.1722222222222222,1.0,0.016194331983805668,0.12159434914228053,241.0,,,,0.0
13,0.5001951831431942,0.013036164844407064,31.0,2378.0,247.0,0.0,0.16666666666666666,0.16666666666666666,0.38888888888888884,0.6666666666666666,0.38888888888888884,0.6666666666666666,0.4312169312169312,1.0,0.020242914979757085,0.12198795180722892,243.0,,,,0.0
14,0.5002039554192929,0.010330578512396695,25.0,2420.0,247.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.20833333333333331,1.0,0.016194331983805668,0.11968348170128586,242.0,,,,0.0
