round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5011524848344568,0.5998593696538483,0.5412793542074364,0.027879988678177186,197.0,7066.0,711.0,0.0,0.17857142857142858,0.17857142857142858,0.30158730158730157,0.4642857142857143,0.33789682539682536,0.6309523809523809,0.38726851851851846,1.0,0.03234880450070324,0.19312945119396732,461.0,1.8875739644970415,0.04735006079779524,0.015369512817942008,0.0
1,0.5023676571285286,0.607799185058566,0.5925964377999262,0.02599971739437615,184.0,7077.0,711.0,0.0,0.30120481927710846,0.30120481927710846,0.4578313253012048,0.6626506024096386,0.47409638554216876,0.7349397590361446,0.509471218206158,1.0,0.0450070323488045,0.19584954604409857,453.0,,,,0.0
2,0.5034767429524829,0.6138025610980301,0.5730025183150184,0.028339504414696667,199.0,7022.0,711.0,0.0,0.21428571428571427,0.21428571428571427,0.36904761904761907,0.5714285714285714,0.4000000000000001,0.7142857142857143,0.43926209372637953,1.0,0.040787623066104076,0.1888750518887505,455.0,,,,0.0
3,0.5046340498992179,0.5860968317708175,0.569412642125408,0.02578268876611418,182.0,7059.0,711.0,0.0,0.25287356321839083,0.25287356321839083,0.39463601532567055,0.5862068965517241,0.43716475095785445,0.7701149425287356,0.4685322021528919,1.0,0.040787623066104076,0.18524727577535624,442.0,,,,0.0
4,0.5055406070074936,0.6346330887167051,0.5653452996185554,0.02305929533085076,161.0,6982.0,711.0,0.0,0.26865671641791045,0.26865671641791045,0.3980099502487562,0.5373134328358209,0.43905472636815923,0.7164179104477612,0.4795901445155176,1.0,0.026722925457102673,0.19186785260482847,453.0,,,,0.0
5,0.506505029463106,0.6234202147016011,0.5383558515998993,0.02275960170697013,160.0,7030.0,711.0,0.0,0.20253164556962025,0.20253164556962025,0.3122362869198312,0.46835443037974683,0.35907172995780584,0.6708860759493671,0.4006730962427164,1.0,0.026722925457102673,0.1821656050955414,429.0,,,,0.0
6,0.5077684228799584,0.5877726317172514,0.5179306175595237,0.025081479382173727,177.0,7057.0,711.0,0.0,0.2391304347826087,0.2391304347826087,0.31884057971014496,0.44565217391304346,0.35797101449275365,0.6086956521739131,0.4084541062801933,1.0,0.03656821378340366,0.18482407799915218,436.0,,,,0.0
7,0.5087617780092392,0.6011236591910107,0.5652019615434251,0.023741825419391526,167.0,7034.0,711.0,0.0,0.35294117647058826,0.35294117647058826,0.49264705882352944,0.6617647058823529,0.5176470588235295,0.7794117647058824,0.548640289449113,1.0,0.03375527426160337,0.18676222596964587,443.0,,,,0.0
8,0.5098419311595251,0.615578576934408,0.5904797335600905,0.025761457443780243,181.0,7026.0,711.0,0.0,0.1951219512195122,0.1951219512195122,0.33739837398373984,0.5121951219512195,0.3855691056910569,0.7195121951219512,0.4242111885404568,1.0,0.029535864978902954,0.18868720979316167,447.0,,,,0.0
9,0.5107967093905814,0.5786615736059618,0.5707684976877891,0.024560902470369843,172.0,7003.0,711.0,0.0,0.37681159420289856,0.37681159420289856,0.47584541062801927,0.6086956521739131,0.5019323671497584,0.7246376811594203,0.5382275132275133,1.0,0.04922644163150492,0.18875159778440562,443.0,,,,0.0
