round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5005834755856455,0.4669512767508513,0.5055348875661375,0.020564458941994043,145.0,7051.0,711.0,0.0,0.22727272727272727,0.22727272727272727,0.303030303030303,0.4090909090909091,0.3416666666666667,0.5681818181818182,0.4000270562770563,1.0,0.026722925457102673,0.16509051607673603,611.0,1.9878787878787878,0.04632329394163745,0.017967094473517208,0.0
1,0.5012585713045743,0.45587913854741796,0.5305885625278148,0.0193420866864323,137.0,7083.0,711.0,0.0,0.29545454545454547,0.29545454545454547,0.3825757575757576,0.4772727272727273,0.41893939393939394,0.6363636363636364,0.46557539682539684,1.0,0.029535864978902954,0.16572352465642684,615.0,,,,0.0
2,0.5018082921042734,0.4288871141391796,0.5573899371069183,0.017508896797153024,123.0,7025.0,711.0,0.0,0.30434782608695654,0.30434782608695654,0.3949275362318841,0.5,0.43949275362318835,0.6956521739130435,0.48057280883367837,1.0,0.02531645569620253,0.1685782875433449,632.0,,,,0.0
3,0.5024833878232021,0.4388439312147586,0.4687066574202496,0.020622955482861614,145.0,7031.0,711.0,0.0,0.225,0.225,0.325,0.5,0.37625000000000003,0.725,0.4147420634920634,1.0,0.015471167369901548,0.16524747205960616,621.0,,,,0.0
4,0.5032356373385798,0.4775912830560342,0.5161258012820513,0.019407848137129907,137.0,7059.0,711.0,0.0,0.28846153846153844,0.28846153846153844,0.3974358974358974,0.5384615384615384,0.446474358974359,0.75,0.4797924297924298,1.0,0.029535864978902954,0.16434689507494646,614.0,,,,0.0
5,0.5038142908119473,0.46794922336986516,0.5461174242424242,0.01872340425531915,132.0,7050.0,711.0,0.0,0.2,0.2,0.2777777777777778,0.37777777777777777,0.33444444444444443,0.6222222222222222,0.38683421516754857,1.0,0.02250351617440225,0.16603364080303853,612.0,,,,0.0
6,0.5045761845518811,0.4490292097384565,0.551492871840094,0.01974992895709008,139.0,7038.0,711.0,0.0,0.2777777777777778,0.2777777777777778,0.3950617283950617,0.5370370370370371,0.44320987654320987,0.7407407407407407,0.4776161081716637,1.0,0.029535864978902954,0.16671091053889037,628.0,,,,0.0
7,0.5053477225163711,0.5124681971554054,0.5540404040404041,0.020904436860068258,147.0,7032.0,711.0,0.0,0.25,0.25,0.3814102564102564,0.5384615384615384,0.43141025641025643,0.75,0.4642170329670329,1.0,0.029535864978902954,0.1651893634165995,615.0,,,,0.0
8,0.5059938855616314,0.4562625636876241,0.548165137614679,0.01966932725199544,138.0,7016.0,711.0,0.0,0.19607843137254902,0.19607843137254902,0.3431372549019608,0.5294117647058824,0.38333333333333336,0.7254901960784313,0.42131185807656396,1.0,0.02390998593530239,0.16733067729083664,630.0,,,,0.0
9,0.5066979139542285,0.4633672189843769,0.5021789965986395,0.021136818051985147,148.0,7002.0,711.0,0.0,0.15217391304347827,0.15217391304347827,0.322463768115942,0.5434782608695652,0.3615942028985507,0.717391304347826,0.3998015873015872,1.0,0.016877637130801686,0.16639388979814512,610.0,,,,0.0
10,0.5073922981222695,0.4978431060902452,0.5594464467744285,0.020689655172413793,144.0,6960.0,711.0,0.0,0.2826086956521739,0.2826086956521739,0.4275362318840579,0.6521739130434783,0.444927536231884,0.7391304347826086,0.4803053830227743,1.0,0.040787623066104076,0.16513264753654575,610.0,1.96,0.027438507537656857,0.015054164003947186,0.0
11,0.5079998842693053,0.45094361085301315,0.5017223324514992,0.01956304440953877,137.0,7003.0,711.0,0.0,0.2,0.2,0.3,0.4444444444444444,0.3577777777777778,0.6888888888888889,0.39560846560846563,1.0,0.02250351617440225,0.16805369127516778,626.0,,,,0.0
12,0.5085785377426728,0.45590421624798,0.5211904761904761,0.0215610176800345,150.0,6957.0,711.0,0.0,0.1590909090909091,0.1590909090909091,0.28787878787878785,0.4772727272727273,0.3356060606060605,0.6818181818181818,0.376271645021645,1.0,0.02531645569620253,0.1706072004298764,635.0,,,,0.0
13,0.5094658064018363,0.4730629868298293,0.5034763905562225,0.02317596566523605,162.0,6990.0,711.0,0.0,0.19298245614035087,0.19298245614035087,0.3538011695906433,0.5614035087719298,0.3739766081871345,0.6491228070175439,0.41937482595377334,1.0,0.02250351617440225,0.1653917172250066,627.0,,,,0.0
14,0.5101698347944333,0.46159705849019106,0.5029780801209373,0.022665327786544256,158.0,6971.0,711.0,0.0,0.12,0.12,0.23333333333333328,0.4,0.2813333333333333,0.62,0.3323730158730159,1.0,0.016877637130801686,0.17025748817656333,648.0,,,,0.0
15,0.5107388440432447,0.45514164337370777,0.4825763263263263,0.018960068945705257,132.0,6962.0,711.0,0.0,0.14285714285714285,0.14285714285714285,0.24829931972789115,0.40816326530612246,0.27482993197278915,0.5306122448979592,0.3365484288953676,1.0,0.02109704641350211,0.16582513951634334,624.0,,,,0.0
16,0.5114428724358417,0.4482941230179262,0.4764275179098188,0.020884343943540256,145.0,6943.0,711.0,0.0,0.07407407407407407,0.07407407407407407,0.212962962962963,0.3888888888888889,0.25000000000000006,0.5555555555555556,0.30439447383891827,1.0,0.01969057665260197,0.1670657089651503,628.0,,,,0.0
17,0.5121661892775511,0.44358441547042793,0.5250746322994029,0.019319492502883506,134.0,6936.0,711.0,0.0,0.18032786885245902,0.18032786885245902,0.2704918032786885,0.39344262295081966,0.32295081967213113,0.6229508196721312,0.3731654957064793,1.0,0.02109704641350211,0.17003188097768332,640.0,,,,0.0
18,0.5129473714665972,0.4873784052592,0.5168483709273183,0.02164564220183486,151.0,6976.0,711.0,0.0,0.1320754716981132,0.1320754716981132,0.279874213836478,0.49056603773584906,0.3081761006289308,0.6226415094339622,0.3551737047020066,1.0,0.02109704641350211,0.16162697350816163,604.0,,,,0.0
19,0.5135356691645209,0.4675840025033275,0.4946331136621316,0.019117435676297253,133.0,6957.0,711.0,0.0,0.15217391304347827,0.15217391304347827,0.2572463768115942,0.391304347826087,0.3007246376811594,0.5869565217391305,0.3542097998619738,1.0,0.01828410689170183,0.1669324827219564,628.0,,,,0.0
20,0.5141818322097812,0.4448592219990835,0.5087503852673756,0.019711469790029995,138.0,7001.0,711.0,0.0,0.1590909090909091,0.1590909090909091,0.31060606060606055,0.5227272727272727,0.34696969696969693,0.6818181818181818,0.3880862193362194,1.0,0.02390998593530239,0.16894243641231593,631.0,1.9709302325581395,0.00956225396401121,0.017769171717887857,0.0
21,0.5150691008689446,0.4586997878844912,0.5584343853820598,0.0250251689918021,174.0,6953.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.38392857142857145,0.5357142857142857,0.4169642857142857,0.6785714285714286,0.4624007936507937,1.0,0.02812939521800281,0.167764024229655,637.0,,,,0.0
22,0.515946725303552,0.4738835901198337,0.542714359887257,0.021536252692031587,150.0,6965.0,711.0,0.0,0.22033898305084745,0.22033898305084745,0.3389830508474576,0.4915254237288136,0.3864406779661017,0.6949152542372882,0.4281476997578693,1.0,0.026722925457102673,0.1677780741531075,629.0,,,,0.0
23,0.5166218210224807,0.4652602766984587,0.4775739041794087,0.020040369088811995,139.0,6936.0,711.0,0.0,0.16666666666666666,0.16666666666666666,0.2951388888888889,0.4791666666666667,0.3263888888888889,0.6041666666666666,0.37611607142857145,1.0,0.015471167369901548,0.17119054017737168,637.0,,,,0.0
24,0.5174608685588635,0.4390302889785215,0.5316011729175446,0.021421334491243307,148.0,6909.0,711.0,0.0,0.24561403508771928,0.24561403508771928,0.3654970760233919,0.5263157894736842,0.41461988304093567,0.7368421052631579,0.4479601782233361,1.0,0.02250351617440225,0.16976127320954906,640.0,,,,0.0
25,0.5181552527269045,0.4546726964166961,0.49381338183421514,0.019576795739167985,136.0,6947.0,711.0,0.0,0.16,0.16,0.30666666666666664,0.5,0.34766666666666657,0.68,0.39057142857142857,1.0,0.01969057665260197,0.1674491392801252,642.0,,,,0.0
26,0.5186856850774914,0.5192261044547166,0.5405957943925234,0.018598615916955018,129.0,6936.0,711.0,0.0,0.06818181818181818,0.06818181818181818,0.17424242424242423,0.3181818181818182,0.23674242424242423,0.5909090909090909,0.2876352813852813,1.0,0.01828410689170183,0.1728428455504463,639.0,,,,0.0
27,0.5193222038981956,0.48688694090826556,0.5557562111801243,0.02104959630911188,146.0,6936.0,711.0,0.0,0.2553191489361702,0.2553191489361702,0.35460992907801414,0.48936170212765956,0.3897163120567375,0.6382978723404256,0.4406703816278284,1.0,0.030942334739803096,0.17344465391866415,644.0,,,,0.0
28,0.5201419629854661,0.43353946729939674,0.4979201475912002,0.022151898734177215,154.0,6952.0,711.0,0.0,0.18867924528301888,0.18867924528301888,0.29559748427672955,0.4528301886792453,0.3389937106918239,0.6415094339622641,0.38563192572626537,1.0,0.02531645569620253,0.16688602263753619,634.0,,,,0.0
29,0.5207784818061704,0.4640623177712113,0.5460747013582065,0.018283904405413186,127.0,6946.0,711.0,0.0,0.1951219512195122,0.1951219512195122,0.3373983739837398,0.4878048780487805,0.39227642276422764,0.7317073170731707,0.42786488579171505,1.0,0.01828410689170183,0.16881028938906753,630.0,,,,0.0
