round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5002845046244057,0.014772727272727272,104.0,7040.0,711.0,0.0,0.14285714285714285,0.14285714285714285,0.2738095238095238,0.42857142857142855,0.3380952380952381,0.7142857142857143,0.37603458049886623,1.0,0.015471167369901548,0.1852187028657617,614.0,2.036363636363636,0.04805228836738478,0.012477954561035048,0.0
1,0.5005738313610895,0.015321322173357924,108.0,7049.0,711.0,0.0,0.1,0.1,0.20555555555555557,0.36666666666666664,0.2722222222222222,0.6666666666666666,0.31589947089947085,1.0,0.012658227848101266,0.1913991520290733,632.0,,,,0.0
2,0.5008245811995486,0.013146734520780322,93.0,7074.0,711.0,0.0,0.037037037037037035,0.037037037037037035,0.22839506172839505,0.48148148148148145,0.28950617283950614,0.7407407407407407,0.32031158142269256,1.0,0.011251758087201125,0.19076923076923077,620.0,,,,0.0
3,0.5011042637116763,0.014618223105307976,103.0,7046.0,711.0,0.0,0.0967741935483871,0.0967741935483871,0.14516129032258066,0.22580645161290322,0.21129032258064515,0.5161290322580645,0.2763056835637481,1.0,0.016877637130801686,0.1866387058118634,623.0,,,,0.0
4,0.5014418115711406,0.014212620807276862,100.0,7036.0,711.0,0.0,0.03125,0.03125,0.09375,0.1875,0.13125,0.375,0.2070560515873016,1.0,0.012658227848101266,0.18931024186324275,634.0,,,,0.0
5,0.5016732729604876,0.014591301884119563,103.0,7059.0,711.0,0.0,0.16666666666666666,0.16666666666666666,0.2708333333333333,0.4166666666666667,0.3020833333333333,0.5416666666666666,0.36063161375661373,1.0,0.014064697609001406,0.1906948270584634,623.0,,,,0.0
6,0.5020011765953959,0.013465627214741318,95.0,7055.0,711.0,0.0,0.08333333333333333,0.08333333333333333,0.16203703703703703,0.25,0.22175925925925927,0.5277777777777778,0.28247354497354493,1.0,0.012658227848101266,0.18412315122245698,610.0,,,,0.0
7,0.5022905033320796,0.013768630234208658,97.0,7045.0,711.0,0.0,0.10344827586206896,0.10344827586206896,0.2011494252873563,0.3448275862068966,0.21666666666666667,0.41379310344827586,0.29503284072249586,1.0,0.012658227848101266,0.1912964641885766,633.0,,,,0.0
8,0.5025123204968704,0.012384341637010677,87.0,7025.0,711.0,0.0,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.38461538461538464,0.27499999999999997,0.5769230769230769,0.333531746031746,1.0,0.011251758087201125,0.19578881206788185,623.0,,,,0.0
9,0.5027920030089981,0.012687099073414112,89.0,7015.0,711.0,0.0,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.2857142857142857,0.2642857142857143,0.5,0.32675736961451246,1.0,0.015471167369901548,0.1867704280155642,624.0,,,,0.0
