round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6036066617163467,0.8054610623534246,0.8101886724386724,0.03375694996028594,170.0,5036.0,515.0,0.0,0.5363636363636364,0.5363636363636364,0.6590909090909091,0.8181818181818182,0.6731818181818181,0.8818181818181818,0.68992784992785,1.0,0.1145631067961165,0.19696147585458493,363.0,1.7411764705882353,0.08952355806635193,0.011699409909667738,0.0
1,0.6070435981754535,0.7790886936216966,0.7542490551776266,0.03236763236763237,162.0,5005.0,515.0,0.0,0.4666666666666667,0.4666666666666667,0.5888888888888888,0.7428571428571429,0.6246031746031747,0.8952380952380953,0.6387792894935751,1.0,0.09514563106796116,0.19731903485254693,368.0,,,,0.0
2,0.6100986528057707,0.7774143221624603,0.8096564120697782,0.02892728003214142,144.0,4978.0,515.0,0.0,0.5196078431372549,0.5196078431372549,0.6617647058823528,0.8333333333333334,0.6764705882352939,0.8921568627450981,0.6905734516028632,1.0,0.1029126213592233,0.19685466377440347,363.0,,,,0.0
3,0.6132810013790178,0.7221210247956591,0.7725169795482295,0.029982010793523885,150.0,5003.0,515.0,0.0,0.4326923076923077,0.4326923076923077,0.578525641025641,0.7692307692307693,0.605448717948718,0.8942307692307693,0.6194673382173382,1.0,0.08737864077669903,0.19211549139367018,346.0,,,,0.0
4,0.616208762066405,0.7544987737357022,0.7437790697674418,0.02746268656716418,138.0,5025.0,515.0,0.0,0.5113636363636364,0.5113636363636364,0.6363636363636362,0.7954545454545454,0.6517045454545454,0.8636363636363636,0.6688762626262625,1.0,0.08737864077669903,0.19562841530054645,358.0,,,,0.0
5,0.6192638166967221,0.7700811498521423,0.7964664682539683,0.028851933480264477,144.0,4991.0,515.0,0.0,0.5,0.5,0.6133333333333334,0.76,0.6473333333333333,0.91,0.6606468253968254,1.0,0.0970873786407767,0.1944595328625747,358.0,,,,0.0
6,0.6220218521268697,0.7327286368662138,0.7126032973326789,0.026,130.0,5000.0,515.0,0.0,0.3711340206185567,0.3711340206185567,0.5017182130584192,0.6597938144329897,0.5310996563573883,0.7835051546391752,0.5608779250531828,1.0,0.06990291262135923,0.2033084311632871,381.0,,,,0.0
7,0.6243555744139174,0.7900274294670846,0.7596883468834689,0.022079486150140507,110.0,4982.0,515.0,0.0,0.5180722891566265,0.5180722891566265,0.6004016064257028,0.7108433734939759,0.623293172690763,0.8072289156626506,0.6509370816599732,1.0,0.08349514563106795,0.20452099031216361,380.0,,,,0.0
8,0.627028747215445,0.7406121286121286,0.7746162567591139,0.02519496100779844,126.0,5001.0,515.0,0.0,0.37362637362637363,0.37362637362637363,0.5512820512820512,0.7692307692307693,0.5842490842490842,0.9120879120879121,0.5966989359846502,1.0,0.06601941747572816,0.19459172852598092,367.0,,,,0.0
9,0.629213959902408,0.7751123641897392,0.7303806390977442,0.02043245387819877,103.0,5041.0,515.0,0.0,0.3684210526315789,0.3684210526315789,0.5219298245614035,0.7368421052631579,0.5410087719298246,0.8157894736842105,0.5645102339181287,1.0,0.05436893203883495,0.1902231668437832,358.0,,,,0.0
10,0.6322477988755701,0.7683787708484149,0.820917198494518,0.028588564574170333,143.0,5002.0,515.0,0.0,0.5816326530612245,0.5816326530612245,0.6836734693877551,0.8061224489795918,0.7051020408163264,0.8979591836734694,0.7192824748947197,1.0,0.11067961165048544,0.19243243243243244,356.0,1.7034883720930232,0.0704739441266885,0.013765351685804174,0.0
11,0.6344754428768431,0.8040792811634617,0.7849091327352197,0.020903842325303602,105.0,5023.0,515.0,0.0,0.5652173913043478,0.5652173913043478,0.6714975845410628,0.7971014492753623,0.6961352657004831,0.8985507246376812,0.7097193466758684,1.0,0.07572815533980583,0.19826652221018418,366.0,,,,0.0
12,0.6364484989922563,0.702125828954161,0.7733093461265103,0.01872357559895309,93.0,4967.0,515.0,0.0,0.4925373134328358,0.4925373134328358,0.5970149253731343,0.7313432835820896,0.6208955223880596,0.835820895522388,0.6432954276237858,1.0,0.06407766990291262,0.19514824797843666,362.0,,,,0.0
13,0.6384003394505144,0.8177626848133013,0.7875228937728938,0.018217821782178217,92.0,5050.0,515.0,0.0,0.4461538461538462,0.4461538461538462,0.5846153846153846,0.7538461538461538,0.61,0.8615384615384616,0.626984126984127,1.0,0.05631067961165048,0.1948608137044968,364.0,,,,0.0
14,0.6409037869948022,0.76325176718978,0.8162426776266061,0.023454581594116477,118.0,5031.0,515.0,0.0,0.5357142857142857,0.5357142857142857,0.6626984126984127,0.8333333333333334,0.6799603174603175,0.9047619047619048,0.6926540060468632,1.0,0.08737864077669903,0.19769357495881384,360.0,,,,0.0
15,0.643301156253315,0.7743770270050034,0.7980034722222222,0.0226,113.0,5000.0,515.0,0.0,0.4875,0.4875,0.6208333333333333,0.7875,0.6402083333333334,0.875,0.6575644841269841,1.0,0.07572815533980583,0.19618528610354224,360.0,,,,0.0
16,0.645422721968813,0.7153987482333939,0.7960592592592594,0.019790223629527013,100.0,5053.0,515.0,0.0,0.4266666666666667,0.4266666666666667,0.5955555555555556,0.8266666666666667,0.6068888888888889,0.88,0.6235661375661375,1.0,0.062135922330097085,0.19641888225718937,362.0,,,,0.0
17,0.6470563275697465,0.7228586094284823,0.788769211388259,0.01528991262907069,77.0,5036.0,515.0,0.0,0.49206349206349204,0.49206349206349204,0.5978835978835978,0.7301587301587301,0.6232804232804233,0.8412698412698413,0.6454963466868228,1.0,0.06019417475728155,0.195569962182604,362.0,,,,0.0
18,0.6489020897422297,0.7790098338419803,0.7585213811892916,0.017393042782886847,87.0,5002.0,515.0,0.0,0.43283582089552236,0.43283582089552236,0.5398009950248757,0.6716417910447762,0.5771144278606966,0.835820895522388,0.5980454868514571,1.0,0.05631067961165048,0.19989106753812635,367.0,,,,0.0
19,0.6506205579717832,0.7778376598101739,0.7544162826420892,0.016106581825412608,81.0,5029.0,515.0,0.0,0.5,0.5,0.5860215053763441,0.7258064516129032,0.6118279569892473,0.8387096774193549,0.6327636968766003,1.0,0.06019417475728155,0.19290703922622246,359.0,,,,0.0
20,0.6522117322584067,0.7520353862776876,0.7478448275862069,0.014967072440630613,75.0,5011.0,515.0,0.0,0.43103448275862066,0.43103448275862066,0.5344827586206896,0.6724137931034483,0.568103448275862,0.8103448275862069,0.5940749863163656,1.0,0.04854368932038835,0.20021470746108427,373.0,1.7808988764044944,0.06000529381991854,0.01914254033069593,0.0
21,0.65405749443089,0.6890827818414025,0.7172248874674247,0.017272185824895772,87.0,5037.0,515.0,0.0,0.3582089552238806,0.3582089552238806,0.5,0.7014925373134329,0.5276119402985074,0.8208955223880597,0.5516109926557687,1.0,0.04660194174757282,0.18806127839408346,356.0,,,,0.0
22,0.6557123156889785,0.7880441870777578,0.748046875,0.015621870618866412,78.0,4993.0,515.0,0.0,0.4375,0.4375,0.5520833333333334,0.703125,0.5770833333333334,0.8125,0.602579365079365,1.0,0.05436893203883495,0.2026595744680851,381.0,,,,0.0
23,0.6573671369470669,0.7173485753820996,0.7702255291005291,0.015694164989939637,78.0,4970.0,515.0,0.0,0.4666666666666667,0.4666666666666667,0.5805555555555555,0.7333333333333333,0.5963888888888889,0.8,0.625191798941799,1.0,0.05436893203883495,0.1961398017736046,376.0,,,,0.0
24,0.6592765460910152,0.7204986274245083,0.8073330026455027,0.017899761336515514,90.0,5028.0,515.0,0.0,0.5166666666666667,0.5166666666666667,0.6472222222222223,0.8166666666666667,0.663888888888889,0.8833333333333333,0.681216931216931,1.0,0.06019417475728155,0.20546448087431693,376.0,,,,0.0
25,0.6607828577490188,0.7034909803719864,0.6991656037414966,0.0142,71.0,5000.0,515.0,0.0,0.42857142857142855,0.42857142857142855,0.5148809523809524,0.6071428571428571,0.5577380952380953,0.7857142857142857,0.5845663265306121,1.0,0.04660194174757282,0.20194910665944776,373.0,,,,0.0
26,0.6622043067784025,0.6955547758495046,0.8125680827886711,0.013283108643933386,67.0,5044.0,515.0,0.0,0.5882352941176471,0.5882352941176471,0.6699346405228758,0.7843137254901961,0.7032679738562092,0.9215686274509803,0.712877373171491,1.0,0.05825242718446602,0.19670388091440724,370.0,,,,0.0
27,0.663753049750716,0.720785588717923,0.734669540229885,0.014629258517034067,73.0,4990.0,515.0,0.0,0.3793103448275862,0.3793103448275862,0.5229885057471264,0.7241379310344828,0.5488505747126436,0.8448275862068966,0.5671934865900383,1.0,0.04271844660194175,0.20536692223439212,375.0,,,,0.0
28,0.6651108518086347,0.7464756944444444,0.734047619047619,0.012764260071798962,64.0,5014.0,515.0,0.0,0.42,0.42,0.5133333333333333,0.62,0.5623333333333334,0.84,0.5814920634920635,1.0,0.040776699029126215,0.19642857142857142,374.0,,,,0.0
29,0.6665323008380185,0.7704408163754034,0.7463686732554656,0.013259449831783099,67.0,5053.0,515.0,0.0,0.3018867924528302,0.3018867924528302,0.48742138364779874,0.7169811320754716,0.5166666666666666,0.8490566037735849,0.5369721473495058,1.0,0.031067961165048542,0.19005235602094242,363.0,,,,0.0
