round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6019094091439482,0.5539156220514894,0.702020202020202,0.017871326449563147,90.0,5036.0,515.0,0.0,0.3484848484848485,0.3484848484848485,0.4747474747474748,0.6363636363636364,0.5073232323232323,0.7878787878787878,0.5365560365560366,1.0,0.04466019417475728,0.19538968166849616,356.0,1.964705882352941,0.09062204600746496,0.011680021652506667,0.0
1,0.6035642304020367,0.5569676247573547,0.6742616445485298,0.015584415584415584,78.0,5005.0,515.0,0.0,0.3442622950819672,0.3442622950819672,0.45901639344262296,0.6065573770491803,0.4934426229508197,0.7540983606557377,0.5267239136091596,1.0,0.040776699029126215,0.19719827586206898,366.0,,,,0.0
2,0.6051766203458152,0.523849019734158,0.7340944574551131,0.015267175572519083,76.0,4978.0,515.0,0.0,0.4032258064516129,0.4032258064516129,0.5537634408602151,0.7580645161290323,0.5674731182795699,0.8225806451612904,0.5915002560163852,1.0,0.04854368932038835,0.19045092838196287,359.0,,,,0.0
3,0.6069587355468335,0.47313865574690944,0.6876184553423359,0.016789926044373377,84.0,5003.0,515.0,0.0,0.31343283582089554,0.31343283582089554,0.4626865671641791,0.6567164179104478,0.49179104477611946,0.7910447761194029,0.5191186922530207,1.0,0.040776699029126215,0.19115237575095576,350.0,,,,0.0
4,0.6081680280046674,0.46545070666200616,0.6931892684610076,0.011341026661360923,57.0,5026.0,515.0,0.0,0.3958333333333333,0.3958333333333333,0.4861111111111111,0.6041666666666666,0.5236111111111111,0.7708333333333334,0.5547867063492063,1.0,0.036893203883495145,0.18234366789280085,347.0,,,,0.0
5,0.6094409674339663,0.41420723461798514,0.6336371527777778,0.012024048096192385,60.0,4990.0,515.0,0.0,0.25,0.25,0.40972222222222227,0.6458333333333334,0.4451388888888889,0.8125,0.46869212962962964,1.0,0.02330097087378641,0.19101123595505617,357.0,,,,0.0
6,0.6102683780630105,0.41338853312245777,0.6210884353741496,0.0078,39.0,5000.0,515.0,0.0,0.2571428571428571,0.2571428571428571,0.3428571428571429,0.45714285714285713,0.39428571428571424,0.6857142857142857,0.4357936507936508,1.0,0.017475728155339806,0.19261213720316622,365.0,,,,0.0
7,0.6111382200063648,0.3744107295353464,0.6730875220458555,0.00822962665596146,41.0,4982.0,515.0,0.0,0.35135135135135137,0.35135135135135137,0.45045045045045046,0.6216216216216216,0.4923423423423422,0.8108108108108109,0.5163234663234663,1.0,0.02524271844660194,0.1806484817292846,351.0,,,,0.0
8,0.6117322584067042,0.3628163511533711,0.6088466183574879,0.005598880223955209,28.0,5001.0,515.0,0.0,0.34782608695652173,0.34782608695652173,0.44202898550724634,0.5652173913043478,0.47246376811594204,0.6956521739130435,0.5107487922705314,1.0,0.015533980582524271,0.17486061834769387,345.0,,,,0.0
9,0.6124748064071285,0.3374857371063441,0.601388888888889,0.00694031330557208,35.0,5043.0,515.0,0.0,0.2,0.2,0.3055555555555555,0.43333333333333335,0.3422222222222222,0.6,0.399021164021164,1.0,0.011650485436893204,0.17930327868852458,350.0,,,,0.0
