round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6007637636575793,0.3004502089058695,0.664986559139785,0.007187063286085047,36.0,5009.0,515.0,0.0,0.3225806451612903,0.3225806451612903,0.44623655913978505,0.6129032258064516,0.4752688172043011,0.7419354838709677,0.5074116743471582,1.0,0.019417475728155338,0.18438381937911572,392.0,1.9705882352941178,0.09207671486702035,0.007809137436943867,0.0
1,0.6014426646865386,0.3670179730277834,0.6280555555555556,0.006447713076768084,32.0,4963.0,515.0,0.0,0.24,0.24,0.3933333333333333,0.6,0.4393333333333333,0.8,0.46399999999999997,1.0,0.011650485436893204,0.1835564053537285,384.0,,,,0.0
2,0.6023337222870478,0.3529671808178367,0.5822932667690732,0.00840504302581549,42.0,4997.0,515.0,0.0,0.34375,0.34375,0.453125,0.59375,0.4609375,0.625,0.510875496031746,1.0,0.021359223300970873,0.19402277039848198,409.0,,,,0.0
3,0.6029277606873873,0.34434276447250295,0.6114718614718616,0.0056440233823825845,28.0,4961.0,515.0,0.0,0.43478260869565216,0.43478260869565216,0.5072463768115941,0.6086956521739131,0.5507246376811594,0.782608695652174,0.5785024154589372,1.0,0.019417475728155338,0.18606825619448342,398.0,,,,0.0
4,0.6035854460591917,0.30180470097572276,0.6628352490421454,0.006147134642078128,31.0,5043.0,515.0,0.0,0.4666666666666667,0.4666666666666667,0.5388888888888889,0.6333333333333333,0.5455555555555556,0.6666666666666666,0.5845238095238094,1.0,0.027184466019417475,0.18470149253731344,396.0,,,,0.0
5,0.6043704253739259,0.2427629701187784,0.6539719282774838,0.007458173755291272,37.0,4961.0,515.0,0.0,0.25925925925925924,0.25925925925925924,0.38271604938271603,0.5185185185185185,0.4308641975308642,0.7407407407407407,0.4684891240446796,1.0,0.013592233009708738,0.18855534709193245,402.0,,,,0.0
6,0.6048159541741805,0.2639177839420558,0.47847222222222224,0.004229607250755287,21.0,4965.0,515.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.3091666666666667,0.6,0.3593452380952381,1.0,0.007766990291262136,0.19682386910490857,409.0,,,,0.0
7,0.60549485520314,0.20632545271629776,0.6072222222222221,0.006397441023590564,32.0,5002.0,515.0,0.0,0.28,0.28,0.4,0.56,0.4159999999999999,0.64,0.46544444444444444,1.0,0.013592233009708738,0.1859925788497217,401.0,,,,0.0
8,0.6061525405749443,0.3610163410417822,0.528586125808348,0.006229903536977492,31.0,4976.0,515.0,0.0,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.39285714285714285,0.33214285714285713,0.6071428571428571,0.3837159863945578,1.0,0.011650485436893204,0.19124087591240876,393.0,,,,0.0
9,0.6066617163466639,0.2755795262267343,0.7010869565217391,0.0048494645382905635,24.0,4949.0,515.0,0.0,0.43478260869565216,0.43478260869565216,0.5362318840579711,0.6521739130434783,0.5557971014492754,0.7391304347826086,0.5922015182884748,1.0,0.019417475728155338,0.18520241973010704,398.0,,,,0.0
10,0.6071708921183834,0.2774932033684769,0.6190972222222222,0.004751534349633736,24.0,5051.0,515.0,0.0,0.3,0.3,0.4083333333333333,0.55,0.4408333333333334,0.7,0.47791666666666666,1.0,0.011650485436893204,0.19263059701492538,413.0,1.9408284023668638,0.0854478470542581,0.007902993319257352,0.0
11,0.607595205261483,0.3241279069767442,0.7396384479717814,0.003993610223642172,20.0,5008.0,515.0,0.0,0.3333333333333333,0.3333333333333333,0.4722222222222222,0.6111111111111112,0.5333333333333334,0.8888888888888888,0.5518518518518518,1.0,0.011650485436893204,0.1942168674698795,403.0,,,,0.0
12,0.6079558714331177,0.30029281885375586,0.576521164021164,0.0034006801360272052,17.0,4999.0,515.0,0.0,0.13333333333333333,0.13333333333333333,0.31111111111111106,0.5333333333333333,0.31111111111111106,0.5333333333333333,0.37153439153439155,1.0,0.003883495145631068,0.18738049713193117,392.0,,,,0.0
13,0.6083165376047523,0.30659125490982436,0.5016203703703703,0.0033972821742605914,17.0,5004.0,515.0,0.0,0.2,0.2,0.3555555555555555,0.6,0.3688888888888889,0.6666666666666666,0.4102645502645502,1.0,0.005825242718446602,0.19058606368251038,413.0,,,,0.0
14,0.6088893603479367,0.17819079414159067,0.6108405483405482,0.005415162454873646,27.0,4986.0,515.0,0.0,0.4090909090909091,0.4090909090909091,0.4318181818181818,0.45454545454545453,0.475,0.6363636363636364,0.5185425685425685,1.0,0.017475728155339806,0.1894189891355692,401.0,,,,0.0
15,0.6094621830911212,0.17767548991471105,0.5122863247863249,0.005335968379446641,27.0,5060.0,515.0,0.0,0.2692307692307692,0.2692307692307692,0.30769230769230765,0.38461538461538464,0.3403846153846154,0.5384615384615384,0.39710012210012213,1.0,0.013592233009708738,0.1864801864801865,400.0,,,,0.0
16,0.609780417948446,0.25327646630959466,0.7851851851851851,0.0029667721518987344,15.0,5056.0,515.0,0.0,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.7333333333333333,0.65,0.8,0.6773015873015872,1.0,0.015533980582524271,0.1888631090487239,407.0,,,,0.0
17,0.6102259467487006,0.29172572045623274,0.6000000000000001,0.004233870967741936,21.0,4960.0,515.0,0.0,0.23809523809523808,0.23809523809523808,0.3333333333333333,0.47619047619047616,0.3857142857142857,0.7142857142857143,0.4227324263038548,1.0,0.009708737864077669,0.19236079153244362,418.0,,,,0.0
18,0.6106290442346451,0.23500921771933375,0.4906684027777778,0.0038321903993545786,19.0,4958.0,515.0,0.0,0.125,0.125,0.16666666666666666,0.25,0.23229166666666667,0.5625,0.29231150793650795,1.0,0.003883495145631068,0.18637184115523467,413.0,,,,0.0
19,0.6110109260634348,0.2177453398209247,0.6397569444444444,0.0035863717872086074,18.0,5019.0,515.0,0.0,0.25,0.25,0.3333333333333333,0.4375,0.40208333333333335,0.75,0.4385416666666667,1.0,0.007766990291262136,0.19201435621354868,428.0,,,,0.0
20,0.6113503765779145,0.2692916750452443,0.6052350427350427,0.0032070555221487274,16.0,4989.0,515.0,0.0,0.38461538461538464,0.38461538461538464,0.4487179487179488,0.5384615384615384,0.48333333333333334,0.6923076923076923,0.5220085470085469,1.0,0.009708737864077669,0.18888888888888888,425.0,1.967032967032967,0.08191503201346144,0.008084906280494334,0.0
21,0.6118595523496341,0.27387178971367265,0.6282096171802054,0.004804804804804805,24.0,4995.0,515.0,0.0,0.23529411764705882,0.23529411764705882,0.392156862745098,0.5882352941176471,0.4186274509803921,0.7058823529411765,0.4612745098039216,1.0,0.007766990291262136,0.1859633437639696,416.0,,,,0.0
22,0.6121565715498037,0.18576314050061787,0.6493055555555555,0.0028084252758274826,14.0,4985.0,515.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777785,0.5,0.4361111111111111,0.6666666666666666,0.4821428571428572,1.0,0.007766990291262136,0.19276556776556777,421.0,,,,0.0
23,0.6125596690357484,0.14549482224831856,0.5883487654320988,0.0038391594261466965,19.0,4949.0,515.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5555555555555556,0.4555555555555555,0.7222222222222222,0.48595679012345677,1.0,0.011650485436893204,0.19187862561356536,430.0,,,,0.0
24,0.612962766521693,0.19146733647217085,0.6654814814814815,0.0037795902128506067,19.0,5027.0,515.0,0.0,0.4,0.4,0.45555555555555555,0.5333333333333333,0.4988888888888889,0.7333333333333333,0.5352645502645502,1.0,0.011650485436893204,0.19656133828996283,423.0,,,,0.0
