round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6035005834305718,0.769019704558102,0.6790538080675692,0.03328626185192657,165.0,4957.0,515.0,0.0,0.3486238532110092,0.3486238532110092,0.46177370030581044,0.6146788990825688,0.5035168195718656,0.7981651376146789,0.5311344109509248,1.0,0.07378640776699029,0.20320855614973263,380.0,1.9388888888888889,0.08828220333468377,0.00846739623469652,0.0
1,0.6063222658321842,0.797625837236723,0.7016647043432758,0.026472929936305734,133.0,5024.0,515.0,0.0,0.40217391304347827,0.40217391304347827,0.5163043478260869,0.6521739130434783,0.5467391304347826,0.782608695652174,0.5748404071773637,1.0,0.07184466019417475,0.18572195383789586,346.0,,,,0.0
2,0.6087832820621619,0.7689840104700125,0.6809219426406926,0.023368251410153102,116.0,4964.0,515.0,0.0,0.43820224719101125,0.43820224719101125,0.5,0.5955056179775281,0.5393258426966292,0.7640449438202247,0.5695737471018371,1.0,0.07572815533980583,0.2007534983853606,373.0,,,,0.0
3,0.6113079452636045,0.7720678529291372,0.690482026143791,0.023776223776223775,119.0,5005.0,515.0,0.0,0.4117647058823529,0.4117647058823529,0.5450980392156862,0.6941176470588235,0.5603921568627451,0.7647058823529411,0.5902380952380952,1.0,0.06796116504854369,0.19222689075630253,366.0,,,,0.0
4,0.6136628832078074,0.7739459680720425,0.7045059278855575,0.02221332799679808,111.0,4997.0,515.0,0.0,0.3950617283950617,0.3950617283950617,0.5164609053497942,0.6666666666666666,0.5430041152263375,0.7901234567901234,0.5713158926121888,1.0,0.062135922330097085,0.19230769230769232,360.0,,,,0.0
5,0.61627240903787,0.7515270013953993,0.7165570175438597,0.024659182036888532,123.0,4988.0,515.0,0.0,0.3157894736842105,0.3157894736842105,0.46140350877192976,0.6421052631578947,0.5082456140350877,0.8526315789473684,0.5280492898913953,1.0,0.05825242718446602,0.18796592119275826,353.0,,,,0.0
6,0.6186909939535377,0.7553182044179274,0.6121889084852047,0.022556390977443608,114.0,5054.0,515.0,0.0,0.32098765432098764,0.32098765432098764,0.42181069958847733,0.5432098765432098,0.46378600823045263,0.7283950617283951,0.4985498726239467,1.0,0.05048543689320388,0.19052744886975242,354.0,,,,0.0
7,0.620536756126021,0.7744001422162341,0.7233022913466461,0.01739652069586083,87.0,5001.0,515.0,0.0,0.4126984126984127,0.4126984126984127,0.5317460317460317,0.6825396825396826,0.5650793650793651,0.8253968253968254,0.5891030486268583,1.0,0.05048543689320388,0.19560557341907825,365.0,,,,0.0
8,0.622658321841519,0.7955007167724759,0.7304169312169311,0.02006823198876179,100.0,4983.0,515.0,0.0,0.4,0.4,0.5511111111111111,0.7466666666666667,0.5691111111111111,0.8266666666666667,0.5925185185185186,1.0,0.05825242718446602,0.19630606860158312,372.0,,,,0.0
9,0.6247586718998621,0.7984086435521989,0.6521954796411317,0.01976047904191617,99.0,5010.0,515.0,0.0,0.3,0.3,0.4214285714285714,0.5857142857142857,0.46999999999999986,0.8,0.49541383219954654,1.0,0.040776699029126215,0.1944739638682253,366.0,,,,0.0
10,0.6266680810438103,0.7939125653627774,0.660657596371882,0.017853600476096014,90.0,5041.0,515.0,0.0,0.2857142857142857,0.2857142857142857,0.4,0.5428571428571428,0.44857142857142857,0.7571428571428571,0.48276643990929713,1.0,0.038834951456310676,0.18030224075039084,346.0,1.9642857142857142,0.07179985198060428,0.00852765014045333,0.0
