round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6006576853718044,0.3671093991549006,0.7127634099616857,0.0061520142885493154,31.0,5039.0,515.0,0.0,0.4666666666666667,0.4666666666666667,0.5666666666666667,0.6666666666666666,0.5733333333333334,0.7,0.6124735449735449,1.0,0.027184466019417475,0.19696969696969696,403.0,1.7976190476190477,0.09082345771528323,0.011623526757491297,0.0
1,0.6013153707436087,0.4279838218836511,0.80830938697318,0.00625,31.0,4960.0,515.0,0.0,0.5517241379310345,0.5517241379310345,0.6436781609195401,0.7586206896551724,0.6436781609195401,0.7586206896551724,0.6774767378215654,1.0,0.031067961165048542,0.1949529935675408,394.0,,,,0.0
2,0.6020791344011881,0.36903246695248304,0.6966145833333334,0.007182761372705506,36.0,5012.0,515.0,0.0,0.4375,0.4375,0.5572916666666666,0.71875,0.5729166666666666,0.78125,0.6005952380952381,1.0,0.027184466019417475,0.18728772440562833,386.0,,,,0.0
3,0.6027580354301475,0.45994656180681587,0.7064043209876544,0.006411540773392106,32.0,4991.0,515.0,0.0,0.5,0.5,0.5833333333333333,0.6785714285714286,0.6136904761904761,0.8214285714285714,0.6371456916099774,1.0,0.027184466019417475,0.19951219512195123,409.0,,,,0.0
4,0.603288426859022,0.5139256281407035,0.6481481481481483,0.005,25.0,5000.0,515.0,0.0,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.5,0.4979166666666666,0.6666666666666666,0.5372023809523809,1.0,0.019417475728155338,0.18990384615384615,395.0,,,,0.0
5,0.6037551713164315,0.36052391383716687,0.755026455026455,0.004398240703718513,22.0,5002.0,515.0,0.0,0.5714285714285714,0.5714285714285714,0.626984126984127,0.7142857142857143,0.6626984126984127,0.8571428571428571,0.68140589569161,1.0,0.02330097087378641,0.19871478002965892,402.0,,,,0.0
6,0.6044977193168558,0.4273492286115007,0.6885879629629631,0.006963788300835654,35.0,5026.0,515.0,0.0,0.41935483870967744,0.41935483870967744,0.4838709677419355,0.5806451612903226,0.5274193548387097,0.7741935483870968,0.556989247311828,1.0,0.02524271844660194,0.2019559902200489,413.0,,,,0.0
7,0.6050068950885754,0.4251066453375991,0.6990740740740741,0.004776119402985075,24.0,5025.0,515.0,0.0,0.4583333333333333,0.4583333333333333,0.5555555555555555,0.7083333333333334,0.5659722222222222,0.75,0.5998181216931217,1.0,0.021359223300970873,0.19490695396669933,398.0,,,,0.0
8,0.6056645804603797,0.4297981437009151,0.7203703703703702,0.0061987602479504095,31.0,5001.0,515.0,0.0,0.4,0.4,0.55,0.7,0.565,0.7666666666666667,0.5937830687830689,1.0,0.02330097087378641,0.18388030888030887,381.0,,,,0.0
9,0.6060464622891694,0.3883999820172185,0.857843137254902,0.0036283007458173754,18.0,4961.0,515.0,0.0,0.7647058823529411,0.7647058823529411,0.7941176470588235,0.8235294117647058,0.7941176470588235,0.8235294117647058,0.8188608776844071,1.0,0.02524271844660194,0.1943081452404318,396.0,,,,0.0
10,0.6065768537180439,0.3820250148898154,0.7269965277777778,0.004938759383642829,25.0,5062.0,515.0,0.0,0.2916666666666667,0.2916666666666667,0.4444444444444444,0.625,0.4923611111111111,0.8333333333333334,0.515625,1.0,0.013592233009708738,0.19637610186092067,401.0,1.8166666666666667,0.08441875348823948,0.011936484497894143,0.0
11,0.6068738729182136,0.41294823013951343,0.8188657407407408,0.0028169014084507044,14.0,4970.0,515.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.6999999999999998,1.0,0.6999999999999998,1.0,0.011650485436893204,0.19256756756756757,399.0,,,,0.0
