round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6003877275792313,0.47771099582437054,0.6449938949938949,0.0024739353242622373,14.0,5659.0,588.0,0.0,0.3076923076923077,0.3076923076923077,0.47435897435897434,0.6923076923076923,0.47435897435897434,0.6923076923076923,0.5087606837606837,1.0,0.006802721088435374,0.17782515991471215,417.0,1.988950276243094,0.07758347297652941,0.017187090048942106,0.0
1,0.6013710946280063,0.41737486496218934,0.6239316239316239,0.006262300948291287,35.0,5589.0,588.0,0.0,0.23076923076923078,0.23076923076923078,0.36538461538461536,0.5384615384615384,0.38269230769230766,0.6153846153846154,0.4338064713064714,1.0,0.01020408163265306,0.1673728813559322,395.0,,,,0.0
2,0.6020173072600584,0.42483419307295506,0.6278409090909092,0.004086709310589908,23.0,5628.0,588.0,0.0,0.2727272727272727,0.2727272727272727,0.356060606060606,0.5,0.3924242424242424,0.6818181818181818,0.4364177489177488,1.0,0.01020408163265306,0.17431972789115646,410.0,,,,0.0
3,0.6027759046976848,0.40118688834334604,0.62125,0.004826599928494816,27.0,5594.0,588.0,0.0,0.24,0.24,0.38,0.6,0.39799999999999996,0.68,0.4429206349206348,1.0,0.01020408163265306,0.17204757858963465,405.0,,,,0.0
4,0.6031973477185885,0.5258001072769534,0.6210317460317462,0.002674750356633381,15.0,5608.0,588.0,0.0,0.42857142857142855,0.42857142857142855,0.5119047619047619,0.6428571428571429,0.5297619047619048,0.7142857142857143,0.5639739229024944,1.0,0.01020408163265306,0.16953420058749474,404.0,,,,0.0
5,0.6037873679478535,0.417978045597605,0.5578947368421053,0.003747323340471092,21.0,5604.0,588.0,0.0,0.10526315789473684,0.10526315789473684,0.22807017543859648,0.42105263157894735,0.2780701754385964,0.631578947368421,0.33091060985797827,1.0,0.003401360544217687,0.1684873949579832,401.0,,,,0.0
6,0.6044616767812991,0.4514965259219669,0.6734182098765432,0.004257583821181479,24.0,5637.0,588.0,0.0,0.2777777777777778,0.2777777777777778,0.45370370370370366,0.6666666666666666,0.5175925925925927,0.9444444444444444,0.5245370370370371,1.0,0.008503401360544218,0.1777310924369748,423.0,,,,0.0
7,0.6048550236008091,0.4525841053144808,0.6177849927849928,0.00250851101953055,14.0,5581.0,588.0,0.0,0.18181818181818182,0.18181818181818182,0.34848484848484845,0.5454545454545454,0.3893939393939394,0.7272727272727273,0.41893939393939394,1.0,0.003401360544217687,0.17743288590604026,423.0,,,,0.0
8,0.6053607552258935,0.48631334012423344,0.5769993894993896,0.003225228453682136,18.0,5581.0,588.0,0.0,0.46153846153846156,0.46153846153846156,0.5641025641025641,0.6923076923076923,0.5641025641025641,0.6923076923076923,0.6032967032967033,1.0,0.01020408163265306,0.1734271523178808,419.0,,,,0.0
9,0.6058945830523713,0.21532378212756387,0.5582010582010583,0.003371185237757275,19.0,5636.0,588.0,0.0,0.2,0.2,0.3333333333333333,0.5333333333333333,0.38333333333333336,0.7333333333333333,0.4233333333333334,1.0,0.00510204081632653,0.1694569211923234,415.0,,,,0.0
10,0.6062317374690942,0.29368946373730215,0.8354166666666666,0.0021216407355021216,12.0,5656.0,588.0,0.0,0.7,0.7,0.7333333333333333,0.8,0.7583333333333333,0.9,0.7683333333333333,1.0,0.011904761904761904,0.17668863261943987,429.0,1.9715909090909092,0.07266887792309928,0.02076411869751908,0.0
11,0.6067936614969656,0.3306696347446847,0.6356349206349207,0.003621220351258374,20.0,5523.0,588.0,0.0,0.21428571428571427,0.21428571428571427,0.34523809523809523,0.5,0.3988095238095238,0.7142857142857143,0.43571428571428567,1.0,0.00510204081632653,0.17703150912106136,427.0,,,,0.0
12,0.6070465273095077,0.4748435124301482,0.6851851851851852,0.001596877217885025,9.0,5636.0,588.0,0.0,0.3333333333333333,0.3333333333333333,0.37037037037037035,0.4444444444444444,0.4259259259259259,0.6666666666666666,0.4694444444444444,1.0,0.00510204081632653,0.17105796513984597,422.0,,,,0.0
13,0.6076365475387727,0.2902185596560372,0.578525641025641,0.0037479921470640726,21.0,5603.0,588.0,0.0,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.6923076923076923,0.5384615384615384,0.6923076923076923,0.5785103785103785,1.0,0.01020408163265306,0.17098865478119935,422.0,,,,0.0
14,0.6078613171499213,0.4278269815709429,0.7242063492063492,0.001429337144899053,8.0,5597.0,588.0,0.0,0.625,0.625,0.6875,0.75,0.6875,0.75,0.7170138888888888,1.0,0.008503401360544218,0.1851400730816078,456.0,,,,0.0
15,0.6081703753652506,0.29942801729097157,0.6375,0.001984843016961386,11.0,5542.0,588.0,0.0,0.3,0.3,0.3833333333333333,0.5,0.42833333333333334,0.7,0.46801587301587305,1.0,0.00510204081632653,0.1796,449.0,,,,0.0
16,0.6085637221847606,0.26980368630654544,0.8460648148148148,0.0024955436720142605,14.0,5610.0,588.0,0.0,0.6923076923076923,0.6923076923076923,0.7564102564102563,0.8461538461538461,0.7756410256410255,0.9230769230769231,0.7841880341880341,1.0,0.015306122448979591,0.1752289924332935,440.0,,,,0.0
17,0.6090413576084514,0.30285507770148173,0.7733843537414965,0.0030625112592325707,17.0,5551.0,588.0,0.0,0.5,0.5,0.5714285714285714,0.6428571428571429,0.6035714285714285,0.7857142857142857,0.6353174603174603,1.0,0.011904761904761904,0.17269736842105263,420.0,,,,0.0
18,0.6092661272195999,0.22035759096612295,0.5555555555555556,0.001431895471630571,8.0,5587.0,588.0,0.0,0.25,0.25,0.3125,0.375,0.34375,0.5,0.41294642857142855,1.0,0.003401360544217687,0.1864,466.0,,,,0.0
19,0.6095751854349292,0.13978053027565135,0.7283950617283951,0.0019837691614066726,11.0,5545.0,588.0,0.0,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6333333333333333,0.7777777777777778,0.659567901234568,1.0,0.008503401360544218,0.17736757624398075,442.0,,,,0.0
20,0.6101371094628006,0.3074977538185085,0.7549603174603174,0.0035810205908683975,20.0,5585.0,588.0,0.0,0.5714285714285714,0.5714285714285714,0.6309523809523808,0.7142857142857143,0.6666666666666666,0.8571428571428571,0.6857993197278912,1.0,0.013605442176870748,0.1864951768488746,464.0,1.9728260869565217,0.06941607616976785,0.023429855124650036,0.0
