round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6009065825778479,0.732213269329676,0.507175925925926,0.010209564750134336,19.0,1861.0,189.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.2966666666666667,0.5333333333333333,0.3598941798941799,1.0,0.015873015873015872,0.18674698795180722,124.0,1.977142857142857,0.04081206551396956,0.08732066302394084,0.0
1,0.6021383523847064,0.831258855585831,0.5950292397660819,0.013440860215053764,25.0,1860.0,189.0,0.0,0.15789473684210525,0.15789473684210525,0.38596491228070173,0.6842105263157895,0.38596491228070173,0.6842105263157895,0.4303884711779449,1.0,0.015873015873015872,0.1897590361445783,126.0,,,,0.0
2,0.6029759558533702,0.7984085305325178,0.4265491452991453,0.009169363538295576,17.0,1854.0,189.0,0.0,0.07692307692307693,0.07692307692307693,0.17948717948717946,0.3076923076923077,0.2294871794871795,0.5384615384615384,0.2924908424908425,1.0,0.005291005291005291,0.1776798825256975,121.0,,,,0.0
3,0.6036164761529366,0.707124671313494,0.4892676767676768,0.007004310344827586,13.0,1856.0,189.0,0.0,0.18181818181818182,0.18181818181818182,0.30303030303030304,0.45454545454545453,0.35757575757575766,0.7272727272727273,0.39101731601731604,1.0,0.010582010582010581,0.17655786350148367,119.0,,,,0.0
4,0.6046018919984233,0.8281786480686695,0.6276661706349206,0.010615711252653927,20.0,1884.0,189.0,0.0,0.375,0.375,0.4270833333333333,0.5,0.4427083333333333,0.5625,0.5005208333333333,1.0,0.031746031746031744,0.17699115044247787,120.0,,,,0.0
5,0.6055380370516358,0.7793610041363572,0.5186631944444444,0.0101931330472103,19.0,1864.0,189.0,0.0,0.125,0.125,0.16666666666666666,0.25,0.24166666666666664,0.5625,0.2986855158730159,1.0,0.010582010582010581,0.1803030303030303,119.0,,,,0.0
6,0.6064249113125739,0.8848301044118535,0.5726114163614164,0.009682625067240451,18.0,1859.0,189.0,0.0,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.6923076923076923,0.4,0.7692307692307693,0.42777777777777776,1.0,0.010582010582010581,0.18955223880597014,127.0,,,,0.0
7,0.6073117855735121,0.7312541674243803,0.5036892361111112,0.009724473257698542,18.0,1851.0,189.0,0.0,0.0625,0.0625,0.19791666666666666,0.375,0.22916666666666669,0.5,0.29441964285714284,1.0,0.005291005291005291,0.18604651162790697,120.0,,,,0.0
8,0.6083464722112731,0.7563971742543171,0.5600198412698412,0.011406844106463879,21.0,1841.0,189.0,0.0,0.11764705882352941,0.11764705882352941,0.2549019607843137,0.47058823529411764,0.3107843137254902,0.7058823529411765,0.3491830065359477,1.0,0.010582010582010581,0.18601190476190477,125.0,,,,0.0
9,0.6091348048876626,0.7196506253398587,0.4627314814814814,0.00862533692722372,16.0,1855.0,189.0,0.0,0.2,0.2,0.2555555555555556,0.3333333333333333,0.29888888888888887,0.5333333333333333,0.35740740740740745,1.0,0.015873015873015872,0.1816816816816817,121.0,,,,0.0
