round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.600216791486007,0.5327922077922077,0.48888888888888893,0.002698327037236913,5.0,1853.0,189.0,0.0,0.0,0.0,0.1,0.2,0.15,0.4,0.2341269841269841,1.0,0.0,0.1600496277915633,129.0,2.0,0.045012469983873156,0.05951419830849859,0.0
1,0.6005616870319275,0.46026592455163884,0.7301587301587302,0.0037735849056603774,7.0,1855.0,189.0,0.0,0.42857142857142855,0.42857142857142855,0.4761904761904762,0.5714285714285714,0.511904761904762,0.7142857142857143,0.5527210884353742,1.0,0.015873015873015872,0.15920398009950248,128.0,,,,0.0
2,0.6007587702010249,0.25791309012875535,0.7152777777777778,0.0021413276231263384,4.0,1868.0,189.0,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.3444444444444444,1.0,0.3444444444444444,1.0,0.0,0.16182048040455121,128.0,,,,0.0
3,0.6011036657469452,0.23372365339578452,0.4201388888888889,0.003810560696788242,7.0,1837.0,189.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.125,0.3333333333333333,0.2199074074074074,1.0,0.0,0.18389261744966443,137.0,,,,0.0
4,0.6015963736696887,0.15335840945728102,0.3732638888888889,0.005344735435595938,10.0,1871.0,189.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.16041666666666665,0.5,0.2270833333333333,1.0,0.0,0.17743979721166034,140.0,,,,0.0
5,0.6017441860465116,0.28250401284109145,0.3703703703703704,0.0016025641025641025,3.0,1872.0,189.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.0,0.16423841059602648,124.0,,,,0.0
6,0.6019905400078833,0.2477866666666667,0.4634920634920635,0.0026595744680851063,5.0,1880.0,189.0,0.0,0.0,0.0,0.13333333333333333,0.4,0.17333333333333334,0.6,0.22055555555555553,1.0,0.0,0.1711229946524064,128.0,,,,0.0
7,0.6023354355538038,0.2881720430107527,0.5474537037037037,0.003749330476700589,7.0,1867.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2972222222222222,0.6666666666666666,0.33888888888888885,1.0,0.005291005291005291,0.16623711340206185,129.0,,,,0.0
8,0.6025817895151754,0.03906926406926407,0.7951388888888888,0.002698327037236913,5.0,1853.0,189.0,0.0,0.5,0.5,0.625,0.75,0.6875,1.0,0.6875,1.0,0.010582010582010581,0.18351063829787234,138.0,,,,0.0
9,0.6028281434765471,0.2943578721117679,0.5777777777777777,0.0026795284030010718,5.0,1866.0,189.0,0.0,0.4,0.4,0.4,0.4,0.45,0.6,0.49444444444444446,1.0,0.010582010582010581,0.16429495472186287,127.0,,,,0.0
10,0.6032223098147418,0.37093936112615045,0.5,0.00431266846361186,8.0,1855.0,189.0,0.0,0.25,0.25,0.29166666666666663,0.375,0.29166666666666663,0.375,0.3753472222222222,1.0,0.010582010582010581,0.17678100263852242,134.0,1.9883720930232558,0.04389933698904504,0.06599488234209355,0.0
11,0.6035179345683879,0.445160135981392,0.5185185185185185,0.0032102728731942215,6.0,1869.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3666666666666667,0.5,0.42751322751322746,1.0,0.010582010582010581,0.17374517374517376,135.0,,,,0.0
12,0.6037642885297596,0.3810195227765727,0.3402777777777778,0.0027041644131963224,5.0,1849.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.16666666666666666,1.0,0.0,0.17317708333333334,133.0,,,,0.0
13,0.6040599132834056,0.2651312265666845,0.6180555555555556,0.003203416978109984,6.0,1873.0,189.0,0.0,0.0,0.0,0.26666666666666666,0.6,0.26666666666666666,0.6,0.325,1.0,0.0,0.15143929912390489,121.0,,,,0.0
14,0.6043062672447773,0.2840085287846482,0.4222222222222222,0.002658160552897395,5.0,1881.0,189.0,0.0,0.0,0.0,0.1,0.2,0.15,0.4,0.2235714285714286,1.0,0.0,0.17503217503217502,136.0,,,,0.0
15,0.6047989751675207,0.15368589743589745,0.470679012345679,0.005313496280552604,10.0,1882.0,189.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.25,0.4444444444444444,0.3205026455026455,1.0,0.005291005291005291,0.17232375979112272,132.0,,,,0.0
16,0.6050453291288924,0.26435483870967735,0.5111111111111112,0.002680965147453083,5.0,1865.0,189.0,0.0,0.0,0.0,0.2,0.4,0.2,0.4,0.28055555555555556,1.0,0.0,0.1794871794871795,140.0,,,,0.0
17,0.6054887662593614,0.15647848495744937,0.5267857142857143,0.004830917874396135,9.0,1863.0,189.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4571428571428572,0.5714285714285714,0.5095238095238095,1.0,0.015873015873015872,0.18607764390896922,139.0,,,,0.0
18,0.6056858494284588,0.3632202477113624,0.13888888888888892,0.0021493820526598604,4.0,1861.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11626984126984126,1.0,0.0,0.17219387755102042,135.0,,,,0.0
19,0.6059322033898306,0.41705594785442696,0.5555555555555555,0.0027085590465872156,5.0,1846.0,189.0,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.27777777777777773,0.6666666666666666,0.3194444444444444,1.0,0.0,0.17976031957390146,135.0,,,,0.0
20,0.6061292865589278,0.43910256410256415,0.4444444444444445,0.0021321961620469083,4.0,1876.0,189.0,0.0,0.0,0.0,0.125,0.25,0.175,0.5,0.2357142857142857,1.0,0.0,0.17396907216494845,135.0,1.9939759036144578,0.04310970486640039,0.0763170723440901,0.0
21,0.6063756405202996,0.4708491076257436,0.5777777777777778,0.002696871628910464,5.0,1854.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.25666666666666665,0.8,0.27666666666666667,1.0,0.0,0.1752988047808765,132.0,,,,0.0
22,0.6066712652739457,0.20160427807486633,0.4444444444444445,0.0031982942430703624,6.0,1876.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.25,0.3333333333333333,0.33101851851851855,1.0,0.005291005291005291,0.16103896103896104,124.0,,,,0.0
23,0.6067698068584942,0.5308274743104381,0.4444444444444445,0.0010804970286331713,2.0,1851.0,189.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.17142857142857143,1.0,0.0,0.17015706806282724,130.0,,,,0.0
