round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6003153330705557,0.0038188761593016913,7.0,1833.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.36366213151927435,1.0,0.005291005291005291,0.1832627118644068,173.0,1.994047619047619,0.04281767119905152,0.1689901648022454,0.0
1,0.6010543949546708,0.008047210300429184,15.0,1864.0,189.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.08571428571428572,0.2857142857142857,0.16938775510204082,1.0,0.0,0.18318965517241378,170.0,,,,0.0
2,0.6015963736696887,0.005876068376068376,11.0,1872.0,189.0,0.0,0.0,0.0,0.0303030303030303,0.09090909090909091,0.07121212121212121,0.2727272727272727,0.16893939393939394,1.0,0.0,0.18797814207650274,172.0,,,,0.0
3,0.602089081592432,0.005313496280552604,10.0,1882.0,189.0,0.0,0.1,0.1,0.25,0.5,0.26999999999999996,0.6,0.32206349206349205,1.0,0.005291005291005291,0.18451749734888653,174.0,,,,0.0
4,0.602532518722901,0.004807692307692308,9.0,1872.0,189.0,0.0,0.0,0.0,0.2037037037037037,0.5555555555555556,0.2037037037037037,0.5555555555555556,0.2569223985890653,1.0,0.0,0.1870967741935484,174.0,,,,0.0
5,0.6025817895151754,0.0005399568034557236,1.0,1852.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.17822838847385272,167.0,,,,0.0
6,0.6031237682301931,0.005860415556739478,11.0,1877.0,189.0,0.0,0.18181818181818182,0.18181818181818182,0.21212121212121213,0.2727272727272727,0.29393939393939394,0.6363636363636364,0.34415584415584416,1.0,0.010582010582010581,0.19073869900771775,173.0,,,,0.0
7,0.6034686637761135,0.003779697624190065,7.0,1852.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.45601851851851855,1.0,0.005291005291005291,0.17761033369214208,165.0,,,,0.0
8,0.6039613716988569,0.0053792361484669175,10.0,1859.0,189.0,0.0,0.125,0.125,0.1875,0.25,0.28125,0.625,0.3315972222222222,1.0,0.005291005291005291,0.17616033755274263,167.0,,,,0.0
9,0.604256996452503,0.0032310177705977385,6.0,1857.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3013888888888889,1.0,0.005291005291005291,0.19146608315098468,175.0,,,,0.0
10,0.604848245959795,0.006521739130434782,12.0,1840.0,189.0,0.0,0.09090909090909091,0.09090909090909091,0.1212121212121212,0.18181818181818182,0.18939393939393936,0.45454545454545453,0.26540404040404036,1.0,0.005291005291005291,0.1894273127753304,172.0,1.9774011299435028,0.03983136907026642,0.1695394540284365,0.0
11,0.6051931415057155,0.0037513397642015005,7.0,1866.0,189.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.11190476190476191,0.42857142857142855,0.18985260770975057,1.0,0.0,0.18634886240520043,172.0,,,,0.0
12,0.6056365786361845,0.004878048780487805,9.0,1845.0,189.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.10416666666666666,0.375,0.18452380952380953,1.0,0.0,0.17558886509635974,164.0,,,,0.0
13,0.6060800157666535,0.0048205677557579,9.0,1867.0,189.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1388888888888889,0.4444444444444444,0.20246913580246914,1.0,0.0,0.18996798292422626,178.0,,,,0.0
14,0.6067205360662199,0.006907545164718385,13.0,1882.0,189.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.13333333333333333,0.5,0.1953373015873016,1.0,0.0,0.18867924528301888,180.0,,,,0.0
15,0.6068190776507686,0.0010672358591248667,2.0,1874.0,189.0,0.0,0.5,0.5,0.5,0.5,0.6,1.0,0.6,1.0,0.005291005291005291,0.18770226537216828,174.0,,,,0.0
16,0.6072132439889634,0.004291845493562232,8.0,1864.0,189.0,0.0,0.0,0.0,0.11904761904761904,0.2857142857142857,0.20476190476190476,0.7142857142857143,0.23492063492063492,1.0,0.0,0.18105263157894738,172.0,,,,0.0
17,0.6074103271580606,0.0021447721179624667,4.0,1865.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11875,1.0,0.0,0.18927789934354486,173.0,,,,0.0
18,0.6078537642885298,0.0048205677557579,9.0,1867.0,189.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.30000000000000004,0.5555555555555556,0.3484567901234568,1.0,0.010582010582010581,0.18863879957127547,176.0,,,,0.0
