round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6021388435744064,0.1694769602378298,0.6001984126984127,0.006644518272425249,12.0,1806.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.369047619047619,0.7142857142857143,0.40731292517006806,1.0,0.005376344086021506,0.15855354659248957,114.0,1.9927536231884058,0.09758491014722973,0.04280830553286208,0.0
1,0.6044951966648541,0.14996114996114995,0.5067460317460318,0.0072423398328690805,13.0,1795.0,186.0,0.0,0.4,0.4,0.6,0.8,0.6,0.8,0.6222222222222222,1.0,0.010752688172043012,0.16275862068965516,118.0,,,,0.0
2,0.6055827442450608,0.43990961077292007,0.5833333333333333,0.003309431880860452,6.0,1813.0,186.0,0.0,0.0,0.0,0.2222222222222222,0.5,0.25555555555555554,0.6666666666666666,0.29603174603174603,1.0,0.0,0.14937759336099585,108.0,,,,0.0
3,0.6057640021750952,0.20326576576576577,1.0,0.0005627462014631402,1.0,1777.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.15279672578444747,112.0,,,,0.0
4,0.6066702918252673,0.329658645775042,0.3333333333333333,0.0027901785714285715,5.0,1792.0,186.0,0.0,0.0,0.0,0.2,0.4,0.2,0.4,0.26722222222222225,1.0,0.0,0.16245006657789615,122.0,,,,0.0
5,0.6072140656153707,0.13278688524590165,0.6666666666666666,0.0016366612111292963,3.0,1833.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.010752688172043012,0.1611185086551265,121.0,,,,0.0
6,0.6086641290556462,0.1308724832214765,0.8888888888888888,0.004454342984409799,8.0,1796.0,186.0,0.0,0.625,0.625,0.75,0.875,0.75,0.875,0.7678571428571428,1.0,0.026881720430107527,0.15870786516853932,113.0,,,,0.0
7,0.6097516766358528,0.35168788046485894,0.6481481481481481,0.003309431880860452,6.0,1813.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.38888888888888884,0.5,0.4222222222222222,0.6666666666666666,0.47380952380952385,1.0,0.010752688172043012,0.1567357512953368,121.0,,,,0.0
8,0.6104767083559905,0.23045580110497238,0.6527777777777778,0.002205071664829107,4.0,1814.0,186.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3169642857142857,1.0,0.0,0.15782312925170067,116.0,,,,0.0
9,0.6113829980061628,0.1466887417218543,0.9777777777777779,0.00275178866263071,5.0,1817.0,186.0,0.0,0.8,0.8,0.9,1.0,0.9,1.0,0.9,1.0,0.021505376344086023,0.1685082872928177,122.0,,,,0.0
10,0.612289287656335,0.11627777777777779,0.8958333333333334,0.002770083102493075,5.0,1805.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016129032258064516,0.14431673052362706,113.0,1.9712230215827338,0.09345515957404228,0.04204063546329359,0.0
11,0.6131955773065072,0.23539387308533918,0.6770833333333333,0.002727768685215494,5.0,1833.0,186.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.3333333333333333,0.75,0.375,1.0,0.0,0.16855345911949685,134.0,,,,0.0
12,0.6139206090266449,0.46985666104553125,0.5962962962962962,0.002243409983174425,4.0,1783.0,186.0,0.0,0.0,0.0,0.38888888888888884,1.0,0.38888888888888884,1.0,0.38888888888888884,1.0,0.0,0.16910785619174434,127.0,,,,0.0
13,0.6148268986768171,0.10694522868435911,0.711111111111111,0.002815315315315315,5.0,1776.0,186.0,0.0,0.6,0.6,0.6,0.6,0.64,0.8,0.6599999999999999,1.0,0.016129032258064516,0.16752577319587628,130.0,,,,0.0
14,0.615189414536886,0.552441731409545,0.6666666666666667,0.0011086474501108647,2.0,1804.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,1.0,0.005376344086021506,0.15902964959568733,118.0,,,,0.0
15,0.6153706724669205,0.15742793791574283,0.0,0.000554016620498615,1.0,1805.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.15572715572715573,121.0,,,,0.0
16,0.6153706724669205,,,0.0,0.0,1830.0,186.0,0.0,,,,,,,,,0.0,0.16076294277929154,118.0,,,,0.0
17,0.6159144462570237,0.13138347260909933,0.4444444444444444,0.0016685205784204673,3.0,1798.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4365079365079365,1.0,0.005376344086021506,0.16846361185983827,125.0,,,,0.0
18,0.6170019938372304,0.14795640326975476,0.8148148148148149,0.0032590983161325366,6.0,1841.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.611111111111111,1.0,0.611111111111111,1.0,0.611111111111111,1.0,0.005376344086021506,0.16133333333333333,121.0,,,,0.0
19,0.6173645096972993,0.08635863586358633,1.0,0.001098901098901099,2.0,1820.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010752688172043012,0.1664355062413315,120.0,,,,0.0
20,0.6177270255573681,0.0546961325966851,0.7222222222222222,0.0011037527593818985,2.0,1812.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,1.0,0.005376344086021506,0.16069057104913678,121.0,1.9923664122137406,0.08889568186834496,0.031565968127808076,0.0
21,0.6184520572775059,0.1626455906821963,1.0,0.002213613724405091,4.0,1807.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.1545827633378933,113.0,,,,0.0
22,0.6199021207177814,0.10346873255164712,0.7958333333333334,0.0044469149527515284,8.0,1799.0,186.0,0.0,0.6,0.6,0.7,0.8,0.75,1.0,0.75,1.0,0.016129032258064516,0.1794871794871795,133.0,,,,0.0
23,0.6206271524379191,0.12903454133635334,0.6666666666666666,0.0022598870056497176,4.0,1770.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7000000000000001,1.0,0.010752688172043012,0.17486338797814208,128.0,,,,0.0
24,0.6215334420880914,0.2858490566037736,0.8111111111111111,0.002767017155506364,5.0,1807.0,186.0,0.0,0.2,0.2,0.4666666666666666,0.8,0.5066666666666666,1.0,0.5066666666666666,1.0,0.005376344086021506,0.16026490066225166,121.0,,,,0.0
25,0.6222584738082291,0.304927414852038,0.29166666666666663,0.0022284122562674096,4.0,1795.0,186.0,0.0,0.0,0.0,0.125,0.25,0.125,0.25,0.2125,1.0,0.0,0.16756756756756758,124.0,,,,0.0
26,0.622620989668298,0.07275803722504232,0.7222222222222222,0.0011267605633802818,2.0,1775.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,1.0,0.005376344086021506,0.1704697986577181,127.0,,,,0.0
27,0.6235272793184702,0.06796008869179601,0.7222222222222222,0.002763957987838585,5.0,1809.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333333,1.0,0.010752688172043012,0.1738544474393531,129.0,,,,0.0
28,0.623889795178539,0.5360497237569061,0.75,0.0011037527593818985,2.0,1812.0,186.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.005376344086021506,0.15591397849462366,116.0,,,,0.0
29,0.6240710531085735,0.04706533776301214,1.0,0.0005534034311012728,1.0,1807.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.15294117647058825,117.0,,,,0.0
