round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6023201015044408,0.32388208302670884,0.5303819444444444,0.007262569832402235,13.0,1790.0,186.0,0.0,0.125,0.125,0.3125,0.625,0.34374999999999994,0.75,0.3741071428571428,1.0,0.005376344086021506,0.1687344913151365,136.0,1.9791666666666667,0.10086110601718892,0.033732929473057664,0.0
1,0.6043139387348196,0.3970573364344221,0.6458333333333334,0.006080707573244887,11.0,1809.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222227,0.6666666666666666,0.47222222222222227,0.6666666666666666,0.5238095238095238,1.0,0.010752688172043012,0.16806722689075632,140.0,,,,0.0
2,0.6063077759651985,0.3877110026438886,0.6812169312169313,0.006114508060033352,11.0,1799.0,186.0,0.0,0.5,0.5,0.638888888888889,0.8333333333333334,0.638888888888889,0.8333333333333334,0.6555555555555556,1.0,0.016129032258064516,0.16522811344019728,134.0,,,,0.0
3,0.6086641290556462,0.3912296525361852,0.7549603174603176,0.007206208425720621,13.0,1804.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.7916666666666666,1.0,0.7916666666666666,1.0,0.021505376344086023,0.154126213592233,127.0,,,,0.0
4,0.6131955773065072,0.34756056338028174,0.4913194444444444,0.013888888888888888,25.0,1800.0,186.0,0.0,0.625,0.625,0.6666666666666666,0.75,0.6979166666666666,0.875,0.7118055555555556,1.0,0.026881720430107527,0.16666666666666666,136.0,,,,0.0
5,0.6144643828167482,0.28838190794712537,0.7870370370370371,0.003886729594669628,7.0,1801.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.8333333333333334,0.5888888888888889,1.0,0.5888888888888889,1.0,0.010752688172043012,0.16105769230769232,134.0,,,,0.0
6,0.616458220047127,0.38650322318664027,0.5779478458049887,0.006104328523862375,11.0,1802.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.4047619047619047,0.8571428571428571,0.4285714285714285,1.0,0.005376344086021506,0.1560549313358302,125.0,,,,0.0
7,0.6175457676273337,0.40317812269031783,0.78,0.0033149171270718232,6.0,1810.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010752688172043012,0.16055045871559634,140.0,,,,0.0
8,0.6224397317382635,0.3505194345554098,0.6946520146520145,0.014950166112956811,27.0,1806.0,186.0,0.0,0.38461538461538464,0.38461538461538464,0.5641025641025641,0.7692307692307693,0.5794871794871794,0.8461538461538461,0.6019230769230769,1.0,0.026881720430107527,0.15563298490127758,134.0,,,,0.0
9,0.6249773427587457,0.34938063063063063,0.576140873015873,0.00782122905027933,14.0,1790.0,186.0,0.0,0.25,0.25,0.375,0.5,0.4375,0.75,0.46924603174603174,1.0,0.010752688172043012,0.1633835457705678,141.0,,,,0.0
10,0.6266086641290557,0.36660544842363024,0.5481770833333333,0.004934210526315789,9.0,1824.0,186.0,0.0,0.25,0.25,0.29166666666666663,0.375,0.34791666666666665,0.625,0.3952876984126984,1.0,0.010752688172043012,0.15724815724815724,128.0,1.9844961240310077,0.09254527590992462,0.032339073999628126,0.0
11,0.6282399854993655,0.3490735576625147,0.6668320105820106,0.004994450610432853,9.0,1802.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.8333333333333334,0.5611111111111111,1.0,0.5611111111111111,1.0,0.010752688172043012,0.16585365853658537,136.0,,,,0.0
12,0.6318651441000543,0.43099944320712696,0.832624716553288,0.011013215859030838,20.0,1816.0,186.0,0.0,0.5714285714285714,0.5714285714285714,0.7857142857142857,1.0,0.7857142857142857,1.0,0.7857142857142857,1.0,0.021505376344086023,0.1633416458852868,131.0,,,,0.0
13,0.6336777234003987,0.34577072899276573,0.8444113756613757,0.005534034311012728,10.0,1807.0,186.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.7083333333333334,1.0,0.7083333333333334,1.0,0.016129032258064516,0.15948777648428406,137.0,,,,0.0
14,0.6351277868406743,0.3740926856504746,0.7936507936507937,0.0044469149527515284,8.0,1799.0,186.0,0.0,0.5,0.5,0.625,0.75,0.675,1.0,0.675,1.0,0.010752688172043012,0.15764705882352942,134.0,,,,0.0
15,0.6367591082109842,0.4497339767384311,0.7906746031746031,0.004986149584487534,9.0,1805.0,186.0,0.0,0.5714285714285714,0.5714285714285714,0.6904761904761906,0.8571428571428571,0.6904761904761906,0.8571428571428571,0.7047619047619048,1.0,0.021505376344086023,0.16075949367088607,127.0,,,,0.0
16,0.6391154613014319,0.3640870922823748,0.6579365079365079,0.007080610021786492,13.0,1836.0,186.0,0.0,0.4,0.4,0.5666666666666667,0.8,0.5666666666666667,0.8,0.6,1.0,0.010752688172043012,0.16144018583042974,139.0,,,,0.0
17,0.6409280406017763,0.3600987925356751,0.4375,0.0054585152838427945,10.0,1832.0,186.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.36666666666666664,0.6,0.42000000000000004,1.0,0.005376344086021506,0.17596034696406443,142.0,,,,0.0
18,0.6450969729925684,0.40854530905211084,0.5895750661375662,0.012665198237885462,23.0,1816.0,186.0,0.0,0.5,0.5,0.611111111111111,0.75,0.6277777777777778,0.8333333333333334,0.6474537037037037,1.0,0.03225806451612903,0.1636828644501279,128.0,,,,0.0
19,0.6467282943628784,0.36347191562423353,0.6079365079365079,0.004942339373970346,9.0,1821.0,186.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.36666666666666664,0.8,0.4,1.0,0.005376344086021506,0.16824644549763032,142.0,,,,0.0
20,0.6489033895232916,0.41093061674008813,0.5542328042328043,0.006564551422319475,12.0,1828.0,186.0,0.0,0.5,0.5,0.5555555555555556,0.6666666666666666,0.5888888888888889,0.8333333333333334,0.6055555555555555,1.0,0.016129032258064516,0.16357308584686775,141.0,1.953125,0.08591974983368916,0.04680930928315663,0.0
21,0.6525285481239804,0.4169224330357143,0.6000925925925925,0.011037527593818985,20.0,1812.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.6296296296296295,0.7777777777777778,0.6296296296296295,0.7777777777777778,0.6592592592592593,1.0,0.026881720430107527,0.16058394160583941,132.0,,,,0.0
22,0.655247417074497,0.3801781737193764,0.6668194444444444,0.008282716731087797,15.0,1811.0,186.0,0.0,0.4,0.4,0.4833333333333333,0.6,0.5083333333333333,0.7,0.5430555555555555,1.0,0.021505376344086023,0.16194790486976218,143.0,,,,0.0
23,0.6568787384448069,0.36479100676976584,0.7083333333333333,0.005005561735261402,9.0,1798.0,186.0,0.0,0.25,0.25,0.41666666666666663,0.625,0.41666666666666663,0.625,0.4732142857142857,1.0,0.010752688172043012,0.1619718309859155,138.0,,,,0.0
24,0.6585100598151169,0.39536830357142855,0.572255291005291,0.004997223764575236,9.0,1801.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5722222222222223,1.0,0.016129032258064516,0.16926770708283315,141.0,,,,0.0
25,0.6605038970454957,0.431477083228056,0.8695987654320988,0.0060773480662983425,11.0,1810.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.8148148148148148,1.0,0.8148148148148148,1.0,0.8148148148148148,1.0,0.03225806451612903,0.15552855407047386,128.0,,,,0.0
26,0.6621352184158057,0.42055647080358777,0.5549206349206349,0.004918032786885246,9.0,1830.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4920634920634921,1.0,0.005376344086021506,0.16,132.0,,,,0.0
27,0.6637665397861157,0.40496753644493444,0.8323412698412699,0.004936917169500823,9.0,1823.0,186.0,0.0,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.7999999999999999,1.0,0.026881720430107527,0.17386091127098321,145.0,,,,0.0
28,0.6648540873663222,0.4026943382486802,0.6680555555555555,0.00326619488296135,6.0,1837.0,186.0,0.0,0.4,0.4,0.5,0.6,0.55,0.8,0.5722222222222222,1.0,0.010752688172043012,0.16091954022988506,126.0,,,,0.0
29,0.6670291825267356,0.3943623426382047,0.8283730158730158,0.0065252854812398045,12.0,1839.0,186.0,0.0,0.5,0.5,0.625,0.75,0.65,0.875,0.6678571428571429,1.0,0.021505376344086023,0.16276346604215455,139.0,,,,0.0
