round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6038348910906975,0.8081686101630641,0.6535464113181504,0.09846153846153846,96.0,975.0,98.0,0.0,0.30434782608695654,0.30434782608695654,0.48188405797101447,0.6956521739130435,0.5155797101449275,0.8478260869565217,0.5359558316080055,1.0,0.14285714285714285,0.1864864864864865,69.0,1.8085106382978724,0.16145984979957712,0.12822718969661367,0.0
1,0.6082474226804123,0.764997372569627,0.6580809523809523,0.11282051282051282,110.0,975.0,98.0,0.0,0.44,0.44,0.55,0.68,0.586,0.84,0.6055158730158731,1.0,0.22448979591836735,0.189873417721519,75.0,,,,0.0
2,0.6126599542701272,0.8267032271672643,0.7622210775335775,0.11316872427983539,110.0,972.0,98.0,0.0,0.5,0.5,0.6602564102564101,0.8846153846153846,0.6689102564102564,0.9230769230769231,0.6783882783882784,1.0,0.2653061224489796,0.19487179487179487,76.0,,,,0.0
3,0.6166312327008705,0.8133284625821939,0.7213599206349207,0.10206185567010309,99.0,970.0,98.0,0.0,0.56,0.56,0.64,0.74,0.6780000000000002,0.9,0.6901587301587303,1.0,0.2857142857142857,0.19899244332493704,79.0,,,,0.0
4,0.6206827389786995,0.8217596247096236,0.6988307178932179,0.10316649642492338,101.0,979.0,98.0,0.0,0.5227272727272727,0.5227272727272727,0.6325757575757577,0.7727272727272727,0.6484848484848486,0.8409090909090909,0.6714556277056277,1.0,0.23469387755102042,0.19559902200489,80.0,,,,0.0
5,0.6245336756388142,0.7984807546454304,0.6805233134920635,0.09846153846153846,96.0,975.0,98.0,0.0,0.4791666666666667,0.4791666666666667,0.5659722222222222,0.7083333333333334,0.6107638888888889,0.8958333333333334,0.6267609126984127,1.0,0.23469387755102042,0.2064343163538874,77.0,,,,0.0
6,0.6283444983753861,0.8256437704430568,0.6748444998154302,0.09693877551020408,95.0,980.0,98.0,0.0,0.4418604651162791,0.4418604651162791,0.5852713178294573,0.7674418604651163,0.6062015503875969,0.8604651162790697,0.6260612772240679,1.0,0.19387755102040816,0.18274111675126903,72.0,,,,0.0
7,0.6325965742709294,0.8003630940802697,0.690790006478782,0.10827374872318693,106.0,979.0,98.0,0.0,0.42857142857142855,0.42857142857142855,0.5544217687074829,0.7142857142857143,0.5901360544217688,0.8775510204081632,0.6053530936183997,1.0,0.21428571428571427,0.17359413202933985,71.0,,,,0.0
8,0.6369689919371013,0.814064820568997,0.7027911324786325,0.11122448979591837,109.0,980.0,98.0,0.0,0.5576923076923077,0.5576923076923077,0.6602564102564101,0.7884615384615384,0.6746794871794871,0.8461538461538461,0.6952609890109891,1.0,0.29591836734693877,0.19525065963060687,74.0,,,,0.0
9,0.6403385615147017,0.8261918123029235,0.6389227092352092,0.08615384615384615,84.0,975.0,98.0,0.0,0.4090909090909091,0.4090909090909091,0.5189393939393939,0.6590909090909091,0.5553030303030303,0.8181818181818182,0.5798791486291486,1.0,0.1836734693877551,0.20266666666666666,76.0,,,,0.0
10,0.6447109791808737,0.8488134486354396,0.7644302721088437,0.11122448979591837,109.0,980.0,98.0,0.0,0.5918367346938775,0.5918367346938775,0.6700680272108842,0.7755102040816326,0.7068027210884356,0.9387755102040817,0.7160349854227406,1.0,0.29591836734693877,0.20612813370473537,74.0,1.6666666666666667,0.13106853912411964,0.15273025025447856,0.0
11,0.6478799791407598,0.8199427332133187,0.6980480599647266,0.08127572016460906,79.0,972.0,98.0,0.0,0.5333333333333333,0.5333333333333333,0.6,0.6888888888888889,0.6211111111111111,0.7777777777777778,0.6498059964726631,1.0,0.24489795918367346,0.20424403183023873,77.0,,,,0.0
12,0.6511292069477316,0.8372421101889701,0.7456934001670843,0.08282208588957055,81.0,978.0,98.0,0.0,0.631578947368421,0.631578947368421,0.7105263157894736,0.8157894736842105,0.7368421052631579,0.9210526315789473,0.7478070175438597,1.0,0.24489795918367346,0.21122994652406418,79.0,,,,0.0
13,0.6555417385374464,0.8392580982236155,0.727177298592393,0.11224489795918367,110.0,980.0,98.0,0.0,0.4339622641509434,0.4339622641509434,0.6037735849056604,0.8490566037735849,0.6179245283018868,0.9056603773584906,0.6308924827792751,1.0,0.23469387755102042,0.1868421052631579,71.0,,,,0.0
14,0.6593124473504753,0.8323985622617841,0.7062580984774863,0.09631147540983606,94.0,976.0,98.0,0.0,0.3877551020408163,0.3877551020408163,0.5204081632653061,0.6938775510204082,0.5540816326530612,0.8367346938775511,0.5768950437317785,1.0,0.19387755102040816,0.19788918205804748,75.0,,,,0.0
15,0.6628023586987043,0.8498183416728081,0.6647227443609023,0.08913934426229508,87.0,976.0,98.0,0.0,0.39473684210526316,0.39473684210526316,0.4605263157894737,0.5263157894736842,0.5421052631578948,0.8947368421052632,0.5551796157059316,1.0,0.15306122448979592,0.23224043715846995,85.0,,,,0.0
16,0.6663323839704761,0.8374821646962903,0.6911600529100528,0.08979591836734693,88.0,980.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.48518518518518505,0.6666666666666666,0.5218518518518518,0.8222222222222222,0.545679012345679,1.0,0.15306122448979592,0.18622448979591838,73.0,,,,0.0
17,0.6699827510128765,0.8047673098751419,0.732798833819242,0.09362139917695474,91.0,972.0,98.0,0.0,0.4897959183673469,0.4897959183673469,0.6224489795918368,0.7959183673469388,0.6408163265306123,0.8775510204081632,0.6577583414318108,1.0,0.24489795918367346,0.20634920634920634,78.0,,,,0.0
18,0.6725500421196198,0.881949193107221,0.7488036881419236,0.065439672801636,64.0,978.0,98.0,0.0,0.5,0.5,0.6176470588235293,0.7647058823529411,0.6485294117647058,0.9117647058823529,0.6596755368814191,1.0,0.17346938775510204,0.19414893617021275,73.0,,,,0.0
19,0.6752376749969915,0.8637671445619657,0.7752525252525253,0.06836734693877551,67.0,980.0,98.0,0.0,0.5151515151515151,0.5151515151515151,0.6616161616161615,0.8787878787878788,0.6616161616161615,0.8787878787878788,0.6764309764309765,1.0,0.17346938775510204,0.19306930693069307,78.0,,,,0.0
20,0.6780456496449918,0.8025622831914222,0.6526179138321995,0.07172131147540983,70.0,976.0,98.0,0.0,0.5142857142857142,0.5142857142857142,0.5952380952380953,0.7142857142857143,0.608095238095238,0.7714285714285715,0.6386054421768708,1.0,0.1836734693877551,0.20833333333333334,75.0,1.6770833333333333,0.1093432170425398,0.16045529350151883,0.0
21,0.6820169280757351,0.8058348594266497,0.6635233686067019,0.1014344262295082,99.0,976.0,98.0,0.0,0.4444444444444444,0.4444444444444444,0.5851851851851853,0.7777777777777778,0.6051851851851852,0.8666666666666667,0.623236331569665,1.0,0.20408163265306123,0.1837270341207349,70.0,,,,0.0
22,0.6839423964057925,0.8449011981402003,0.723123973727422,0.04897959183673469,48.0,980.0,98.0,0.0,0.6206896551724138,0.6206896551724138,0.6724137931034483,0.7586206896551724,0.6724137931034483,0.7586206896551724,0.7018199233716473,1.0,0.1836734693877551,0.20215633423180593,75.0,,,,0.0
23,0.6873119659833928,0.7839272427721088,0.7002257495590829,0.08571428571428572,84.0,980.0,98.0,0.0,0.4888888888888889,0.4888888888888889,0.5925925925925926,0.7333333333333333,0.6114814814814815,0.8222222222222222,0.6326102292768959,1.0,0.22448979591836735,0.20698924731182797,77.0,,,,0.0
24,0.6896385735488788,0.7816497120203455,0.6725643500643501,0.05918367346938776,58.0,980.0,98.0,0.0,0.2972972972972973,0.2972972972972973,0.4414414414414415,0.6486486486486487,0.46711711711711706,0.7567567567567568,0.4968682968682968,1.0,0.11224489795918367,0.19240506329113924,76.0,,,,0.0
25,0.6926070038910506,0.8361334989698218,0.6565570672713531,0.07660455486542443,74.0,966.0,98.0,0.0,0.38095238095238093,0.38095238095238093,0.5,0.6428571428571429,0.5273809523809524,0.7619047619047619,0.5584845049130763,1.0,0.16326530612244897,0.1962864721485411,74.0,,,,0.0
26,0.6955754342332223,0.848509163991961,0.7005763646922183,0.0758974358974359,74.0,975.0,98.0,0.0,0.36585365853658536,0.36585365853658536,0.524390243902439,0.7073170731707317,0.573170731707317,0.926829268292683,0.5807588075880759,1.0,0.15306122448979592,0.17195767195767195,65.0,,,,0.0
27,0.6978619278751654,0.8530367312617054,0.7618983614951357,0.05846153846153846,57.0,975.0,98.0,0.0,0.45161290322580644,0.45161290322580644,0.6236559139784946,0.8387096774193549,0.6381720430107526,0.9032258064516129,0.6503968253968253,1.0,0.14285714285714285,0.18947368421052632,72.0,,,,0.0
28,0.6999478518993942,0.8471288689735292,0.6786555829228244,0.05311542390194075,52.0,979.0,98.0,0.0,0.5172413793103449,0.5172413793103449,0.557471264367816,0.6206896551724138,0.6040229885057471,0.8275862068965517,0.6300218938149973,1.0,0.15306122448979592,0.20466321243523317,79.0,,,,0.0
29,0.7021140037707088,0.8340091180505125,0.6756253006253007,0.05555555555555555,54.0,972.0,98.0,0.0,0.5454545454545454,0.5454545454545454,0.5707070707070708,0.6060606060606061,0.6176767676767677,0.8181818181818182,0.6402717652717652,1.0,0.1836734693877551,0.2035623409669211,80.0,,,,0.0
