round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6027518151550403,0.6713404598692936,0.5021351410934745,0.0706967213114754,69.0,976.0,98.0,0.0,0.19444444444444445,0.19444444444444445,0.3148148148148148,0.4722222222222222,0.34953703703703703,0.6388888888888888,0.3981371252204585,1.0,0.07142857142857142,0.18586387434554974,71.0,1.903225806451613,0.16294967936459767,0.1727889171756435,0.0
1,0.6052789923382406,0.6536883464594307,0.6525637009189641,0.06454918032786885,63.0,976.0,98.0,0.0,0.42105263157894735,0.42105263157894735,0.5482456140350876,0.7105263157894737,0.5666666666666667,0.7894736842105263,0.5950605680868839,1.0,0.16326530612244897,0.20155038759689922,78.0,,,,0.0
2,0.608327650527498,0.7043849924145175,0.634920634920635,0.07770961145194274,76.0,978.0,98.0,0.0,0.358974358974359,0.358974358974359,0.4957264957264957,0.6666666666666666,0.5252136752136751,0.7948717948717948,0.5543345543345543,1.0,0.14285714285714285,0.1763157894736842,67.0,,,,0.0
3,0.6110553973284127,0.7018657683337652,0.5886834733893557,0.06967213114754098,68.0,976.0,98.0,0.0,0.29411764705882354,0.29411764705882354,0.40686274509803916,0.5588235294117647,0.43333333333333335,0.6764705882352942,0.47878151260504204,1.0,0.10204081632653061,0.20634920634920634,78.0,,,,0.0
4,0.6143447390589274,0.625613871436802,0.571764880952381,0.08444902162718847,82.0,971.0,98.0,0.0,0.3,0.3,0.4375,0.625,0.4725,0.775,0.5013095238095238,1.0,0.12244897959183673,0.18994413407821228,68.0,,,,0.0
5,0.6171527137069277,0.6971664050235478,0.5204461866047232,0.07142857142857142,70.0,980.0,98.0,0.0,0.21951219512195122,0.21951219512195122,0.34146341463414637,0.4878048780487805,0.3829268292682927,0.6829268292682927,0.42440960123886956,1.0,0.09183673469387756,0.1969309462915601,77.0,,,,0.0
6,0.6209635364434996,0.6203984537615224,0.6353291847041848,0.09693877551020408,95.0,980.0,98.0,0.0,0.38636363636363635,0.38636363636363635,0.5227272727272727,0.7045454545454546,0.5488636363636363,0.8181818181818182,0.5727092352092352,1.0,0.17346938775510204,0.20588235294117646,77.0,,,,0.0
7,0.623450599703157,0.6540904919884238,0.5774331662489558,0.06352459016393443,62.0,976.0,98.0,0.0,0.2894736842105263,0.2894736842105263,0.38596491228070173,0.5,0.4293859649122807,0.6842105263157895,0.4704573934837093,1.0,0.11224489795918367,0.17571059431524547,68.0,,,,0.0
8,0.6254161819567572,0.6794975777636512,0.6747831632653062,0.05,49.0,980.0,98.0,0.0,0.39285714285714285,0.39285714285714285,0.5297619047619048,0.7142857142857143,0.5583333333333333,0.8571428571428571,0.576530612244898,1.0,0.11224489795918367,0.20610687022900764,81.0,,,,0.0
9,0.6278631312928717,0.6772239961469166,0.585877085877086,0.06224489795918367,61.0,980.0,98.0,0.0,0.2564102564102564,0.2564102564102564,0.3632478632478633,0.5128205128205128,0.3991452991452991,0.6666666666666666,0.44546194546194545,1.0,0.10204081632653061,0.1994750656167979,76.0,,,,0.0
10,0.6302699667054434,0.613391557496361,0.4831065759637188,0.06147540983606557,60.0,976.0,98.0,0.0,0.17142857142857143,0.17142857142857143,0.30476190476190473,0.4857142857142857,0.33190476190476187,0.6,0.38438775510204076,1.0,0.061224489795918366,0.17326732673267325,70.0,1.934065934065934,0.14273998142341304,0.24346451097615593,0.0
11,0.6328372578121866,0.6650904605263157,0.615575396825397,0.06557377049180328,64.0,976.0,98.0,0.0,0.2222222222222222,0.2222222222222222,0.35185185185185186,0.5277777777777778,0.40462962962962956,0.75,0.44265873015873014,1.0,0.08163265306122448,0.17632241813602015,70.0,,,,0.0
12,0.6353644349953869,0.6229769261394125,0.605984126984127,0.06428571428571428,63.0,980.0,98.0,0.0,0.22857142857142856,0.22857142857142856,0.3761904761904762,0.6,0.42047619047619045,0.8,0.4458956916099773,1.0,0.08163265306122448,0.1775,71.0,,,,0.0
