round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6004653215130972,0.22761065006915632,0.6867283950617283,0.012295081967213115,12.0,976.0,98.0,0.0,0.2222222222222222,0.2222222222222222,0.5,0.7777777777777778,0.5,0.7777777777777778,0.5262345679012346,1.0,0.02040816326530612,0.17662337662337663,68.0,1.946236559139785,0.16450829503166609,0.17183122538284984,0.0
1,0.6011873721368687,0.4144630016237532,0.48611111111111116,0.018442622950819672,18.0,976.0,98.0,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.4166666666666667,0.2986111111111111,0.5,0.3674603174603175,1.0,0.02040816326530612,0.165374677002584,64.0,,,,0.0
2,0.6019896506077259,0.3688413361169103,0.6333333333333333,0.02044989775051125,20.0,978.0,98.0,0.0,0.2,0.2,0.24166666666666664,0.3,0.3466666666666667,0.75,0.37970238095238096,1.0,0.04081632653061224,0.17661691542288557,71.0,,,,0.0
3,0.6025913594608688,0.27436697884148453,0.645909645909646,0.015368852459016393,15.0,976.0,98.0,0.0,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.6923076923076923,0.49645909645909647,1.0,0.04081632653061224,0.16455696202531644,65.0,,,,0.0
4,0.6030727265433832,0.3166492874522071,0.6736111111111112,0.012358393408856848,12.0,971.0,98.0,0.0,0.45454545454545453,0.45454545454545453,0.5,0.5454545454545454,0.5227272727272727,0.6363636363636364,0.5723304473304474,1.0,0.05102040816326531,0.17293233082706766,69.0,,,,0.0
5,0.6036343214729832,0.4424726412304052,0.7783564814814814,0.014285714285714285,14.0,980.0,98.0,0.0,0.4166666666666667,0.4166666666666667,0.611111111111111,0.8333333333333334,0.611111111111111,0.8333333333333334,0.6333333333333333,1.0,0.05102040816326531,0.1687041564792176,69.0,,,,0.0
6,0.6042360303261262,0.4406908462867012,0.7264957264957265,0.015306122448979591,15.0,980.0,98.0,0.0,0.38461538461538464,0.38461538461538464,0.5,0.6153846153846154,0.5538461538461539,0.8461538461538461,0.5743589743589743,1.0,0.05102040816326531,0.1848101265822785,73.0,,,,0.0
7,0.6049179670263548,0.3284671532846716,0.514351851851852,0.017418032786885244,17.0,976.0,98.0,0.0,0.26666666666666666,0.26666666666666666,0.3,0.3333333333333333,0.36666666666666664,0.6,0.41359788359788346,1.0,0.04081632653061224,0.16876574307304787,67.0,,,,0.0
8,0.6052789923382406,0.35644810619063966,0.8452380952380952,0.009183673469387756,9.0,980.0,98.0,0.0,0.42857142857142855,0.42857142857142855,0.6190476190476192,0.8571428571428571,0.6547619047619049,1.0,0.6547619047619049,1.0,0.030612244897959183,0.17412935323383086,70.0,,,,0.0
9,0.6056801315736692,0.2842268041237113,0.8444444444444444,0.01020408163265306,10.0,980.0,98.0,0.0,0.3,0.3,0.55,0.8,0.575,0.9,0.5892857142857142,1.0,0.030612244897959183,0.17929292929292928,71.0,,,,0.0
