round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000880439119011,0.6495919554558299,0.6906746031746032,0.006686478454680535,45.0,6730.0,758.0,0.0,0.575,0.575,0.6583333333333334,0.775,0.6908333333333333,0.925,0.7010714285714286,1.0,0.030343007915567283,0.13627068228295222,733.0,1.894736842105263,0.06237297748933955,0.0005732003307823707,0.0
1,0.6001607587498551,0.5692629899271966,0.7695578231292518,0.005431591309453905,37.0,6812.0,758.0,0.0,0.5666666666666667,0.5666666666666667,0.6888888888888888,0.8333333333333334,0.6972222222222222,0.8666666666666667,0.7160052910052909,1.0,0.022427440633245383,0.13051370484661462,719.0,,,,0.0
2,0.6002649178420595,0.6296953373002241,0.7983739837398374,0.007661173749638624,53.0,6918.0,758.0,0.0,0.6976744186046512,0.6976744186046512,0.7906976744186046,0.9069767441860465,0.8023255813953488,0.9534883720930233,0.8087855297157623,1.0,0.0395778364116095,0.13199711087035032,731.0,,,,0.0
3,0.6003395979459041,0.7445199990572042,0.83955938697318,0.005640492800949978,38.0,6737.0,758.0,0.0,0.7741935483870968,0.7741935483870968,0.8333333333333334,0.9032258064516129,0.8543010752688173,1.0,0.8543010752688173,1.0,0.0316622691292876,0.13493975903614458,728.0,,,,0.0
4,0.60041820858153,0.7304452710665881,0.7777777777777778,0.005858230814294083,40.0,6828.0,758.0,0.0,0.6571428571428571,0.6571428571428571,0.7238095238095238,0.8,0.7452380952380953,0.8857142857142857,0.7601473922902494,1.0,0.030343007915567283,0.13345554537121906,728.0,,,,0.0
5,0.600496819217156,0.6140953208749818,0.7070057189542485,0.005761198329252484,40.0,6943.0,758.0,0.0,0.42857142857142855,0.42857142857142855,0.5380952380952381,0.6571428571428571,0.578095238095238,0.8285714285714286,0.6009070294784581,1.0,0.01978891820580475,0.12910714285714286,723.0,,,,0.0
6,0.6006284920318294,0.619613832462632,0.7400977366255143,0.009712960278341549,67.0,6898.0,758.0,0.0,0.5454545454545454,0.5454545454545454,0.6242424242424243,0.7272727272727273,0.6451515151515151,0.8181818181818182,0.6693362193362195,1.0,0.0395778364116095,0.13383238999452254,733.0,,,,0.0
7,0.6007169289969087,0.6858458016515412,0.8001711309523809,0.006578947368421052,45.0,6840.0,758.0,0.0,0.65,0.65,0.7125,0.8,0.74375,0.925,0.7529464285714285,1.0,0.03430079155672823,0.1311236568930978,720.0,,,,0.0
8,0.6008053659619879,0.6201907738385909,0.7066358024691357,0.006549265026924756,45.0,6871.0,758.0,0.0,0.5897435897435898,0.5897435897435898,0.6367521367521367,0.6923076923076923,0.6675213675213675,0.8205128205128205,0.6916564916564917,1.0,0.030343007915567283,0.13195577306507159,728.0,,,,0.0
9,0.6008780807999419,0.6921812991168765,0.8521505376344085,0.00533987588396594,37.0,6929.0,758.0,0.0,0.8125,0.8125,0.8541666666666666,0.90625,0.8697916666666666,0.96875,0.8732638888888888,1.0,0.03430079155672823,0.13095238095238096,726.0,,,,0.0
10,0.6009802746262556,0.6297525127903292,0.6532853451458103,0.007593457943925234,52.0,6848.0,758.0,0.0,0.4772727272727273,0.4772727272727273,0.5454545454545454,0.6363636363636364,0.6,0.8636363636363636,0.6174873737373736,1.0,0.027704485488126648,0.13317325452530476,721.0,1.920731707317073,0.06094033772853291,0.0005733978097718466,0.0
11,0.6010470936665376,0.6452743037620979,0.7481481481481482,0.004870362412261854,34.0,6981.0,758.0,0.0,0.6060606060606061,0.6060606060606061,0.6616161616161615,0.7272727272727273,0.6691919191919191,0.7575757575757576,0.6981481481481481,1.0,0.026385224274406333,0.1293041606886657,721.0,,,,0.0
12,0.6011316000998355,0.6896665040869766,0.7288095238095238,0.0063553059414720664,43.0,6766.0,758.0,0.0,0.5897435897435898,0.5897435897435898,0.6709401709401709,0.7692307692307693,0.6888888888888888,0.8461538461538461,0.7076516076516076,1.0,0.030343007915567283,0.1355297641332834,724.0,,,,0.0
13,0.6012318286602586,0.7022870583668028,0.8818427579365078,0.007369942196531792,51.0,6920.0,758.0,0.0,0.65,0.65,0.775,0.925,0.7849999999999999,0.975,0.7891666666666666,1.0,0.03430079155672823,0.13382624768946397,724.0,,,,0.0
14,0.6013281266889003,0.6349428303096257,0.7402124467673248,0.007107629823034523,49.0,6894.0,758.0,0.0,0.5714285714285714,0.5714285714285714,0.638888888888889,0.7380952380952381,0.6496031746031746,0.7857142857142857,0.6797146636432351,1.0,0.0316622691292876,0.13193322563274099,735.0,,,,0.0
15,0.6014008415268544,0.6411685577493265,0.7853505291005293,0.005418863503222027,37.0,6828.0,758.0,0.0,0.6451612903225806,0.6451612903225806,0.7311827956989246,0.8387096774193549,0.7392473118279569,0.8709677419354839,0.7578725038402457,1.0,0.026385224274406333,0.13158851326790258,724.0,,,,0.0
16,0.6014853479601523,0.6024125418650051,0.7906249999999999,0.006415995225305879,43.0,6702.0,758.0,0.0,0.5,0.5,0.6111111111111112,0.75,0.6305555555555555,0.8333333333333334,0.6531194885361552,1.0,0.023746701846965697,0.1354515050167224,729.0,,,,0.0
17,0.6015855765205753,0.6797762007192741,0.7889660493827161,0.007288838073460055,51.0,6997.0,758.0,0.0,0.631578947368421,0.631578947368421,0.7456140350877193,0.868421052631579,0.7456140350877193,0.868421052631579,0.7632309941520469,1.0,0.0316622691292876,0.13023088023088022,722.0,,,,0.0
18,0.6016720482197639,0.5946383078573344,0.7391493055555556,0.006447831184056272,44.0,6824.0,758.0,0.0,0.6585365853658537,0.6585365853658537,0.7317073170731706,0.8292682926829268,0.7439024390243901,0.8780487804878049,0.7612756484707703,1.0,0.03562005277044855,0.13426779786056806,728.0,,,,0.0
19,0.601772276780187,0.6709431375441458,0.7720238095238096,0.00746705710102489,51.0,6830.0,758.0,0.0,0.6097560975609756,0.6097560975609756,0.7317073170731707,0.8536585365853658,0.75,0.926829268292683,0.7601626016260163,1.0,0.032981530343007916,0.13284132841328414,720.0,,,,0.0
20,0.6018744706065007,0.6954577578083703,0.8127923976608187,0.007708271568336793,52.0,6746.0,758.0,0.0,0.6829268292682927,0.6829268292682927,0.7642276422764227,0.8780487804878049,0.7947154471544716,1.0,0.7947154471544716,1.0,0.036939313984168866,0.1339996298352767,724.0,1.929032258064516,0.05963784492382376,0.0008004138062076735,0.0
21,0.6019707686351425,0.611520880028312,0.6550925925925927,0.007031137896398336,49.0,6969.0,758.0,0.0,0.45,0.45,0.5666666666666667,0.7,0.5829166666666667,0.775,0.6089880952380952,1.0,0.023746701846965697,0.13176169590643275,721.0,,,,0.0
22,0.6020454487389871,0.6532647377996235,0.8421934865900383,0.005728067530901417,38.0,6634.0,758.0,0.0,0.7741935483870968,0.7741935483870968,0.8494623655913978,0.967741935483871,0.8494623655913978,0.967741935483871,0.8530465949820788,1.0,0.0316622691292876,0.1376129518072289,731.0,,,,0.0
23,0.6021279899063944,0.6650846614577937,0.6735235760971056,0.006056236481614997,42.0,6935.0,758.0,0.0,0.4857142857142857,0.4857142857142857,0.5857142857142857,0.7428571428571429,0.5928571428571429,0.7714285714285715,0.622687074829932,1.0,0.022427440633245383,0.13171355498721227,721.0,,,,0.0
24,0.6022183921373643,0.6224235340577587,0.7386448948948949,0.00669383003492433,46.0,6872.0,758.0,0.0,0.5789473684210527,0.5789473684210527,0.6666666666666666,0.7631578947368421,0.6732456140350876,0.7894736842105263,0.6967418546365916,1.0,0.029023746701846966,0.1341150604617076,732.0,,,,0.0
25,0.6023068291024434,0.6798452655511392,0.7751615646258503,0.006580871599883006,45.0,6838.0,758.0,0.0,0.6285714285714286,0.6285714285714286,0.7,0.7714285714285715,0.7128571428571429,0.8285714285714286,0.7360997732426303,1.0,0.029023746701846966,0.13418001104362232,729.0,,,,0.0
26,0.6023893702698506,0.6611462284028655,0.7635836385836385,0.006156552330694811,42.0,6822.0,758.0,0.0,0.625,0.625,0.6958333333333333,0.775,0.7245833333333334,0.9,0.7379464285714286,1.0,0.032981530343007916,0.13262307127112416,722.0,,,,0.0
27,0.6024856682984925,0.6739959814978936,0.8733395989974938,0.007234608002362321,49.0,6773.0,758.0,0.0,0.75,0.75,0.825,0.925,0.83125,0.95,0.8379166666666666,1.0,0.0395778364116095,0.13632958801498127,728.0,,,,0.0
28,0.6025760705294623,0.6348654244306419,0.7521428571428572,0.006694804249745306,46.0,6871.0,758.0,0.0,0.5277777777777778,0.5277777777777778,0.6018518518518517,0.6944444444444444,0.6476851851851851,0.8888888888888888,0.6618386243386243,1.0,0.025065963060686015,0.13224043715846995,726.0,,,,0.0
