round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000644607212132,0.6318967089779013,0.5117701247165533,0.004821741671537112,33.0,6844.0,758.0,0.0,0.17857142857142858,0.17857142857142858,0.26785714285714285,0.42857142857142855,0.325,0.6785714285714286,0.3706207482993197,1.0,0.006596306068601583,0.11861009021049114,355.0,1.9931506849315068,0.062413397660445145,0.0015014188360148802,0.0
1,0.6001371755591672,0.5326693083861278,0.5422453703703703,0.005438777010142584,37.0,6803.0,758.0,0.0,0.28125,0.28125,0.40104166666666663,0.53125,0.4291666666666667,0.65625,0.4779885912698413,1.0,0.011873350923482849,0.12067796610169491,356.0,,,,0.0
2,0.6002118556630119,0.5901116427432216,0.6677037037037039,0.005585770983389681,38.0,6803.0,758.0,0.0,0.26666666666666666,0.26666666666666666,0.39444444444444454,0.6,0.45444444444444454,0.8666666666666667,0.47031746031746036,1.0,0.010554089709762533,0.1185992732077965,359.0,,,,0.0
3,0.6002747441715127,0.5604680185781158,0.5732804232804233,0.004659289458357601,32.0,6868.0,758.0,0.0,0.2413793103448276,0.2413793103448276,0.3908045977011494,0.6206896551724138,0.43390804597701144,0.7931034482758621,0.46038587848932677,1.0,0.009234828496042216,0.11768707482993197,346.0,,,,0.0
4,0.6003356674141228,0.5831102138606111,0.4182466196355085,0.004565537555228277,31.0,6790.0,758.0,0.0,0.17857142857142858,0.17857142857142858,0.24404761904761904,0.32142857142857145,0.2922619047619048,0.5357142857142857,0.34800170068027203,1.0,0.006596306068601583,0.11831550802139038,354.0,,,,0.0
5,0.6003946253908422,0.6087036222319988,0.5831018518518518,0.004380201489268506,30.0,6849.0,758.0,0.0,0.3076923076923077,0.3076923076923077,0.4230769230769231,0.5769230769230769,0.4480769230769231,0.6923076923076923,0.4937881562881563,1.0,0.010554089709762533,0.1196156394963552,361.0,,,,0.0
6,0.6004771665582495,0.5177661866980116,0.5339409722222221,0.006133177570093458,42.0,6848.0,758.0,0.0,0.20588235294117646,0.20588235294117646,0.3284313725490196,0.5,0.36225490196078436,0.6470588235294118,0.40995564892623715,1.0,0.009234828496042216,0.12307152875175316,351.0,,,,0.0
7,0.6005538119279848,0.505432645034415,0.5677128427128428,0.005719313682358117,39.0,6819.0,758.0,0.0,0.14705882352941177,0.14705882352941177,0.2696078431372549,0.4117647058823529,0.34313725490196073,0.7352941176470589,0.37714752567693743,1.0,0.006596306068601583,0.11702849389416553,345.0,,,,0.0
8,0.6006383183612827,0.6322375800128088,0.49529521404521404,0.0062264697364610485,43.0,6906.0,758.0,0.0,0.14705882352941177,0.14705882352941177,0.29901960784313725,0.5294117647058824,0.3269607843137255,0.6470588235294118,0.37330765639589164,1.0,0.006596306068601583,0.11235237791254389,352.0,,,,0.0
9,0.6007031721356741,0.6368116290887694,0.6164434523809523,0.004830917874396135,33.0,6831.0,758.0,0.0,0.2,0.2,0.35,0.5333333333333333,0.39499999999999996,0.7333333333333333,0.4341534391534391,1.0,0.0079155672823219,0.11279407025459233,350.0,,,,0.0
10,0.6007601648465029,0.6301233257231793,0.5133928571428571,0.004315476190476191,29.0,6720.0,758.0,0.0,0.14814814814814814,0.14814814814814814,0.29012345679012347,0.4444444444444444,0.32345679012345685,0.5925925925925926,0.37863021751910636,1.0,0.005277044854881266,0.12550335570469798,374.0,1.9863013698630136,0.06119642510749854,0.0015022332055878913,0.0
11,0.6008151922914411,0.4534152375361651,0.5114134542705971,0.0040923706518561824,28.0,6842.0,758.0,0.0,0.375,0.375,0.46527777777777773,0.5833333333333334,0.46527777777777773,0.5833333333333334,0.5212797619047619,1.0,0.011873350923482849,0.12202583276682528,359.0,,,,0.0
12,0.6008800460658325,0.6737930817015104,0.5502829218106996,0.004881656804733727,33.0,6760.0,758.0,0.0,0.18518518518518517,0.18518518518518517,0.32098765432098764,0.48148148148148145,0.36358024691358026,0.6666666666666666,0.4078042328042328,1.0,0.006596306068601583,0.1196524064171123,358.0,,,,0.0
13,0.6009645524991304,0.4555016237012114,0.49972632731253425,0.006333775224628075,43.0,6789.0,758.0,0.0,0.34285714285714286,0.34285714285714286,0.4333333333333333,0.6,0.4476190476190475,0.6571428571428571,0.4928458049886621,1.0,0.0158311345646438,0.12327348066298342,357.0,,,,0.0
14,0.6010156494122872,0.6772804778896969,0.6252976190476192,0.0038022813688212928,26.0,6838.0,758.0,0.0,0.2727272727272727,0.2727272727272727,0.41666666666666663,0.6363636363636364,0.4393939393939394,0.7272727272727273,0.47667748917748926,1.0,0.0079155672823219,0.12005700035625223,337.0,,,,0.0
15,0.6010805031866786,0.49884645713641995,0.47160493827160493,0.004883101509322285,33.0,6758.0,758.0,0.0,0.2,0.2,0.35,0.5666666666666667,0.3983333333333333,0.7666666666666667,0.4278968253968254,1.0,0.0079155672823219,0.1225,343.0,,,,0.0
16,0.6011414264292888,0.6191493883719832,0.4805408583186361,0.004518291794199096,31.0,6861.0,758.0,0.0,0.25806451612903225,0.25806451612903225,0.31720430107526876,0.3870967741935484,0.3720430107526881,0.6451612903225806,0.4212493599590373,1.0,0.010554089709762533,0.11516129032258064,357.0,,,,0.0
