round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000232299278905,0.20429847584841368,0.4696969696969697,0.0016549441456350847,12.0,7251.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.375,0.4166666666666667,0.3958333333333333,0.5,0.4559854497354497,1.0,0.00517464424320828,0.1274074074074074,688.0,1.9942196531791907,0.02342999762229704,0.003900526546659203,0.0
1,0.6000542031650776,0.28886095700416087,0.5632478632478632,0.0022142264046498754,16.0,7226.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5238095238095238,0.6428571428571429,0.5238095238095238,0.6428571428571429,0.5702947845804989,1.0,0.007761966364812419,0.1289134438305709,700.0,,,,0.0
2,0.6001006630208585,0.11878992600762903,0.625,0.003298062388346846,24.0,7277.0,773.0,0.0,0.3125,0.3125,0.4375,0.625,0.48124999999999996,0.8125,0.5098958333333333,1.0,0.00646830530401035,0.12630805948228382,688.0,,,,0.0
3,0.6001374437400184,0.14858187134502926,0.5924145299145299,0.0026319434824767975,19.0,7219.0,773.0,0.0,0.07692307692307693,0.07692307692307693,0.37179487179487175,0.6923076923076923,0.4217948717948718,0.9230769230769231,0.43141025641025643,1.0,0.00129366106080207,0.12907957462412908,704.0,,,,0.0
4,0.600162609495233,0.23696715583508035,0.5613425925925926,0.0018136160714285715,13.0,7168.0,773.0,0.0,0.25,0.25,0.4444444444444445,0.6666666666666666,0.4611111111111111,0.75,0.49722222222222223,1.0,0.0038809831824062097,0.124408014571949,683.0,,,,0.0
5,0.6001993902143928,0.24485938319785536,0.6124131944444444,0.0025878507218741486,19.0,7342.0,773.0,0.0,0.0625,0.0625,0.26041666666666663,0.5625,0.2885416666666667,0.6875,0.33504464285714286,1.0,0.00129366106080207,0.12531922655964975,687.0,,,,0.0
6,0.6002439142428495,0.20494103438476838,0.5593315972222223,0.0031220306773449167,23.0,7367.0,773.0,0.0,0.375,0.375,0.4583333333333333,0.5625,0.48333333333333334,0.6875,0.5210813492063492,1.0,0.007761966364812419,0.12506826870562535,687.0,,,,0.0
7,0.600276823307361,0.22902913259105986,0.6383928571428571,0.002367358306642529,17.0,7181.0,773.0,0.0,0.5333333333333333,0.5333333333333333,0.5888888888888888,0.6666666666666666,0.5888888888888888,0.6666666666666666,0.6323809523809524,1.0,0.01034928848641656,0.12791127541589647,692.0,,,,0.0
8,0.6003039248898998,0.18158919278475566,0.45196759259259256,0.0019136139967195188,14.0,7316.0,773.0,0.0,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.4166666666666667,0.26666666666666666,0.6666666666666666,0.31203703703703706,1.0,0.00129366106080207,0.12454742939898625,688.0,,,,0.0
9,0.6003329622997629,0.1886053955189758,0.5451770451770452,0.002053388090349076,15.0,7305.0,773.0,0.0,0.07692307692307693,0.07692307692307693,0.21794871794871795,0.38461538461538464,0.30641025641025643,0.7692307692307693,0.33876678876678873,1.0,0.00129366106080207,0.1281769976229658,701.0,,,,0.0
10,0.6003755505008953,0.13594864120524655,0.644510582010582,0.0030340642669976557,22.0,7251.0,773.0,0.0,0.375,0.375,0.40625,0.4375,0.478125,0.75,0.5145833333333333,1.0,0.007761966364812419,0.12712951089943214,694.0,1.9820359281437125,0.02273102099014875,0.003916117884978754,0.0
11,0.6004045879107583,0.1856084367471249,0.7108585858585857,0.0020413718018508437,15.0,7348.0,773.0,0.0,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.5871212121212122,1.0,0.00517464424320828,0.12423807816421656,693.0,,,,0.0
12,0.6004220103566762,0.18410331250665085,0.7365079365079366,0.0012298442197321673,9.0,7318.0,773.0,0.0,0.25,0.25,0.4375,0.75,0.46875,0.875,0.4895833333333333,1.0,0.00258732212160414,0.12890839275918814,705.0,,,,0.0
13,0.6004433044572424,0.10441870388032731,0.5,0.001516195727084769,11.0,7255.0,773.0,0.0,0.36363636363636365,0.36363636363636365,0.393939393939394,0.45454545454545453,0.393939393939394,0.45454545454545453,0.47294372294372294,1.0,0.00517464424320828,0.12895114942528735,718.0,,,,0.0
14,0.6004742776944296,0.22846754229129415,0.5469104308390023,0.002195690956497873,16.0,7287.0,773.0,0.0,0.35714285714285715,0.35714285714285715,0.4523809523809524,0.6428571428571429,0.47023809523809523,0.7142857142857143,0.5049319727891156,1.0,0.00646830530401035,0.12690446316544182,708.0,,,,0.0
15,0.600487828485699,0.22069230617595462,0.3402777777777778,0.0009649848359525779,7.0,7254.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.5,0.4305555555555556,0.6666666666666666,0.47222222222222227,1.0,0.00258732212160414,0.12713233973783444,708.0,,,,0.0
16,0.6005110584135895,0.22762683639018158,0.6264329805996472,0.001639792292976223,12.0,7318.0,773.0,0.0,0.1111111111111111,0.1111111111111111,0.37037037037037035,0.7777777777777778,0.37037037037037035,0.7777777777777778,0.4027777777777778,1.0,0.00129366106080207,0.12651894210150108,708.0,,,,0.0
17,0.600524609204859,0.08289655172413793,0.40740740740740744,0.0009645859170456111,7.0,7257.0,773.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.20714285714285713,0.42857142857142855,0.2989795918367347,1.0,0.00129366106080207,0.12637461691004145,701.0,,,,0.0
18,0.6005575182693704,0.24791766162912116,0.4599358974358974,0.0023338824821526635,17.0,7284.0,773.0,0.0,0.26666666666666666,0.26666666666666666,0.3777777777777777,0.5333333333333333,0.40777777777777774,0.6666666666666666,0.44499999999999995,1.0,0.00517464424320828,0.12547051442910917,700.0,,,,0.0
19,0.600573004887964,0.05234223971278653,0.6851190476190476,0.001103448275862069,8.0,7250.0,773.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.4047619047619047,0.8571428571428571,0.42517006802721086,1.0,0.00129366106080207,0.12911939492166397,717.0,,,,0.0
20,0.6005846198519093,0.35433585995307704,0.4930555555555555,0.0008114687584527996,6.0,7394.0,773.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.375,0.6666666666666666,0.4173280423280423,1.0,0.00129366106080207,0.12282229965156795,705.0,2.0,0.022330657713635623,0.0039035610983527264,0.0
21,0.6006136572617723,0.2621913792313682,0.543482905982906,0.002057048820625343,15.0,7292.0,773.0,0.0,0.07692307692307693,0.07692307692307693,0.21794871794871792,0.38461538461538464,0.24871794871794872,0.5384615384615384,0.31266788766788767,1.0,0.00129366106080207,0.12504453152832204,702.0,,,,0.0
22,0.6006330155350142,0.09936423297785071,0.5013020833333334,0.001365374112506827,10.0,7324.0,773.0,0.0,0.125,0.125,0.3125,0.5,0.39375,0.875,0.4145833333333333,1.0,0.00129366106080207,0.12665001783803068,710.0,,,,0.0
23,0.6006523738082563,0.14050538073831903,0.39814814814814814,0.0013603591348115903,10.0,7351.0,773.0,0.0,0.1111111111111111,0.1111111111111111,0.2592592592592593,0.4444444444444444,0.2814814814814815,0.5555555555555556,0.3379188712522046,1.0,0.00129366106080207,0.12292358803986711,703.0,,,,0.0
24,0.6006717320814984,0.18476793830050958,0.5222222222222223,0.0013753266400770184,10.0,7271.0,773.0,0.0,0.0,0.0,0.08333333333333333,0.2,0.18333333333333332,0.6,0.24333333333333332,1.0,0.0,0.12696428571428572,711.0,,,,0.0
25,0.6006910903547403,0.34160598983376833,0.7413690476190476,0.0013719303059404582,10.0,7289.0,773.0,0.0,0.375,0.375,0.5833333333333333,0.875,0.6145833333333333,1.0,0.6145833333333333,1.0,0.0038809831824062097,0.12437899219304471,701.0,,,,0.0
