round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000080790127447,0.4227845443091138,0.788888888888889,0.000349870547897278,5.0,14291.0,1572.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6583333333333333,1.0,0.0019083969465648854,0.1390708455104303,1380.0,1.9932885906040267,0.04702354743611018,0.0004902460474786163,0.0
1,0.6000190958483055,0.3563553599701965,0.7305555555555555,0.00041893590280687055,6.0,14322.0,1572.0,0.0,0.6,0.6,0.6,0.6,0.65,0.8,0.6722222222222223,1.0,0.0019083969465648854,0.14012482383732636,1392.0,,,,0.0
2,0.6000301126838664,0.25417531718569786,0.8611111111111112,0.00041505257332595465,6.0,14456.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.8333333333333334,0.7555555555555555,1.0,0.7555555555555555,1.0,0.002544529262086514,0.13726664670060895,1375.0,,,,0.0
3,0.6000411295194272,0.40113465323607733,0.7314814814814815,0.0004166377334907298,6.0,14401.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,0.8333333333333334,0.5208333333333334,1.0,0.001272264631043257,0.1368483412322275,1386.0,,,,0.0
4,0.6000521463549882,0.1982631319879052,0.5444444444444444,0.0004217333239614817,6.0,14227.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41898148148148145,1.0,0.001272264631043257,0.14153371075656201,1375.0,,,,0.0
5,0.6000594909120287,0.2938934596238938,0.5694444444444444,0.0002764722145424385,4.0,14468.0,1572.0,0.0,0.25,0.25,0.25,0.25,0.3,0.5,0.3634920634920635,1.0,0.0006361323155216285,0.13842913030394222,1380.0,,,,0.0
6,0.6000723438868497,0.2553483709273183,0.7166666666666667,0.0004909868836361086,7.0,14257.0,1572.0,0.0,0.5,0.5,0.6388888888888888,0.8333333333333334,0.6388888888888888,0.8333333333333334,0.6666666666666666,1.0,0.0019083969465648854,0.1424979887369268,1417.0,,,,0.0
7,0.6000796884438904,0.28456282223320856,0.625,0.0002824260396808586,4.0,14163.0,1572.0,0.0,0.25,0.25,0.375,0.5,0.4375,0.75,0.46875,1.0,0.0006361323155216285,0.1395871653382383,1366.0,,,,0.0
8,0.6000925414187114,0.48330304964887294,0.6,0.0004810335349092908,7.0,14552.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.38888888888888884,0.6666666666666666,0.38888888888888884,0.6666666666666666,0.4375,1.0,0.0006361323155216285,0.13813902897260952,1397.0,,,,0.0
9,0.6001090666720527,0.34520401409859786,0.634920634920635,0.0006229667058904963,9.0,14447.0,1572.0,0.0,0.625,0.625,0.6666666666666666,0.75,0.6916666666666667,0.875,0.7055555555555555,1.0,0.0031806615776081423,0.1389833900340204,1389.0,,,,0.0
