round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000044067342244,0.17162174678151337,0.33333333333333337,0.00020834780193068963,3.0,14399.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,1.0,0.0006361323155216285,0.12806458042654972,1285.0,2.0,0.047440836808043285,0.0006068261784646022,0.0
1,0.6000190958483055,0.15908692296899116,0.3055555555555556,0.000560931145701865,8.0,14262.0,1572.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.07291666666666666,0.25,0.1714781746031746,1.0,0.0,0.13033843674456083,1294.0,,,,0.0
2,0.6000209319875657,0.23942493779375174,0.8888888888888888,6.911327666044647e-05,1.0,14469.0,1572.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.12542770554306384,1283.0,,,,0.0
3,0.6000319488231265,0.34157216076439617,0.4222222222222222,0.00041727519298977677,6.0,14379.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.5,0.32936507936507936,1.0,0.0006361323155216285,0.12544343713046907,1273.0,,,,0.0
4,0.6000319488231265,,,0.0,0.0,14400.0,1572.0,0.0,,,,,,,,,0.0,0.12756061355764473,1289.0,,,,0.0
5,0.6000356211016469,0.05773651943709068,0.3333333333333333,0.00013931457230426304,2.0,14356.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333331,1.0,0.0,0.12848730572449077,1331.0,,,,0.0
6,0.6000466379372077,0.48157728040540543,0.3888888888888889,0.00042211903756859433,6.0,14214.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.562962962962963,1.0,0.0019083969465648854,0.12995923237545987,1307.0,,,,0.0
7,0.6000521463549882,0.25524232745452025,0.48148148148148157,0.00020826102047900034,3.0,14405.0,1572.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.19444444444444442,0.6666666666666666,0.22777777777777777,1.0,0.0,0.12776389155931553,1329.0,,,,0.0
8,0.600063163190549,0.43811184745959775,0.5947089947089947,0.0004183808660483927,6.0,14341.0,1572.0,0.0,0.0,0.0,0.24999999999999997,0.6666666666666666,0.24999999999999997,0.6666666666666666,0.3055555555555555,1.0,0.0,0.1282993328821425,1327.0,,,,0.0
9,0.6000686716083294,0.13535198492988212,0.7037037037037037,0.00020926339285714285,3.0,14336.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5416666666666666,1.0,0.0006361323155216285,0.12642140468227425,1323.0,,,,0.0
