round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6000236851454662,0.22044673539518903,0.47222222222222227,0.0024681201151789387,6.0,2431.0,247.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666665,0.5,0.19305555555555556,1.0,0.0,0.10846084608460846,241.0,2.0,0.13474450234488036,0.006248910449177578,0.0
1,0.6000456158357128,0.23498964803312627,0.7552083333333334,0.002066115702479339,5.0,2420.0,247.0,0.0,0.5,0.5,0.5833333333333334,0.75,0.5833333333333334,0.75,0.6190476190476191,1.0,0.008097165991902834,0.10941017559657812,243.0,,,,0.0
2,0.6000807049401072,0.21261802134646962,0.5051587301587301,0.0032733224222585926,8.0,2444.0,247.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.48888888888888893,1.0,0.008097165991902834,0.10801239486498451,244.0,,,,0.0
3,0.6000938633542552,0.28801715788017157,0.6851851851851851,0.0012437810945273632,3.0,2412.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48333333333333334,1.0,0.48333333333333334,1.0,0.004048582995951417,0.11056179775280899,246.0,,,,0.0
4,0.6001026356303538,0.5391759180187874,1.0,0.0008532423208191126,2.0,2344.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008097165991902834,0.11415313225058005,246.0,,,,0.0
5,0.6001070217684031,0.2619647355163728,1.0,0.000419639110365086,1.0,2383.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004048582995951417,0.11080711354309165,243.0,,,,0.0
6,0.6001289524586497,0.24948325754443984,0.7222222222222221,0.0020627062706270625,5.0,2424.0,247.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.41666666666666663,0.8,0.4416666666666666,1.0,0.004048582995951417,0.10931899641577061,244.0,,,,0.0
7,0.6001508831488962,0.19355765285186705,0.48611111111111116,0.0020475020475020475,5.0,2442.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,1.0,0.004048582995951417,0.10881294964028777,242.0,,,,0.0
8,0.6001640415630441,0.2268753525098703,0.8148148148148149,0.0012674271229404308,3.0,2367.0,247.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.4166666666666667,1.0,0.4166666666666667,1.0,0.0,0.11192660550458716,244.0,,,,0.0
9,0.6001728138391428,0.23599498327759197,1.0,0.000835421888053467,2.0,2394.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008097165991902834,0.11136571952337306,243.0,,,,0.0
10,0.6001859722532907,0.2292975841362938,0.7592592592592592,0.0012552301255230125,3.0,2390.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48333333333333334,1.0,0.48333333333333334,1.0,0.004048582995951417,0.10914855072463768,241.0,1.994186046511628,0.13464387813897927,0.005476915298762525,0.0
11,0.6002386059098824,0.18899554813578184,0.5506944444444446,0.0049833887043189366,12.0,2408.0,247.0,0.0,0.1,0.1,0.2333333333333333,0.4,0.29333333333333333,0.7,0.3308333333333333,1.0,0.004048582995951417,0.10957683741648107,246.0,,,,0.0
12,0.6002561504620797,0.24202792830345976,0.4837962962962963,0.0016645859342488557,4.0,2403.0,247.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3666666666666667,1.0,0.0,0.1105550500454959,243.0,,,,0.0
13,0.6002824672903755,0.27739820565907525,0.8666666666666666,0.0024783147459727386,6.0,2421.0,247.0,0.0,0.4,0.4,0.6,1.0,0.6,1.0,0.6,1.0,0.008097165991902834,0.10831460674157303,241.0,,,,0.0
14,0.6002956257045234,0.3281901584653878,0.8576388888888888,0.0012494793835901709,3.0,2401.0,247.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.004048582995951417,0.11081081081081082,246.0,,,,0.0
15,0.6003087841186714,0.20232590724393998,0.5925925925925926,0.0012594458438287153,3.0,2382.0,247.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3666666666666667,1.0,0.0,0.11156835848193873,244.0,,,,0.0
16,0.6003219425328192,0.23040033361134277,0.6753472222222222,0.0012494793835901709,3.0,2401.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,1.0,0.004048582995951417,0.11121323529411764,242.0,,,,0.0
17,0.6003438732230658,0.27290983606557384,0.5333333333333334,0.002044989775051125,5.0,2445.0,247.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.21666666666666665,0.6,0.2652380952380952,1.0,0.0,0.10853059401518535,243.0,,,,0.0
18,0.6003482593611151,0.258563074352548,1.0,0.0004175365344467641,1.0,2395.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004048582995951417,0.11167747914735866,241.0,,,,0.0
19,0.6003789623274602,0.2240448504983389,0.9398148148148149,0.002898550724637681,7.0,2415.0,247.0,0.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0,0.020242914979757085,0.11060329067641682,242.0,,,,0.0
20,0.6003921207416082,0.19909154437456322,0.40740740740740744,0.001256281407035176,3.0,2388.0,247.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.24761904761904763,1.0,0.0,0.11207685269899359,245.0,2.0,0.13457809876461846,0.0063395892609455955,0.0
21,0.6004184375699041,0.2146591384358009,0.4770833333333334,0.0025031289111389237,6.0,2397.0,247.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.31666666666666665,0.6,0.3616666666666667,1.0,0.004048582995951417,0.10986042323277803,244.0,,,,0.0
22,0.6004491405362492,0.2961896848477654,0.5555555555555556,0.002899751449875725,7.0,2414.0,247.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.19999999999999998,0.7142857142857143,0.2442176870748299,1.0,0.0,0.109255079006772,242.0,,,,0.0
